dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\STARE\comparison\im0319_comparison.png,0.3871666605810542,0.4199542406729001,0.0327875800918459,0.02791484668872632,-0.001534667032063619
STARE,im0291,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\STARE\comparison\im0291_comparison.png,0.422421309617229,0.4314688515074731,0.009047541890244093,0.007987773623034378,-0.002427864413110381
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\DRIVE\comparison\23_comparison.png,0.4963930234681764,0.4960816341512654,-0.0003113893169109927,0.0010749800111546914,-0.0034539928156949173
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_14R_comparison.png,0.4843004390150792,0.5015172345458824,0.017216795530803186,0.02032521794812242,-0.0018535350834982811
CHASEDB1,Image_11L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_11L_comparison.png,0.5056141147471864,0.5087994355818602,0.0031853208346738215,0.00372820964221221,-0.0006064281382656134
CHASEDB1,Image_10L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_10L_comparison.png,0.5087159514815944,0.5142857142857142,0.005569762804119804,0.007114062741674199,-0.0014148744923097034
CHASEDB1,Image_11R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_11R_comparison.png,0.5121760131569576,0.5176116276024617,0.005435614445504111,0.006209938454366015,-0.0004106936811844042
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_09L_comparison.png,0.5194090963831239,0.5225716903837861,0.003162594000662211,0.003661704041010294,-0.0007831176325118205
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.5140274773193191,0.5245349033191717,0.01050742599985266,0.01810902055057817,-0.0034450527440246237
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\STARE\comparison\im0003_comparison.png,0.5252349816101348,0.5256768178674794,0.00044183625734461884,0.0008465801475656121,-0.0015782205563227292
