dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0139,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0139_comparison.png,0.7374534210734957,0.7382483722407496,0.0007949511672539211,-0.00023490031417916502,0.00013248026124179635
STARE,im0081,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0081_comparison.png,0.6640716231996886,0.6644595910418695,0.00038796784218086966,0.0,0.00018906905893534276
STARE,im0235,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0235_comparison.png,0.8209445585215606,0.8213193334855056,0.00037477496394500154,0.0,0.00010125873266664254
DRIVE,26,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\26_comparison.png,0.7906844646407271,0.7910585890225671,0.00037412438184003527,-0.0008728542333431011,-0.0006783631654248001
STARE,im0044,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0044_comparison.png,0.6831114591490473,0.6834682684774093,0.00035680932836201773,0.0,0.0001368499911397203
STARE,im0236,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0236_comparison.png,0.829562383612663,0.8298308559712968,0.0002684723586338089,-0.0002606882168926239,-0.0001451740786037048
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\22_comparison.png,0.8463996991915773,0.8464578041208016,5.8104929224311874e-05,-0.00023489932885911724,-0.0002471514667978236
STARE,im0162,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0162_comparison.png,0.6383329807488893,0.6383501312780554,1.715052916606563e-05,-0.0004307488402915949,-0.00026444078356169243
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.7242189335212591,0.7242189335212591,0.0,0.0,0.0
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.7770646850194224,0.7770646850194224,0.0,0.0,0.0
