dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0291,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0291_comparison.png,0.0,0.0,0.0,0.0,0.0
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0001_comparison.png,0.0079863729021808,0.0079863729021808,0.0,0.0,0.0
STARE,im0002,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0002_comparison.png,0.0255759227148872,0.0255759227148872,0.0,0.0,0.0
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_04L_comparison.png,0.042827550491973,0.042827550491973,0.0,0.0,0.0
CHASEDB1,Image_10L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_10L_comparison.png,0.0458216020543918,0.0458216020543918,0.0,0.0,0.0
STARE,im0324,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0324_comparison.png,0.04847986852917,0.04847986852917,0.0,0.0,0.0
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_13R_comparison.png,0.0567740298460123,0.0567740298460123,0.0,0.0,0.0
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.0628697927148319,0.0628697927148319,0.0,0.0,0.0
CHASEDB1,Image_13L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_13L_comparison.png,0.0653306031633426,0.0653306031633426,0.0,0.0,0.0
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_06L_comparison.png,0.0717538510276006,0.0717538510276006,0.0,0.0,0.0
