dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.9360464631297964,0.9360464631297964,0.0,0.7962429288077703,0.7962429288077703,0.0,0.1115347237796217,0.1115347237796217,0.0,0.9978602372906054,0.9978602372906054,0.0,0.1956618669184567,0.1956618669184567,0.0,0.1084396895078059,0.1084396895078059,0.0,0.0021397627093946,0.0021397627093946,0.0,0.8884652762203783,0.8884652762203783,0.0,0.5546974805351136,0.5546974805351136,0.0,0.1956618669184567,0.1956618669184567,0.0,True,0.0097691441441441,9369,959040,13,720.6923076923077,353.0,1275.1754862410348,8,4959,1,0.0769230769230769,8,0.0008538798164158,4959,0.5292987512007685,2345,0.2502935211868929,132,456,0.0562899786780383,0.194456289978678,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.9254483650316984,0.9254483650316984,0.0,0.6472527472527473,0.6472527472527473,0.0,0.0404321919876987,0.0404321919876987,0.0,0.9981889004989832,0.9981889004989832,0.0,0.0761099912131079,0.0761099912131079,0.0,0.0395604690837284,0.0395604690837284,0.0,0.0018110995010166,0.0018110995010166,0.0,0.9595678080123012,0.9595678080123012,0.0,0.519310546243341,0.519310546243341,0.0,0.0761099912131079,0.0761099912131079,0.0,True,0.0047443276609943,4550,959040,18,252.77777777777777,84.0,336.5088005379743,8,1168,2,0.1111111111111111,16,0.0035164835164835,1168,0.2567032967032967,1422,0.3125274725274725,110,331,0.0773558368495077,0.2327707454289732,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.9222774858191524,0.9222774858191524,0.0,0.7770646850194224,0.7770646850194224,0.0,0.0591236186070418,0.0591236186070418,0.0,0.9985020766664398,0.9985020766664398,0.0,0.1098864355572539,0.1098864355572539,0.0,0.0581374778872883,0.0581374778872883,0.0,0.0014979233335602,0.0014979233335602,0.0,0.940876381392958,0.940876381392958,0.0,0.5288128476367409,0.5288128476367409,0.0,0.1098864355572539,0.1098864355572539,0.0,True,0.0061738822155488,5921,959040,15,394.73333333333335,69.0,633.417131298343,10,2042,1,0.0666666666666666,10,0.001688903901368,2042,0.3448741766593481,1631,0.2754602263131228,111,356,0.0680564071122011,0.2182709993868792,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.9239020270270272,0.9239020270270272,0.0,0.7242189335212591,0.7242189335212591,0.0,0.0411670449993323,0.0411670449993323,0.0,0.998672171011706,0.998672171011706,0.0,0.0779056691978217,0.0779056691978217,0.0,0.0405316575515355,0.0405316575515355,0.0,0.0013278289882938,0.0013278289882938,0.0,0.9588329550006676,0.9588329550006676,0.0,0.5199196080055193,0.5199196080055193,0.0,0.0779056691978217,0.0779056691978217,0.0,True,0.0044388138138138,4257,959040,22,193.5,27.5,358.4453489471138,8,1455,5,0.2272727272727272,45,0.0105708245243128,1455,0.3417899929527836,1256,0.2950434578341555,114,273,0.090764331210191,0.2173566878980891,low,medium,conservative,conservative,low,medium,8,4,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.9324532866199532,0.9324532866199532,0.0,0.8553978435921933,0.8553978435921933,0.0,0.1666976966859939,0.1666976966859939,0.0,0.997602518091428,0.997602518091428,0.0,0.2790205898720089,0.2790205898720089,0.0,0.1621289529845437,0.1621289529845437,0.0,0.0023974819085721,0.0023974819085721,0.0,0.833302303314006,0.833302303314006,0.0,0.5821501073887109,0.5821501073887109,0.0,0.2790205898720089,0.2790205898720089,0.0,True,0.0152798631965298,14654,959040,19,771.2631578947369,209.0,1423.451766217571,9,5628,2,0.1052631578947368,18,0.0012283335608025,5628,0.3840589600109185,3516,0.2399344888767572,205,693,0.0583048919226393,0.197098976109215,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_03R_comparison.png,0.9327556723390056,0.9327556723390056,0.0,0.7346310869179339,0.7346310869179339,0.0,0.1714419850595821,0.1714419850595821,0.0,0.9949414573790996,0.9949414573790996,0.0,0.2780054185978818,0.2780054185978818,0.0,0.1614438405325982,0.1614438405325982,0.0,0.0050585426209002,0.0050585426209002,0.0,0.8285580149404178,0.8285580149404178,0.0,0.5831917212193409,0.5831917212193409,0.0,0.2780054185978818,0.2780054185978818,0.0,True,0.0176228311644978,16901,959040,15,1126.7333333333331,179.0,1914.2530124190887,8,5485,2,0.1333333333333333,17,0.0010058576415596,5485,0.3245370096443997,3924,0.232175610910597,224,852,0.0570846075433231,0.2171253822629969,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_04L_comparison.png,0.9229104104104104,0.9229104104104104,0.0,0.7982625482625483,0.7982625482625483,0.0,0.0220040442741592,0.0220040442741592,0.0,0.9995270808442852,0.9995270808442852,0.0,0.042827550491973,0.042827550491973,0.0,0.0218823591670415,0.0218823591670415,0.0,0.0004729191557148,0.0004729191557148,0.0,0.9779959557258407,0.9779959557258407,0.0,0.5107655625592221,0.5107655625592221,0.0,0.042827550491973,0.042827550491973,0.0,True,0.0021604938271604,2072,959040,17,121.88235294117646,32.0,176.92600060076333,8,670,2,0.1176470588235294,16,0.0077220077220077,670,0.3233590733590734,709,0.3421814671814672,65,123,0.0916784203102961,0.1734837799717912,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.9257048715382048,0.9257048715382048,0.0,0.6838718901915928,0.6838718901915928,0.0,0.0647892284351972,0.0647892284351972,0.0,0.997502304522286,0.997502304522286,0.0,0.1183647207305303,0.1183647207305303,0.0,0.0629052410074307,0.0629052410074307,0.0,0.0024976954777139,0.0024976954777139,0.0,0.9352107715648028,0.9352107715648028,0.0,0.5311457664787417,0.5311457664787417,0.0,0.1183647207305303,0.1183647207305303,0.0,True,0.0072927093760427,6994,959040,13,538.0,442.0,619.1586102247021,10,1935,2,0.1538461538461538,20,0.0028595939376608,1935,0.2766657134686874,2369,0.3387189019159279,172,562,0.0726044744617982,0.23723089911355,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_05L_comparison.png,0.9271792625959292,0.9271792625959292,0.0,0.8339717631607749,0.8339717631607749,0.0,0.1003410542394753,0.1003410542394753,0.0,0.9982821858024978,0.9982821858024978,0.0,0.1791297397682127,0.1791297397682127,0.0,0.0983758940328952,0.0983758940328952,0.0,0.0017178141975022,0.0017178141975022,0.0,0.8996589457605246,0.8996589457605246,0.0,0.5493116200209867,0.5493116200209867,0.0,0.1791297397682127,0.1791297397682127,0.0,True,0.0095272355689022,9137,959040,16,571.0625,115.0,1084.445622700258,11,4420,1,0.0625,11,0.0012038962460326,4420,0.4837474006785597,2361,0.2583999124439093,165,525,0.0698856416772554,0.2223634053367217,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_05R_comparison.png,0.9278111444778112,0.9278111444778112,0.0,0.8433788188497873,0.8433788188497873,0.0,0.1869390054247333,0.1869390054247333,0.0,0.9967687778457835,0.9967687778457835,0.0,0.3060422597329698,0.3060422597329698,0.0,0.1806669980354564,0.1806669980354564,0.0,0.0032312221542164,0.0032312221542164,0.0,0.8130609945752666,0.8130609945752666,0.0,0.5918538916352585,0.5918538916352585,0.0,0.3060422597329698,0.3060422597329698,0.0,True,0.018874082415749,18101,959040,17,1064.764705882353,316.0,1645.1837204544795,10,6431,1,0.0588235294117647,10,0.0005524556654328,6431,0.3552842384398652,4682,0.2586597425556599,259,981,0.0553182400683468,0.209525843656557,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
