dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0236,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0236_comparison.png,0.5311970215736462,0.5611206926894513,0.029923671115805073,0.04821814811688041,-0.0014859228362877897
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\30_comparison.png,0.5531301406576346,0.580072305430853,0.026942164773218424,0.06669769270132553,-0.013989256869034183
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\25_comparison.png,0.6152525441718174,0.6417570733166088,0.0265045291447914,0.06881542222053583,-0.012474734714502334
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\21_comparison.png,0.56947904659205,0.5944988785267383,0.025019831934688375,0.05153154114789549,-0.008397565922920958
DRIVE,32,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\32_comparison.png,0.578718724223261,0.6031845023484244,0.024465778125163373,0.06341589753939259,-0.011537320077162794
DRIVE,33,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\33_comparison.png,0.5688629352137505,0.5927439760208649,0.023881040807114395,0.058883079067523325,-0.009820458038157343
STARE,im0162,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0162_comparison.png,0.4816819470525424,0.5051892394278928,0.02350729237535043,0.031267780299089,-0.0018223989396951579
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\27_comparison.png,0.5760836349014877,0.5990921300940173,0.023008495192529566,0.05128308579891294,-0.009975577035533756
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\35_comparison.png,0.580186476154232,0.6024497257769653,0.022263249622733294,0.05721899008183029,-0.010240458548860576
DRIVE,29,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\29_comparison.png,0.5657678056813503,0.5873573469722065,0.021589541290856218,0.05347082875578535,-0.012834378830485216
