dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\25_comparison.png,0.6082273793358844,0.6770428015564203,0.06881542222053583,-0.012474734714502334,0.0265045291447914
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\30_comparison.png,0.5301140792177426,0.5968117719190681,0.06669769270132553,-0.013989256869034183,0.026942164773218424
DRIVE,32,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\32_comparison.png,0.5719772455523751,0.6353931430917676,0.06341589753939259,-0.011537320077162794,0.024465778125163373
DRIVE,33,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\33_comparison.png,0.5576196133491738,0.6165026924166971,0.058883079067523325,-0.009820458038157343,0.023881040807114395
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\35_comparison.png,0.5743740795287187,0.631593069610549,0.05721899008183029,-0.010240458548860576,0.022263249622733294
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\28_comparison.png,0.6448381577071154,0.7011621911070565,0.056324033399941076,-0.012791455804278318,0.015353690374075857
DRIVE,29,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\29_comparison.png,0.5396622815629295,0.5931331103187149,0.05347082875578535,-0.012834378830485216,0.021589541290856218
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\21_comparison.png,0.5256383855024712,0.5771699266503667,0.05153154114789549,-0.008397565922920958,0.025019831934688375
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\22_comparison.png,0.5612344553681881,0.6126211126029684,0.05138665723478031,-0.01201342281879203,0.018916138111697345
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\27_comparison.png,0.5409920251329144,0.5922751109318274,0.05128308579891294,-0.009975577035533756,0.023008495192529566
