dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0319_comparison.png,0.3560820019952507,0.3654920529514515,0.009410050956200788,0.0086704202154822,-0.0006577144423129955
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\23_comparison.png,0.3926973263640808,0.3958936461983849,0.003196319834304129,0.0057258978240018465,-0.002302661877130019
STARE,im0291,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0291_comparison.png,0.3986046511627907,0.4063524492801824,0.00774779811739168,0.007103760363202205,-0.001634139508824406
STARE,im0004,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0004_comparison.png,0.4327679145442856,0.4404653745204926,0.007697459976207022,0.011066777681580875,-0.0015607580824972267
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0003_comparison.png,0.4450356039231493,0.4484794323936415,0.0034438284704922384,0.003985876038503311,-3.94555139080488e-05
STARE,im0324,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0324_comparison.png,0.4727504594726379,0.4778055622548584,0.005055102782220489,0.00701441790499252,-0.0030076784260996137
DRIVE,31,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\31_comparison.png,0.4607272370871312,0.4779205799967045,0.017193342909573306,0.027226476701800617,-0.007538824948484679
STARE,im0002,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0002_comparison.png,0.4772024037846822,0.4836660853268084,0.006463681542126176,0.008914420820148317,-0.0028363765289841636
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_09L_comparison.png,0.4920251527571554,0.4971008676639497,0.00507571490679426,0.0058853477268631105,-0.0006594674800098899
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_13R_comparison.png,0.4922246019182419,0.4979872404121434,0.005762638493901462,0.010020143539680615,-0.0015175257731958602
