dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\34_comparison.png,0.5309309309309309,0.5326951133550809,0.001764182424149996,0.00800265412453327,-0.0032830550995756047
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.5179984973703982,0.5202699834444114,0.0022714860740132847,0.006008611530475327,-0.002505782575173532
CHASEDB1,Image_11L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_11L_comparison.png,0.5054362463675668,0.5081925097054122,0.0027562633378453993,0.0037214873564814233,-0.0009781099004284588
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.4962864888720761,0.499066813598405,0.0027803247263288866,0.0070409612386503895,-0.002456936840699697
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\23_comparison.png,0.3926973263640808,0.3958936461983849,0.003196319834304129,0.0057258978240018465,-0.002302661877130019
CHASEDB1,Image_08L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_08L_comparison.png,0.5577961684176586,0.5611619966397485,0.0033658282220899727,0.005835382155603086,-0.0016605939444749307
CHASEDB1,Image_11R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_11R_comparison.png,0.520630188889508,0.5239971949509117,0.003367006061403721,0.004161062630497092,-0.00027379578745623245
CHASEDB1,Image_12L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_12L_comparison.png,0.5215633068127931,0.5249777518031001,0.003414444990307075,0.006506784328682957,-0.0010285085177889064
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0003_comparison.png,0.4450356039231493,0.4484794323936415,0.0034438284704922384,0.003985876038503311,-3.94555139080488e-05
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_10R_comparison.png,0.5082571565602697,0.5117394287365038,0.0034822721762340914,0.005973861183540652,-0.001212713277526145
