dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
CHASEDB1,Image_11L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_11L_comparison.png,0.3963054762090007,0.4000269635654821,0.0037214873564814233,-0.0009781099004284588,0.0027562633378453993
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\STARE\comparison\im0003_comparison.png,0.337414688805134,0.3414005648436373,0.003985876038503311,-3.94555139080488e-05,0.0034438284704922384
CHASEDB1,Image_11R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_11R_comparison.png,0.4043031922373787,0.4084642548678758,0.004161062630497092,-0.00027379578745623245,0.003367006061403721
CHASEDB1,Image_09R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_09R_comparison.png,0.3738715027759293,0.3790624275241754,0.005190924748246117,-0.0010651590569245029,0.004455874942757121
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\DRIVE\comparison\23_comparison.png,0.3318187595322827,0.3375446573562845,0.0057258978240018465,-0.002302661877130019,0.003196319834304129
CHASEDB1,Image_08L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_08L_comparison.png,0.4780981552704912,0.4839335374260943,0.005835382155603086,-0.0016605939444749307,0.0033658282220899727
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_09L_comparison.png,0.3682943568626246,0.3741797045894877,0.0058853477268631105,-0.0006594674800098899,0.00507571490679426
CHASEDB1,Image_13L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_13L_comparison.png,0.4369316933889743,0.4429002550139757,0.005968561625001367,-0.0002543062525430795,0.004293205036386527
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_10R_comparison.png,0.4419615068595473,0.447935368043088,0.005973861183540652,-0.001212713277526145,0.0034822721762340914
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.4866015470611484,0.4926101585916237,0.006008611530475327,-0.002505782575173532,0.0022714860740132847
