dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,31,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\31_comparison.png,0.5878673635506811,0.5873369938229238,-0.0005303697277573294,-0.0007538824948485345,-0.0007441381060570018
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\37_comparison.png,0.7170334585793523,0.7167308898646833,-0.0003025687146690492,-0.0005894386463713985,-0.0006597341262900014
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\30_comparison.png,0.7798174048174048,0.7796033443515458,-0.00021406046585903393,-0.00038644355991807045,-0.0004302955334289371
DRIVE,26,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\26_comparison.png,0.78851857082333,0.7883990391408789,-0.00011953168245104617,-0.00029095141111440403,-0.0002811759876065745
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\21_comparison.png,0.8164670443950369,0.8163997989516766,-6.7245443360342e-05,-0.0005679513184583818,-0.0004811357873896194
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.6996613039796782,0.6996613039796782,0.0,0.0,0.0
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.6239586804398534,0.6239586804398534,0.0,0.0,0.0
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.5774524910118131,0.5774524910118131,0.0,0.0,0.0
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_08R_comparison.png,0.6581544409400752,0.6581544409400752,0.0,0.0,0.0
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_07L_comparison.png,0.7364935403888816,0.7364935403888816,0.0,0.0,0.0
