dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_01L_comparison.png,0.9295295295295296,0.9295295295295296,0.0,0.4174344436569808,0.4174344436569808,0.0,0.0264184794797039,0.0264184794797039,0.0,0.9972359063167274,0.9972359063167274,0.0,0.0496920610815827,0.0496920610815827,0.0,0.0254790846563135,0.0254790846563135,0.0,0.0027640936832725,0.0027640936832725,0.0,0.973581520520296,0.973581520520296,0.0,0.5118271928982157,0.5118271928982157,0.0,0.0496920610815827,0.0496920610815827,0.0,True,0.0044137887887887,4233,959040,15,282.2,199.0,280.9932858035342,22,1006,0,0.0,0,0.0,1006,0.2376565083864871,1318,0.3113630994566501,91,301,0.0690440060698027,0.2283763277693475,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_01R_comparison.png,0.9222816566566566,0.9222816566566566,0.0,0.3918143567512431,0.3918143567512431,0.0,0.0421895164611878,0.0421895164611878,0.0,0.9946174799876326,0.9946174799876326,0.0,0.0761765471424499,0.0761765471424499,0.0,0.0395964333573858,0.0395964333573858,0.0,0.0053825200123673,0.0053825200123673,0.0,0.9578104835388122,0.9578104835388122,0.0,0.5184034982244102,0.5184034982244102,0.0,0.0761765471424499,0.0761765471424499,0.0,True,0.0081779696363029,7843,959040,15,522.8666666666667,251.0,538.197221182801,27,1708,0,0.0,0,0.0,1708,0.2177738110416932,2978,0.3797016447787836,227,822,0.0762256548018804,0.2760241773002014,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_02L_comparison.png,0.918065982649316,0.918065982649316,0.0,0.4708998771498771,0.4708998771498771,0.0,0.0788100745309689,0.0788100745309689,0.0,0.9921801593245728,0.9921801593245728,0.0,0.1350226762361851,0.1350226762361851,0.0,0.0723990981100447,0.0723990981100447,0.0,0.0078198406754272,0.0078198406754272,0.0,0.9211899254690312,0.9211899254690312,0.0,0.5354951169277709,0.5354951169277709,0.0,0.1350226762361851,0.1350226762361851,0.0,True,0.0135802469135802,13024,959040,25,520.96,221.0,632.7377643226299,16,2616,0,0.0,0,0.0,2616,0.2008599508599508,3987,0.3061271498771499,239,899,0.0599448206671682,0.2254828191622774,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_02R_comparison.png,0.9222587170503838,0.9222587170503838,0.0,0.5210946408209807,0.5210946408209807,0.0,0.0549205501402056,0.0549205501402056,0.0,0.9957247073460386,0.9957247073460386,0.0,0.0993682277762342,0.0993682277762342,0.0,0.0522816829795347,0.0522816829795347,0.0,0.0042752926539614,0.0042752926539614,0.0,0.9450794498597944,0.9450794498597944,0.0,0.5253226287431221,0.5253226287431221,0.0,0.0993682277762342,0.0993682277762342,0.0,True,0.0082301051051051,7893,959040,31,254.6129032258065,150.0,288.28241948112947,10,1082,1,0.032258064516129,10,0.0012669453946534,1082,0.1370834917015076,2735,0.3465095654377296,195,579,0.0712979890310786,0.2117001828153565,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_03L_comparison.png,0.9262585502168836,0.9262585502168836,0.0,0.7208131846442317,0.7208131846442317,0.0,0.0971328262141603,0.0971328262141603,0.0,0.9967992089101696,0.9967992089101696,0.0,0.171196193556704,0.171196193556704,0.0,0.0936110221082986,0.0936110221082986,0.0,0.0032007910898303,0.0032007910898303,0.0,0.9028671737858396,0.9028671737858396,0.0,0.546966017562165,0.546966017562165,0.0,0.171196193556704,0.171196193556704,0.0,True,0.0105657741074407,10133,959040,31,326.8709677419355,276.0,289.9668214541532,15,1090,0,0.0,0,0.0,1090,0.107569327938419,2760,0.2723773808348959,161,495,0.0583333333333333,0.1793478260869565,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_03R_comparison.png,0.9260176843510176,0.9260176843510176,0.0,0.5752792866659834,0.5752792866659834,0.0,0.0775051435357147,0.0775051435357147,0.0,0.9953260645215136,0.9953260645215136,0.0,0.1366059042566137,0.1366059042566137,0.0,0.0733102592568406,0.0733102592568406,0.0,0.0046739354784862,0.0046739354784862,0.0,0.9224948564642852,0.9224948564642852,0.0,0.5364156040286142,0.5364156040286142,0.0,0.1366059042566137,0.1366059042566137,0.0,True,0.0101737153820487,9757,959040,20,487.85,281.0,552.2697053976435,31,1787,0,0.0,0,0.0,1787,0.1831505585733319,3044,0.3119811417443886,151,627,0.0496057818659658,0.2059789750328515,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_04L_comparison.png,0.9230835001668336,0.9230835001668336,0.0,0.6519289120069354,0.6519289120069354,0.0,0.0400170285227756,0.0400170285227756,0.0,0.9981829948227796,0.9981829948227796,0.0,0.0754054799328169,0.0754054799328169,0.0,0.0391799307057076,0.0391799307057076,0.0,0.0018170051772202,0.0018170051772202,0.0,0.9599829714772244,0.9599829714772244,0.0,0.5191000116727776,0.5191000116727776,0.0,0.0754054799328169,0.0754054799328169,0.0,True,0.004811061061061,4614,959040,14,329.57142857142856,105.5,410.1089949697544,24,1527,0,0.0,0,0.0,1527,0.3309492847854356,1414,0.306458604247941,84,296,0.0594059405940594,0.2093352192362093,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_04R_comparison.png,0.9293084751418084,0.9293084751418084,0.0,0.7177745664739884,0.7177745664739884,0.0,0.1345632856523623,0.1345632856523623,0.0,0.9955875176228176,0.9955875176228176,0.0,0.2266380726409929,0.2266380726409929,0.0,0.1278013636948411,0.1278013636948411,0.0,0.0044124823771825,0.0044124823771825,0.0,0.8654367143476376,0.8654367143476376,0.0,0.56507540163759,0.56507540163759,0.0,0.2266380726409929,0.2266380726409929,0.0,True,0.014431097764431,13840,959040,30,461.3333333333333,210.0,627.5170294280645,12,2648,0,0.0,0,0.0,2648,0.1913294797687861,3546,0.2562138728323699,182,757,0.0513254371122391,0.2134799774393683,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_05L_comparison.png,0.9262971304637972,0.9262971304637972,0.0,0.8417630997269536,0.8417630997269536,0.0,0.0852503917514913,0.0852503917514913,0.0,0.9986218985640342,0.9986218985640342,0.0,0.1548211211019705,0.1548211211019705,0.0,0.0839057518338992,0.0839057518338992,0.0,0.0013781014359658,0.0013781014359658,0.0,0.9147496082485088,0.9147496082485088,0.0,0.5419361451577627,0.5419361451577627,0.0,0.1548211211019705,0.1548211211019705,0.0,True,0.0080194778111444,7691,959040,30,256.3666666666667,152.0,238.69303625274776,32,899,0,0.0,0,0.0,899,0.1168898712781172,2259,0.293719932388506,164,462,0.0725984949092518,0.2045152722443559,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a05_selective_hybrid_edge_delayed\CHASEDB1\comparison\Image_05R_comparison.png,0.9166906489823156,0.9166906489823156,0.0,0.6913740788903338,0.6913740788903338,0.0,0.0390629783378029,0.0390629783378029,0.0,0.9983769804770356,0.9983769804770356,0.0,0.0739478655956975,0.0739478655956975,0.0,0.0383934911598685,0.0383934911598685,0.0,0.0016230195229644,0.0016230195229644,0.0,0.9609370216621972,0.9609370216621972,0.0,0.5187199794074192,0.5187199794074192,0.0,0.0739478655956975,0.0739478655956975,0.0,True,0.004811061061061,4614,959040,21,219.7142857142857,165.0,199.67548502439624,29,695,0,0.0,0,0.0,695,0.1506285218899003,1437,0.3114434330299089,97,285,0.0675017397355602,0.1983298538622129,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
