dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.41743444365698085,4233,4233,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_01L_debug.json,0.9295295295295295,0.41743444365698085,0.02641847947970397,0.9972359063167274,0.04969206108158272,0.025479084656313534,1767,2466,889689,65118,0.0027640936832725254,0.973581520520296,0.5118271928982157,0.04969206108158272,959040,4233,66885,0.9295295295295295,0.41743444365698085,0.02641847947970397,0.9972359063167274,0.04969206108158272,0.025479084656313534,1767,2466,889689,65118,0.0027640936832725254,0.973581520520296,0.5118271928982157,0.04969206108158272,959040,4233,66885,0.004413788788788789,4233,959040,15,282.2,199.0,280.9932858035342,22,1006,0,0.0,0,0.0,1006,0.23765650838648714,1318,0.31136309945665014,91,301,0.06904400606980274,0.2283763277693475,low,low,conservative,0.004413788788788789,4233,959040,15,282.2,199.0,280.9932858035342,22,1006,0,0.0,0,0.0,1006,0.23765650838648714,1318,0.31136309945665014,91,301,0.06904400606980274,0.2283763277693475,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.39181435675124315,7843,7843,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_01R_debug.json,0.9222816566566566,0.39181435675124315,0.04218951646118784,0.9946174799876326,0.0761765471424499,0.039596433357385837,3073,4770,881432,69765,0.005382520012367383,0.9578104835388122,0.5184034982244102,0.0761765471424499,959040,7843,72838,0.9222816566566566,0.39181435675124315,0.04218951646118784,0.9946174799876326,0.0761765471424499,0.039596433357385837,3073,4770,881432,69765,0.005382520012367383,0.9578104835388122,0.5184034982244102,0.0761765471424499,959040,7843,72838,0.008177969636302969,7843,959040,15,522.8666666666667,251.0,538.197221182801,27,1708,0,0.0,0,0.0,1708,0.21777381104169322,2978,0.37970164477878365,227,822,0.07622565480188045,0.27602417730020146,low,low,conservative,0.008177969636302969,7843,959040,15,522.8666666666667,251.0,538.197221182801,27,1708,0,0.0,0,0.0,1708,0.21777381104169322,2978,0.37970164477878365,227,822,0.07622565480188045,0.27602417730020146,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.47089987714987713,13024,13024,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_02L_debug.json,0.9180659826493159,0.47089987714987713,0.0788100745309689,0.9921801593245727,0.1350226762361851,0.07239909811004475,6133,6891,874329,71687,0.007819840675427249,0.9211899254690311,0.5354951169277709,0.1350226762361851,959040,13024,77820,0.9180659826493159,0.47089987714987713,0.0788100745309689,0.9921801593245727,0.1350226762361851,0.07239909811004475,6133,6891,874329,71687,0.007819840675427249,0.9211899254690311,0.5354951169277709,0.1350226762361851,959040,13024,77820,0.013580246913580247,13024,959040,25,520.96,221.0,632.7377643226299,16,2616,0,0.0,0,0.0,2616,0.20085995085995087,3987,0.3061271498771499,239,899,0.059944820667168296,0.22548281916227741,low,low,conservative,0.013580246913580247,13024,959040,25,520.96,221.0,632.7377643226299,16,2616,0,0.0,0,0.0,2616,0.20085995085995087,3987,0.3061271498771499,239,899,0.059944820667168296,0.22548281916227741,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.5210946408209807,7893,7893,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_02R_debug.json,0.9222587170503838,0.5210946408209807,0.05492055014020564,0.9957247073460386,0.09936822777623425,0.05228168297953477,4113,3780,880370,70777,0.004275292653961432,0.9450794498597944,0.5253226287431221,0.09936822777623425,959040,7893,74890,0.9222587170503838,0.5210946408209807,0.05492055014020564,0.9957247073460386,0.09936822777623425,0.05228168297953477,4113,3780,880370,70777,0.004275292653961432,0.9450794498597944,0.5253226287431221,0.09936822777623425,959040,7893,74890,0.008230105105105105,7893,959040,31,254.61290322580646,150.0,288.28241948112947,10,1082,1,0.03225806451612903,10,0.0012669453946534905,1082,0.13708349170150766,2735,0.34650956543772965,195,579,0.0712979890310786,0.2117001828153565,low,low,conservative,0.008230105105105105,7893,959040,31,254.61290322580646,150.0,288.28241948112947,10,1082,1,0.03225806451612903,10,0.0012669453946534905,1082,0.13708349170150766,2735,0.34650956543772965,195,579,0.0712979890310786,0.2117001828153565,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.7208131846442317,10133,10133,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_03L_debug.json,0.9262585502168835,0.7208131846442317,0.09713282621416033,0.9967992089101697,0.17119619355670404,0.09361102210829862,7304,2829,881015,67892,0.003200791089830332,0.9028671737858397,0.546966017562165,0.17119619355670404,959040,10133,75196,0.9262585502168835,0.7208131846442317,0.09713282621416033,0.9967992089101697,0.17119619355670404,0.09361102210829862,7304,2829,881015,67892,0.003200791089830332,0.9028671737858397,0.546966017562165,0.17119619355670404,959040,10133,75196,0.010565774107440773,10133,959040,31,326.8709677419355,276.0,289.9668214541532,15,1090,0,0.0,0,0.0,1090,0.10756932793841903,2760,0.2723773808348959,161,495,0.058333333333333334,0.1793478260869565,low,low,conservative,0.010565774107440773,10133,959040,31,326.8709677419355,276.0,289.9668214541532,15,1090,0,0.0,0,0.0,1090,0.10756932793841903,2760,0.2723773808348959,161,495,0.058333333333333334,0.1793478260869565,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.5752792866659834,9757,9757,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_03R_debug.json,0.9260176843510177,0.5752792866659834,0.07750514353571478,0.9953260645215137,0.1366059042566137,0.0733102592568406,5613,4144,882475,66808,0.0046739354784862495,0.9224948564642852,0.5364156040286142,0.1366059042566137,959040,9757,72421,0.9260176843510177,0.5752792866659834,0.07750514353571478,0.9953260645215137,0.1366059042566137,0.0733102592568406,5613,4144,882475,66808,0.0046739354784862495,0.9224948564642852,0.5364156040286142,0.1366059042566137,959040,9757,72421,0.010173715382048715,9757,959040,20,487.85,281.0,552.2697053976435,31,1787,0,0.0,0,0.0,1787,0.18315055857333196,3044,0.3119811417443886,151,627,0.049605781865965835,0.2059789750328515,low,low,conservative,0.010173715382048715,9757,959040,20,487.85,281.0,552.2697053976435,31,1787,0,0.0,0,0.0,1787,0.18315055857333196,3044,0.3119811417443886,151,627,0.049605781865965835,0.2059789750328515,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.6519289120069354,4614,4614,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_04L_debug.json,0.9230835001668335,0.6519289120069354,0.04001702852277565,0.9981829948227797,0.07540547993281693,0.03917993070570766,3008,1606,882266,72160,0.001817005177220231,0.9599829714772243,0.5191000116727776,0.07540547993281693,959040,4614,75168,0.9230835001668335,0.6519289120069354,0.04001702852277565,0.9981829948227797,0.07540547993281693,0.03917993070570766,3008,1606,882266,72160,0.001817005177220231,0.9599829714772243,0.5191000116727776,0.07540547993281693,959040,4614,75168,0.004811061061061061,4614,959040,14,329.57142857142856,105.5,410.1089949697544,24,1527,0,0.0,0,0.0,1527,0.3309492847854356,1414,0.306458604247941,84,296,0.0594059405940594,0.20933521923620935,low,low,conservative,0.004811061061061061,4614,959040,14,329.57142857142856,105.5,410.1089949697544,24,1527,0,0.0,0,0.0,1527,0.3309492847854356,1414,0.306458604247941,84,296,0.0594059405940594,0.20933521923620935,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.7177745664739884,13840,13840,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_04R_debug.json,0.9293084751418085,0.7177745664739884,0.13456328565236236,0.9955875176228175,0.2266380726409929,0.12780136369484113,9934,3906,881310,63890,0.004412482377182518,0.8654367143476376,0.56507540163759,0.2266380726409929,959040,13840,73824,0.9293084751418085,0.7177745664739884,0.13456328565236236,0.9955875176228175,0.2266380726409929,0.12780136369484113,9934,3906,881310,63890,0.004412482377182518,0.8654367143476376,0.56507540163759,0.2266380726409929,959040,13840,73824,0.014431097764431097,13840,959040,30,461.3333333333333,210.0,627.5170294280645,12,2648,0,0.0,0,0.0,2648,0.19132947976878611,3546,0.25621387283236996,182,757,0.05132543711223914,0.2134799774393683,low,low,conservative,0.014431097764431097,13840,959040,30,461.3333333333333,210.0,627.5170294280645,12,2648,0,0.0,0,0.0,2648,0.19132947976878611,3546,0.25621387283236996,182,757,0.05132543711223914,0.2134799774393683,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.8417630997269536,7691,7691,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_05L_debug.json,0.9262971304637971,0.8417630997269536,0.0852503917514913,0.9986218985640342,0.15482112110197055,0.08390575183389927,6474,1217,881882,69467,0.001378101435965843,0.9147496082485087,0.5419361451577627,0.15482112110197055,959040,7691,75941,0.9262971304637971,0.8417630997269536,0.0852503917514913,0.9986218985640342,0.15482112110197055,0.08390575183389927,6474,1217,881882,69467,0.001378101435965843,0.9147496082485087,0.5419361451577627,0.15482112110197055,959040,7691,75941,0.008019477811144479,7691,959040,30,256.3666666666667,152.0,238.69303625274776,32,899,0,0.0,0,0.0,899,0.11688987127811729,2259,0.293719932388506,164,462,0.07259849490925188,0.20451527224435592,low,low,conservative,0.008019477811144479,7691,959040,30,256.3666666666667,152.0,238.69303625274776,32,899,0,0.0,0,0.0,899,0.11688987127811729,2259,0.293719932388506,164,462,0.07259849490925188,0.20451527224435592,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.6913740788903338,4614,4614,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a06_process_context_record_only\CHASEDB1\debug\Image_05R_debug.json,0.9166906489823157,0.6913740788903338,0.03906297833780292,0.9983769804770355,0.07394786559569758,0.03839349115986857,3190,1424,875953,78473,0.0016230195229644726,0.9609370216621971,0.5187199794074192,0.07394786559569758,959040,4614,81663,0.9166906489823157,0.6913740788903338,0.03906297833780292,0.9983769804770355,0.07394786559569758,0.03839349115986857,3190,1424,875953,78473,0.0016230195229644726,0.9609370216621971,0.5187199794074192,0.07394786559569758,959040,4614,81663,0.004811061061061061,4614,959040,21,219.71428571428572,165.0,199.67548502439624,29,695,0,0.0,0,0.0,695,0.1506285218899003,1437,0.31144343302990896,97,285,0.0675017397355602,0.19832985386221294,low,low,conservative,0.004811061061061061,4614,959040,21,219.71428571428572,165.0,199.67548502439624,29,695,0,0.0,0,0.0,695,0.1506285218899003,1437,0.31144343302990896,97,285,0.0675017397355602,0.19832985386221294,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
