dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_04R_comparison.png,0.5301846295484923,0.5471510242439838,0.016966394695491438,0.01714969022347107,0.015008669267446817
CHASEDB1,Image_14L,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_14L_comparison.png,0.5774035506900929,0.5918639756641098,0.014460424974016894,0.010896453324680921,0.021086755639040722
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_07R_comparison.png,0.5683660042130468,0.5825363449320582,0.014170340719011354,0.012351912862823389,0.01658261155575047
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05L_comparison.png,0.5825009988014382,0.596158831419136,0.013657832617697707,0.007029868909185888,0.024532202630989874
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_07L_comparison.png,0.5656160675207625,0.5790210546230979,0.013404987102335397,0.011370238599312688,0.0163188262225733
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05R_comparison.png,0.6175098414871826,0.6304408459254155,0.012931004438232918,0.007344131907061957,0.02102543379498667
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_14R_comparison.png,0.4846157515622764,0.4963749306313886,0.011759179069112224,0.008971246385401921,0.017038264806002568
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_01R_comparison.png,0.5428123951224969,0.5541291116506469,0.011316716528150028,0.006676168281311956,0.02005821137318431
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_02R_comparison.png,0.5141356158644974,0.5253447456015217,0.01120912973702426,0.005803976743079808,0.020616904793697377
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_08R_comparison.png,0.5365474830000695,0.5470143272217213,0.010466844221651783,0.006232176647315513,0.019496184458849597
