dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0004,E:\ca_apsrg_retinal_project\outputs\experiments\STARE\comparison\im0004_comparison.png,0.4177973505446895,0.4991521504547556,0.08135479991006606,-0.024430641821946097,0.054508041372989924
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_04R_comparison.png,0.448739511590104,0.5214312294906348,0.0726917179005308,-0.020562418725617704,0.039191665262992226
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05L_comparison.png,0.5139055491154679,0.5796671609820399,0.06576161186657192,-0.022780843022873087,0.030013970275443724
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_07R_comparison.png,0.4832921684141735,0.5486757579172772,0.06538358950310369,-0.021982238789606368,0.03400100138647377
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_07L_comparison.png,0.4742065290289837,0.5378299182055822,0.06362338917659854,-0.017376403967924614,0.036271864108522345
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05R_comparison.png,0.5622372417677469,0.62518443378827,0.06294719202052312,-0.020388670511737206,0.026688615781976455
CHASEDB1,Image_14L,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_14L_comparison.png,0.4648138893516205,0.5269940824589477,0.06218019310732725,-0.017496553709117846,0.03966732100094805
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_01R_comparison.png,0.4579076574450004,0.5170040262533782,0.059096368808377764,-0.022350970647189716,0.030715800219214273
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_03R_comparison.png,0.5088088699013326,0.5668417436267716,0.05803287372543908,-0.01861338562019299,0.029030211015804053
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\experiments\STARE\comparison\im0319_comparison.png,0.248842230427436,0.3068230862792796,0.05798085585184362,-0.014524527267744558,0.06473238447882818
