dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\28_comparison.png,0.722088048578526,0.7204438606194691,-0.0016441879590569641,0.00011694095804426485,-0.0027321556086807863
DRIVE,39,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\39_comparison.png,0.7341021655037779,0.7325448716787714,-0.0015572938250065782,-3.5172526084092937e-05,-0.002927896147876363
DRIVE,40,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\40_comparison.png,0.7580269421655019,0.7571628728653522,-0.0008640693001497057,0.0010150849264222161,-0.0026399999999999757
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\38_comparison.png,0.7511654188444695,0.7504640678865022,-0.0007013509579673061,0.00019993863566325487,-0.001580222635811257
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\22_comparison.png,0.7101791175185671,0.709760963147027,-0.0004181543715401359,0.0006777391529634302,-0.0013422818791946067
DRIVE,33,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\33_comparison.png,0.7348658553314912,0.7344670489356688,-0.00039880639582234867,0.001291581750464177,-0.0017991678848532366
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\23_comparison.png,0.4963930234681764,0.4960816341512654,-0.0003113893169109927,0.0010749800111546914,-0.0034539928156949173
DRIVE,36,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\36_comparison.png,0.7162784845959079,0.7161709423219089,-0.00010754227399900618,4.406923561717235e-05,-0.00019507301304200197
DRIVE,24,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\24_comparison.png,0.7134235749895815,0.7133197480548351,-0.00010382693474642046,0.00012446445932956518,-0.00020934188146015664
DRIVE,32,E:\ca_apsrg_retinal_project\outputs\experiments_exp4_static\DRIVE\comparison\32_comparison.png,0.7299925789946491,0.7299960891669925,3.510172343457185e-06,0.0011109671214845074,-0.0008903398130286622
