dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\experiments\STARE\comparison\im0255_comparison.png,0.6903080028080029,0.6730981023381905,-0.01720990046981241,0.008284304672453335,-0.007075164301760917
STARE,im0162,E:\ca_apsrg_retinal_project\outputs\experiments\STARE\comparison\im0162_comparison.png,0.5230235731069507,0.5068678061326863,-0.01615576697426435,0.006163021868787366,-0.011665114106450658
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\experiments\DRIVE\comparison\37_comparison.png,0.7102308609922111,0.6941801432269777,-0.01605071776523337,0.014007836066710522,-0.0011638990852672615
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\experiments\DRIVE\comparison\21_comparison.png,0.7070733532934131,0.6911228943476536,-0.015950458945759527,0.010831643002028435,-0.0038907872696642976
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\experiments\DRIVE\comparison\22_comparison.png,0.7402819774855186,0.7247126235980573,-0.015569353887461279,0.014161073825503356,0.00020573089640318898
STARE,im0081,E:\ca_apsrg_retinal_project\outputs\experiments\STARE\comparison\im0081_comparison.png,0.5673216378916417,0.5520849302468189,-0.015236707644822767,0.008065791554641821,-0.009307650585240745
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\experiments\DRIVE\comparison\27_comparison.png,0.7115352306710124,0.6970518031094768,-0.014483427561535644,0.014928967011798688,-0.00042234445598210435
DRIVE,29,E:\ca_apsrg_retinal_project\outputs\experiments\DRIVE\comparison\29_comparison.png,0.7019674257711156,0.6877644447527225,-0.014202981018393124,0.012618069074915361,-0.0010556526559220014
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\experiments\DRIVE\comparison\28_comparison.png,0.8124927209907217,0.7987311065497295,-0.01376161444099222,0.014685336396659365,0.003354294313481332
STARE,im0239,E:\ca_apsrg_retinal_project\outputs\experiments\STARE\comparison\im0239_comparison.png,0.6160357157286575,0.6025,-0.013535715728657416,0.009652456864728931,-0.005664474665940777
