dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_01L_comparison.png,0.9169732232232232,0.9179439856523188,0.0009707624290956618,0.4425910405796318,0.4475912382845782,0.005000197704946419,0.734290199596322,0.7539956641997458,0.019705464603423817,0.930668998100106,0.9302352169746289,-0.00043378112547709513,0.5522906686458403,0.561726916800793,0.009436248154952698,0.3814927877333209,0.3905565106949801,0.009063722961659193,0.069331001899894,0.0697647830253711,0.000433781125477109,0.265709800403678,0.2460043358002541,-0.019705464603423872,0.832479598848214,0.8421154405871873,0.00963584173897336,0.5522906686458403,0.561726916800793,0.009436248154952698,True,0.1157063313313313,110967,959040,1072,103.51399253731344,27.0,592.5967628258458,8,15719,132,0.1231343283582089,1258,0.011336703704705,15719,0.1416547261798552,24767,0.2231924806473997,3120,3767,0.1259740784107885,0.152097549158154,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_01R_comparison.png,0.914773106439773,0.9161286286286286,0.0013555221888555957,0.4580053236676672,0.4646814919489792,0.006676168281311956,0.6661632664268651,0.6862214778000494,0.02005821137318431,0.9352066458888606,0.9350249717333068,-0.0001816741555538126,0.5428123951224969,0.5541291116506469,0.011316716528150028,0.3725068709791337,0.3832493731741541,0.010742502195020376,0.0647933541111394,0.0649750282666931,0.0001816741555537016,0.3338367335731349,0.3137785221999505,-0.02005821137318442,0.8006849561578628,0.8106232247666781,0.009938268608815304,0.5428123951224969,0.5541291116506469,0.011316716528150028,True,0.1104667167167167,105942,959040,1159,91.4081104400345,24.0,520.7905966175344,8,13874,183,0.1578947368421052,1750,0.016518472371675,13874,0.1309584489626399,25629,0.2419153876649487,3393,4047,0.1323890904834367,0.1579070584103944,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_02L_comparison.png,0.9090267350684016,0.9098827994661328,0.0008560643977312266,0.455999178514418,0.4603117505995204,0.004312572085102384,0.6277049601644822,0.6413132870727319,0.013608326908249757,0.9338700891945256,0.9336000090783232,-0.00027008011620244243,0.5282492443617763,0.5359428694158076,0.007693625054031261,0.3589257503949447,0.3660669096990457,0.00714115930410103,0.0661299108054742,0.0663999909216767,0.00027008011620249794,0.3722950398355178,0.358686712927268,-0.013608326908249813,0.780787524679504,0.7874566480755276,0.006669123396023657,0.5282492443617763,0.5359428694158076,0.007693625054031261,True,0.1116981564898231,107123,959040,1046,102.41204588910134,25.0,645.6785375191215,8,19221,155,0.1481835564053537,1470,0.0137225432446813,19221,0.1794292542217824,25206,0.2352996088608422,3116,3789,0.1236213599936523,0.1503213520590335,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_02R_comparison.png,0.9105084250917584,0.9115292375709042,0.0010208124791457607,0.4462636109909981,0.4520675877340779,0.005803976743079808,0.6063559887835492,0.6269728935772466,0.020616904793697377,0.9362709947407114,0.9356319629022224,-0.0006390318384890126,0.5141356158644974,0.5253447456015217,0.01120912973702426,0.3460178609527873,0.3562491938604411,0.010231332907653823,0.0637290052592885,0.0643680370977775,0.0006390318384889987,0.3936440112164508,0.3730271064227534,-0.020616904793697433,0.7713134917621303,0.7813024282397345,0.009988936477604238,0.5141356158644974,0.5253447456015217,0.01120912973702426,True,0.1061019352686019,101756,959040,1060,95.99622641509434,26.0,348.410181686387,8,5194,174,0.1641509433962264,1642,0.0161366405912182,5194,0.0510436731003577,25180,0.2474546955462085,3241,4089,0.1287132644956314,0.1623907863383638,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_03L_comparison.png,0.932913121454788,0.9340611444778112,0.0011480230230231925,0.554810633979867,0.5592449464922711,0.004434312512404115,0.7307436565774775,0.7505585403478908,0.019814883770413294,0.9501133684224818,0.9496732455048628,-0.00044012291761907907,0.6307385916883326,0.6409298416952464,0.010191250006913788,0.4606414727382469,0.4715943748589954,0.010952902120748509,0.0498866315775182,0.0503267544951371,0.00044012291761889866,0.2692563434225224,0.2494414596521091,-0.019814883770413322,0.8404285124999797,0.8501158929263768,0.009687380426397052,0.6307385916883326,0.6409298416952464,0.010191250006913788,True,0.1032709793126459,99041,959040,880,112.54659090909092,26.0,709.3828224156391,8,16455,117,0.1329545454545454,1105,0.0111569955876859,16455,0.1661433143849517,22312,0.22528043941398,2616,3143,0.1172463248476156,0.1408659017569021,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_03R_comparison.png,0.9262835752419086,0.926976976976977,0.0006934017350683774,0.5087660422641203,0.5119169950616053,0.003150952797485007,0.6908079148313334,0.7085237707294846,0.017715855898151167,0.94551774775862,0.944820717805506,-0.0006970299531139368,0.5859740563965916,0.5943842090631082,0.008410152666516568,0.4144012060368106,0.4228639240506329,0.008462718013822312,0.0544822522413799,0.0551792821944939,0.0006970299531140062,0.3091920851686665,0.2914762292705155,-0.017715855898151,0.8181628312949767,0.8266722442674954,0.008509412972518726,0.5859740563965916,0.5943842090631082,0.008410152666516568,True,0.1025337837837837,98334,959040,918,107.11764705882354,26.0,859.9218154244197,8,24459,128,0.1394335511982571,1211,0.0123151707446051,24459,0.2487339068887668,22243,0.2261984664510749,2756,3371,0.1239041496201052,0.1515532976666816,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_04L_comparison.png,0.9142131715048382,0.9152600517183852,0.0010468802135470412,0.4680475980608197,0.473083269361428,0.005035671300608335,0.6922892720306514,0.7132689442315879,0.02097967220093655,0.933086465008508,0.932438181094095,-0.0006482839144129615,0.5585004480839715,0.568862434283471,0.010361986199499573,0.3874440663832448,0.3974896948489072,0.010045628465662426,0.0669135349914919,0.0675618189059049,0.0006482839144130031,0.3077107279693487,0.286731055768412,-0.02097967220093666,0.8126878685195797,0.8228535626628415,0.010165694143261739,0.5585004480839715,0.568862434283471,0.010361986199499573,True,0.1159294711378044,111181,959040,1107,100.43450767841011,28.0,591.8987788549177,8,10194,143,0.1291779584462511,1357,0.0122053228519261,10194,0.0916883280416618,25484,0.2292118257615959,3306,4120,0.1297284570711034,0.1616700674933291,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_04R_comparison.png,0.911671046046046,0.9155885051718384,0.003917459125792444,0.4488791638101856,0.4660288540336567,0.01714969022347107,0.6474588209796273,0.6624674902470741,0.015008669267446817,0.933705445902469,0.936697935871019,0.0029924899685500606,0.5301846295484923,0.5471510242439838,0.016966394695491438,0.3607151212370481,0.3766055752348683,0.015890453997820242,0.066294554097531,0.0633020641289809,-0.002992489968550102,0.3525411790203728,0.3375325097529258,-0.015008669267446983,0.7905821334410481,0.7995827130590465,0.009000579617998383,0.5301846295484923,0.5471510242439838,0.016966394695491438,True,0.1110308224891558,106483,959040,1468,72.53610354223433,20.0,394.9655566386349,8,11866,330,0.2247956403269754,3061,0.0287463726604246,11866,0.1114356282223453,24562,0.2306659278945935,3808,3373,0.1550362348342968,0.137325950655484,normal,medium,normal,normal,normal,medium,14,16,3,3,False,True,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05L_comparison.png,0.9237258091424758,0.9252794461127796,0.0015536369703037511,0.514057762241989,0.5210876311511748,0.007029868909185888,0.6719690285879828,0.6965012312189727,0.024532202630989874,0.9453753203208248,0.944952944120648,-0.00042237620017682165,0.5825009988014382,0.596158831419136,0.013657832617697707,0.4109357384441939,0.4246625934341204,0.013726854989926485,0.0546246796791752,0.0550470558793521,0.0004223762001769049,0.3280309714120172,0.3034987687810274,-0.02453220263098982,0.8086721744544038,0.8207270876698103,0.012054913215406526,0.5825009988014382,0.596158831419136,0.013657832617697707,True,0.1035087170503837,99269,959040,1055,94.09383886255924,25.0,556.2949469225107,8,14711,163,0.1545023696682464,1516,0.0152716356566501,14711,0.1481932929716225,23598,0.237717716507671,3032,3514,0.1284854648699042,0.1489109246546317,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05R_comparison.png,0.9277642225558892,0.929538913913914,0.0017746913580247714,0.5622674897946872,0.5696116217017492,0.007344131907061957,0.6847899293437665,0.7058153631387531,0.02102543379498667,0.950379369415884,0.9503622730023696,-1.7096413514328113e-05,0.6175098414871826,0.6304408459254155,0.012931004438232918,0.4466649094641331,0.4603239254396473,0.013659015975514166,0.049620630584116,0.0496377269976304,1.709641351440444e-05,0.3152100706562335,0.2941846368612468,-0.021025433794986725,0.8175846493798252,0.8280888180705613,0.010504168690736115,0.6175098414871826,0.6304408459254155,0.012931004438232918,True,0.1037057891224557,99458,959040,940,105.8063829787234,26.0,494.6675250961897,8,7274,136,0.1446808510638297,1299,0.013060789478976,7274,0.0731363992841199,22916,0.2304088157815359,2774,3303,0.1210507942049223,0.1441351021120614,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
