dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_04R_comparison.png,0.448739511590104,0.4659881449291936,0.017248633339089603,0.015442132639791883,0.017180483907339728
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_07R_comparison.png,0.4832921684141735,0.4955927636643571,0.012300595250183621,0.016637430106347995,0.014153391361468204
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_07L_comparison.png,0.4742065290289837,0.4854256226079701,0.011219093578986428,0.016077859141353956,0.013218900805498035
CHASEDB1,Image_14L,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_14L_comparison.png,0.4648138893516205,0.4757490024052861,0.010935113053665624,0.021192795358490057,0.01452107431753713
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_14R_comparison.png,0.3639623808712647,0.3730863798704212,0.009123998999156502,0.017466003671425256,0.011990154072233639
CHASEDB1,Image_12R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_12R_comparison.png,0.4778482499412732,0.4853180618718769,0.007469811930603754,0.014313884041934455,0.009948672046946827
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_05R_comparison.png,0.5622372417677469,0.5695648306466757,0.007327588878928815,0.021147888272534665,0.0129714208727012
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_05L_comparison.png,0.5139055491154679,0.5209838100962723,0.0070782609808043295,0.024874573682200585,0.013819023657221763
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_01R_comparison.png,0.4579076574450004,0.4646416750344007,0.006734017589400287,0.02029160602981961,0.011435143468404685
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_08R_comparison.png,0.4358779566360052,0.4422595963993884,0.0063816397633831845,0.020021334208582875,0.010735489508655327
