dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0319_comparison.png,0.3871666605810542,0.3788870703764321,-0.0082795902046221,-0.008036821407449407,0.01644286105782411
STARE,im0291,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0291_comparison.png,0.422421309617229,0.4149368759447318,-0.007484433672497237,-0.0067895695902013276,0.005182556727985843
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\23_comparison.png,0.4963930234681764,0.4930615164520744,-0.0033315070161019644,-0.008278455413032182,0.009026434558349505
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_14R_comparison.png,0.4843004390150792,0.4962905930873128,0.011990154072233639,0.009123998999156502,0.017466003671425256
CHASEDB1,Image_11L,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_11L_comparison.png,0.5056141147471864,0.504042851677082,-0.0015712630701044672,-0.004315688617203495,0.010720084508695438
CHASEDB1,Image_11R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_11R_comparison.png,0.5121760131569576,0.5137839153493378,0.0016079021923801617,-0.000833888420990414,0.010873604130404946
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0003_comparison.png,0.5252349816101348,0.5157812364142248,-0.009453745195910024,-0.011918091157750221,0.007812191753797659
CHASEDB1,Image_10L,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_10L_comparison.png,0.5087159514815944,0.5160484835873693,0.0073325321057748916,0.002534566308723618,0.021206471802383664
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_09L_comparison.png,0.5194090963831239,0.517554069427183,-0.0018550269559409749,-0.004505263151223904,0.011046080290165627
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_02R_comparison.png,0.5140274773193191,0.5252868868510426,0.011259409531723552,0.005776422732449771,0.020803845640272378
