dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0162,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0162_comparison.png,0.6654691869997107,0.6539271636171089,-0.011542023382601796,-0.016007789875493672,0.006163021868787366
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0003_comparison.png,0.5252349816101348,0.5157812364142248,-0.009453745195910024,-0.011918091157750221,0.007812191753797659
STARE,im0081,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0081_comparison.png,0.6969733951671955,0.6877290142391654,-0.009244380928030038,-0.01515756766724008,0.008065791554641821
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0319_comparison.png,0.3871666605810542,0.3788870703764321,-0.0082795902046221,-0.008036821407449407,0.01644286105782411
STARE,im0291,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0291_comparison.png,0.422421309617229,0.4149368759447318,-0.007484433672497237,-0.0067895695902013276,0.005182556727985843
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0255_comparison.png,0.7539624540259491,0.7467427953805849,-0.007219658645364224,-0.017452283897764653,0.008284304672453335
STARE,im0044,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0044_comparison.png,0.6560014276973282,0.6496226320787725,-0.006378795618555699,-0.011230646467427441,0.008916463249254103
STARE,im0239,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0239_comparison.png,0.7086504386219717,0.7029200988937121,-0.005730339728259648,-0.013635289125954575,0.009652456864728931
STARE,im0077,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0077_comparison.png,0.7429592638596669,0.7374527489801265,-0.005506514879540458,-0.01241528895945887,0.007277334197578145
STARE,im0002,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0002_comparison.png,0.536134125180243,0.5310997363114627,-0.005034388868780271,-0.008806495190181729,0.011310051409324617
