dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0255_comparison.png,0.6905503862359551,0.6730981023381905,-0.017452283897764653,0.008284304672453335,-0.007219658645364224
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\22_comparison.png,0.7409298085688241,0.7247126235980573,-0.01621718497076674,0.014161073825503356,-9.199131394888038e-05
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\37_comparison.png,0.7103951709131747,0.6941801432269777,-0.01621502768619698,0.014042508928261754,-0.0012275296247270528
STARE,im0162,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0162_comparison.png,0.5230235731069507,0.507015783231457,-0.016007789875493672,0.006163021868787366,-0.011542023382601796
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\21_comparison.png,0.7070733532934131,0.6911228943476536,-0.015950458945759527,0.010831643002028435,-0.0038907872696642976
STARE,im0081,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0081_comparison.png,0.5674118231495281,0.552254255482288,-0.01515756766724008,0.008065791554641821,-0.009244380928030038
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\27_comparison.png,0.7115584983026921,0.6970518031094768,-0.014506695193215347,0.015100959719307916,-0.00035024875861122684
DRIVE,29,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\29_comparison.png,0.7021337946943483,0.6877644447527225,-0.014369349941625864,0.012654120700843707,-0.001120847786673762
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\DRIVE\comparison\28_comparison.png,0.8124927209907217,0.7987311065497295,-0.01376161444099222,0.014685336396659365,0.003354294313481332
STARE,im0239,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\STARE\comparison\im0239_comparison.png,0.6161352891259546,0.6025,-0.013635289125954575,0.009652456864728931,-0.005730339728259648
