dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0319_comparison.png,0.3871666605810542,0.4518990450598824,0.06473238447882818,0.05798085585184362,-0.014524527267744558
STARE,im0004,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0004_comparison.png,0.5357216341647425,0.5902296755377324,0.054508041372989924,0.08135479991006606,-0.024430641821946097
STARE,im0291,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0291_comparison.png,0.422421309617229,0.4629030499109382,0.04048174029370921,0.03704442209936737,-0.012979736670090558
CHASEDB1,Image_14L,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_14L_comparison.png,0.5770766429018711,0.6167439639028192,0.03966732100094805,0.06218019310732725,-0.017496553709117846
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_04R_comparison.png,0.5299055206351143,0.5690971858981065,0.039191665262992226,0.0726917179005308,-0.020562418725617704
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_14R_comparison.png,0.4843004390150792,0.5209101443168651,0.03660970530178592,0.04907179154648861,-0.01846406102407816
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_07L_comparison.png,0.5655409458648811,0.6018128099734035,0.036271864108522345,0.06362338917659854,-0.017376403967924614
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_07R_comparison.png,0.5681585800554736,0.6021595814419474,0.03400100138647377,0.06538358950310369,-0.021982238789606368
CHASEDB1,Image_12R,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_12R_comparison.png,0.574905604919849,0.6063801868771017,0.03147458195725272,0.054264003700543406,-0.016697167014228742
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_01R_comparison.png,0.5426298476066865,0.5733456478259008,0.030715800219214273,0.059096368808377764,-0.022350970647189716
