dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,36,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\36_comparison.png,0.7162784845959079,0.685750907925657,-0.030527576670250967,0.01359525467935141,-0.05317132984059747
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\28_comparison.png,0.722088048578526,0.6956364294767337,-0.02645161910179239,0.02196277616405007,-0.0533701760377534
DRIVE,40,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\40_comparison.png,0.7580269421655019,0.7318245200042904,-0.02620242216121149,0.021223138976830924,-0.06611999999999996
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\35_comparison.png,0.7502737615768666,0.7271665726018333,-0.023107188975033388,0.020492817357062765,-0.05347406682510836
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\37_comparison.png,0.7060957530304351,0.6839517539821379,-0.022143999048297225,0.018908944701025665,-0.05793835165216188
DRIVE,24,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\24_comparison.png,0.7134235749895815,0.6915277976730491,-0.021895777316532472,0.01290249135368382,-0.03629464869815513
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\34_comparison.png,0.6159905845429581,0.5945543571759413,-0.02143622736701678,0.013753261656059279,-0.05128999287638991
DRIVE,39,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\39_comparison.png,0.7341021655037779,0.7135246213562676,-0.02057754414751034,0.021738351405537037,-0.05488923380838151
DRIVE,33,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\33_comparison.png,0.7348658553314912,0.7154636192680457,-0.019402236063445488,0.027258317706931656,-0.053900071217062084
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\38_comparison.png,0.7511654188444695,0.733206014870302,-0.01795940397416751,0.021251917502118856,-0.05260385574323134
