dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\23_comparison.png,0.4113071638267607,0.4147575026795284,0.003450338852767687,-0.05558625771391723,-0.016152573594218678
DRIVE,24,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\24_comparison.png,0.869684654173252,0.8825871455269358,0.01290249135368382,-0.03629464869815513,-0.021895777316532472
DRIVE,36,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\36_comparison.png,0.8220409341948526,0.835636188874204,0.01359525467935141,-0.05317132984059747,-0.030527576670250967
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\DRIVE\comparison\34_comparison.png,0.6243081620968255,0.6380614237528848,0.013753261656059279,-0.05128999287638991,-0.02143622736701678
STARE,im0003,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0003_comparison.png,0.3883003833153949,0.4035140927655788,0.01521370945018391,-0.023949496942197612,0.008353243461052151
STARE,im0162,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0162_comparison.png,0.5230235731069507,0.5385714285714286,0.0155478554644779,-0.05261762756792576,-0.0025486977030746427
CHASEDB1,Image_09R,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_09R_comparison.png,0.391737302404341,0.4081106493979192,0.016373346993578175,-0.0071898236342407,0.013399264723644388
STARE,im0163,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0163_comparison.png,0.7102405996856487,0.7270903179924819,0.01684971830683324,-0.022747397026045002,0.0011359587192496523
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0005_comparison.png,0.5647858884486437,0.5825004598687841,0.017714571420140324,-0.03003371931934029,0.00038979857392940076
STARE,im0139,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\STARE\comparison\im0139_comparison.png,0.5659337318877292,0.5840785588977793,0.018144827010050046,-0.01835158704524764,0.006103500177851773
