dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_01L_comparison.png,0.9169565398732066,0.9281437687687688,0.011187228895562229,0.4424940722509218,0.4896149119213437,0.04712083967042191,0.7338117664648277,0.7147491963818494,-0.019062570082978292,0.9306869322034848,0.9441419932635025,0.013455061060017703,0.5520798182268115,0.5811396444309376,0.02905982620412606,0.3812916106678682,0.4095819875084605,0.02829037684059227,0.0693130677965151,0.0558580067364975,-0.0134550610600176,0.2661882335351723,0.2852508036181506,0.019062570082978292,0.8322493493341563,0.829445594822676,-0.002803754511480294,0.5520798182268115,0.5811396444309376,0.02905982620412606,True,0.1156562812812812,110919,959040,1072,103.46921641791045,27.0,591.5696147766532,8,15679,132,0.1231343283582089,1258,0.0113416096430728,15679,0.1413554034926387,24826,0.2238209864856336,3119,3803,0.1256344155321034,0.1531861757834528,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_01R_comparison.png,0.9147543376710044,0.9272658074741408,0.012511469803136333,0.4579076574450004,0.5170040262533782,0.059096368808377764,0.6658200389906368,0.6434690683434471,-0.022350970647189716,0.935214544765189,0.950591400154818,0.015376855389629074,0.5426298476066865,0.5733456478259008,0.030715800219214273,0.3723349532825084,0.4018812594320208,0.029546306149512425,0.064785455234811,0.049408599845182,-0.015376855389628998,0.3341799610093632,0.3565309316565529,0.022350970647189716,0.8005172918779129,0.7970302342491326,-0.003487057628780321,0.5426298476066865,0.5733456478259008,0.030715800219214273,True,0.1104333500166833,105910,959040,1159,91.3805004314064,24.0,520.4954359816691,8,13866,183,0.1578947368421052,1750,0.0165234633179114,13866,0.1309224813520914,25655,0.2422339722405816,3391,4073,0.1321769635548626,0.1587604755408302,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_02L_comparison.png,0.9090058808808807,0.9195393309976644,0.010533450116783638,0.4558695753725417,0.5035015877428392,0.04763201237029746,0.6270110511436648,0.6051400668208686,-0.021870984322796216,0.933908672068269,0.9473037379995914,0.013395065931322447,0.5279164750750588,0.5496618013527946,0.021745326277735844,0.3586185607925857,0.3789887088856161,0.020370148093030394,0.066091327931731,0.0526962620004085,-0.013395065931322503,0.3729889488563351,0.3948599331791313,0.021870984322796216,0.7804598616059669,0.77622190241023,-0.0042379591957368845,0.5279164750750588,0.5496618013527946,0.021745326277735844,True,0.1116063980647314,107035,959040,1046,102.32791586998088,25.0,645.5121867891899,8,19221,155,0.1481835564053537,1470,0.0137338253842201,19221,0.1795767739524454,25304,0.2364086513757182,3114,3850,0.1230635472652545,0.1521498577300031,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_02R_comparison.png,0.9105209376042708,0.9214276776776776,0.010906740073406862,0.4462887936120835,0.4973506908758707,0.05106189726378718,0.6060088129256243,0.5815596207771399,-0.0244491921484844,0.9363139738732116,0.950215461177402,0.013901487304190385,0.5140274773193191,0.5361689031146128,0.022141425795293768,0.3459199073156603,0.366277847393341,0.020357940077680714,0.0636860261267884,0.0497845388225979,-0.013901487304190503,0.3939911870743757,0.4184403792228602,0.02444919214848451,0.7711613933994179,0.765887540977271,-0.005273852422146952,0.5140274773193191,0.5361689031146128,0.022141425795293768,True,0.1060352018685352,101692,959040,1060,95.93584905660376,26.0,348.1622339767416,8,5194,174,0.1641509433962264,1642,0.0161467962081579,5194,0.0510757975061951,25243,0.2482299492585454,3239,4130,0.1283127995880046,0.1636097135839638,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_03L_comparison.png,0.9328797547547548,0.9413173590256924,0.008437604270937538,0.5546755831220389,0.6082294920645819,0.05355390894254297,0.73021171338901,0.7068860045747114,-0.02332570881429863,0.9501224197935382,0.9612623947212404,0.011139974927702245,0.6304531284983552,0.6538572720171721,0.023404143518816922,0.4603370221327967,0.4857265566460149,0.02538953451321818,0.0498775802064617,0.0387376052787596,-0.0111399749277021,0.2697882866109899,0.2931139954252886,0.023325708814298685,0.8401670665912742,0.8340741996479759,-0.006092866943298247,0.6304531284983552,0.6538572720171721,0.023404143518816922,True,0.1032209292625959,98993,959040,880,112.49204545454543,26.0,708.7888965952593,8,16439,117,0.1329545454545454,1105,0.0111624054226056,16439,0.1660622468255331,22372,0.2259957774792157,2616,3174,0.1169318791346325,0.1418737707849097,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_03R_comparison.png,0.9262919169169168,0.9364552052052052,0.010163288288288386,0.5088088699013326,0.5668417436267716,0.05803287372543908,0.6906974496347744,0.6720840640145814,-0.01861338562019299,0.9455357938415486,0.958049624472293,0.012513830630744405,0.5859627132740979,0.6149929242899019,0.029030211015804053,0.4143898599950294,0.4440359439857683,0.02964608399073887,0.0544642061584513,0.0419503755277069,-0.012513830630744405,0.3093025503652256,0.3279159359854185,0.018613385620192935,0.8181166217381615,0.8150668442434372,-0.0030497774947242373,0.5859627132740979,0.6149929242899019,0.029030211015804053,True,0.1025087587587587,98310,959040,918,107.09150326797386,26.0,859.903850526341,8,24459,128,0.1394335511982571,1211,0.0123181771945885,24459,0.2487946292340555,22265,0.2264774692299867,2756,3384,0.1237817201886368,0.1519874242083988,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_04L_comparison.png,0.9141798048048048,0.9261334250917584,0.011953620286953681,0.4678944479932343,0.5222868915786762,0.05439244358544193,0.6918635589612601,0.674502447850149,-0.01736111111111105,0.933086465008508,0.9475331269686108,0.014446661960102802,0.558252870108471,0.5887147808619219,0.030461910753450838,0.3872058133734392,0.4171479817676194,0.029942168394180235,0.0669135349914919,0.0524668730313891,-0.014446661960102802,0.3081364410387399,0.325497552149851,0.017361111111111105,0.812475011984884,0.8110177874093799,-0.0014572245755041235,0.558252870108471,0.5887147808619219,0.030461910753450838,True,0.1158961044377711,111149,959040,1107,100.4056007226739,28.0,591.6773646006214,8,10194,143,0.1291779584462511,1357,0.0122088367866557,10194,0.0917147252786799,25533,0.2297186659349162,3307,4146,0.1295186621235264,0.1623780989307954,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_04R_comparison.png,0.911646021021021,0.9269863613613614,0.015340340340340375,0.448739511590104,0.5214312294906348,0.0726917179005308,0.6469169917641959,0.6263545730385782,-0.020562418725617704,0.9337235205870658,0.952058028774898,0.01833450818783222,0.5299055206351143,0.5690971858981065,0.039191665262992226,0.3604567788486938,0.3977189647609299,0.03726218591223607,0.0662764794129342,0.0479419712251021,-0.018334508187832103,0.3530830082358041,0.3736454269614218,0.020562418725617704,0.7903202561756308,0.789206300906738,-0.0011139552688927967,0.5299055206351143,0.5690971858981065,0.039191665262992226,True,0.1109724307640974,106427,959040,1468,72.49795640326975,20.0,394.4359465564444,8,11842,330,0.2247956403269754,3061,0.028761498491924,11842,0.1112687569883582,24632,0.2314450280473939,3806,3411,0.1545144527443975,0.1384784020785969,normal,medium,normal,normal,normal,medium,24,8,0,3,True,False,False
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_05L_comparison.png,0.9236924424424424,0.9349318068068068,0.011239364364364346,0.5139055491154679,0.5796671609820399,0.06576161186657192,0.6713369589549782,0.6485561159321052,-0.022780843022873087,0.9453934383347732,0.959558328114968,0.014164889780194811,0.582165736014525,0.6121797062899688,0.030013970275443724,0.4106021068908862,0.441108772558327,0.030506665667440758,0.0546065616652266,0.0404416718850321,-0.0141648897801945,0.3286630410450218,0.3514438840678948,0.022780843022872976,0.8083651986448758,0.8040572220235365,-0.0043079766213393045,0.582165736014525,0.6121797062899688,0.030013970275443724,True,0.1034419836503169,99205,959040,1055,94.03317535545024,25.0,555.8426384416927,8,14703,163,0.1545023696682464,1516,0.0152814878282344,14703,0.1482082556322766,23677,0.2386674058767199,3029,3557,0.1279300587067618,0.1502301811884951,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_05R_comparison.png,0.9277537954621288,0.937496871871872,0.009743076409743257,0.5622372417677469,0.62518443378827,0.06294719202052312,0.6845327749409157,0.6641441044291785,-0.020388670511737206,0.9503919067857944,0.9629395345444433,0.012547627758648816,0.6173870306865685,0.644075646468545,0.026688615781976455,0.4465364092405023,0.4750085392234999,0.028472129982997585,0.0496080932142055,0.0370604654555567,-0.012547627758648802,0.3154672250590843,0.3358558955708215,0.020388670511737206,0.817462340863355,0.8135418194868109,-0.003920521376544084,0.6173870306865685,0.644075646468545,0.026688615781976455,True,0.1036724224224224,99426,959040,940,105.77234042553192,26.0,494.60181844531866,8,7274,136,0.1446808510638297,1299,0.0130649930601653,7274,0.0731599380443747,22943,0.2307545310079858,2772,3317,0.1208211654971015,0.1445756875735518,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_06L_comparison.png,0.9199741408074742,0.9305524274274274,0.010578286619953192,0.4795178322374975,0.5344668014945326,0.05494896925703513,0.6626741560658627,0.6439781926317528,-0.01869596343410984,0.941058478977983,0.9540356316081606,0.012977152630177624,0.5564109677717668,0.584134120071181,0.027723152299414244,0.3854358514437629,0.4125631730743788,0.027127321630615875,0.058941521022017,0.0459643683918393,-0.0129771526301777,0.3373258439341373,0.3560218073682471,0.01869596343410984,0.8018663175219228,0.7990069121199568,-0.002859405401966053,0.5564109677717668,0.584134120071181,0.027723152299414244,True,0.1046671671671671,100380,959040,978,102.63803680981596,25.0,1093.224959339538,8,33295,137,0.140081799591002,1300,0.0129507870093644,33295,0.3316895795975293,22727,0.22640964335525,2835,3495,0.1247414968979627,0.1537818453821446,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_06R_comparison.png,0.9169502836169504,0.927467050383717,0.010516766766766605,0.4618276236242443,0.5123045001227103,0.05047687649846605,0.664195741834801,0.6398952179244232,-0.024300523910377847,0.9373946208152628,0.9507276235472324,0.013333002731969579,0.5448269556073698,0.5690353757511926,0.02420842014382274,0.3744069873385905,0.3976585906516807,0.023251603313090174,0.062605379184737,0.0492723764527675,-0.01333300273196951,0.335804258165199,0.3601047820755768,0.02430052391037779,0.800795181325032,0.7953114207358278,-0.00548376058920419,0.5448269556073698,0.5690353757511926,0.02420842014382274,True,0.1076242909576243,103216,959040,983,105.00101729399796,28.0,515.7203744053438,8,10166,116,0.1180061037639877,1090,0.0105603782359324,10166,0.0984924817857696,25544,0.2474810106960161,3119,4168,0.1221030378953961,0.1631694331349827,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_07L_comparison.png,0.9161755505505506,0.9295952202202202,0.013419669669669676,0.4742065290289837,0.5378299182055822,0.06362338917659854,0.7004511439242828,0.6830747399563581,-0.017376403967924614,0.93439747789597,0.9504184471827044,0.016020969286734354,0.5655409458648811,0.6018128099734035,0.036271864108522345,0.3942538089425381,0.4304236330200934,0.03616982407755531,0.06560252210403,0.0495815528172955,-0.0160209692867345,0.2995488560757172,0.3169252600436418,0.017376403967924614,0.8174243109101264,0.8167465935695313,-0.0006777173405950743,0.5655409458648811,0.6018128099734035,0.036271864108522345,True,0.1150504671338004,110338,959040,1270,86.88031496062992,21.0,656.4710605898989,8,15773,243,0.1913385826771653,2298,0.020826913665283,15773,0.1429516576338161,24892,0.2255977088582356,3394,3298,0.1363490278000964,0.1324923670255503,normal,medium,normal,normal,normal,medium,24,8,0,3,True,False,False
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_07R_comparison.png,0.9202900817484152,0.9329225058391724,0.012632424090757155,0.4832921684141735,0.5486757579172772,0.06538358950310369,0.6891788181120491,0.6671965793224427,-0.021982238789606368,0.9393220866927292,0.954805027130978,0.015482940438248827,0.5681585800554736,0.6021595814419474,0.03400100138647377,0.3968027269929695,0.4307784876210027,0.0339757606280332,0.0606779133072707,0.0451949728690219,-0.015482940438248799,0.3108211818879509,0.3328034206775573,0.021982238789606423,0.8142504524023891,0.8110008032267104,-0.003249649175678715,0.5681585800554736,0.6021595814419474,0.03400100138647377,True,0.108497038705372,104053,959040,1208,86.13658940397352,20.0,527.0305767788915,8,12497,243,0.201158940397351,2278,0.0218926893025669,12497,0.1201022555812903,24025,0.2308919492950708,3240,3297,0.1348595213319459,0.1372320499479708,normal,medium,normal,normal,normal,medium,24,8,0,3,True,False,False
CHASEDB1,Image_08L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_08L_comparison.png,0.9278142726059392,0.9339902402402402,0.0061759676343010605,0.4629463872341739,0.4928606487885413,0.029914261554367383,0.7254538419372522,0.7123141908232031,-0.013139651114049022,0.9418069283199594,0.9493185167678544,0.007511588447895012,0.5652072878918247,0.5826069756708644,0.017399687779039663,0.3939295782046119,0.4110412325096755,0.017111654305063617,0.0581930716800406,0.0506814832321457,-0.007511588447894901,0.2745461580627479,0.2876858091767968,0.013139651114048911,0.8336303851286058,0.8308163537955287,-0.002814031333077116,0.5652072878918247,0.5826069756708644,0.017399687779039663,True,0.1013482232232232,97197,959040,635,153.06614173228346,34.0,903.1239965284868,8,20709,81,0.1275590551181102,780,0.0080249390413284,20709,0.2130621315472699,18770,0.1931129561611984,2074,2778,0.1104954714970697,0.1480021310602024,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_08R_comparison.png,0.923436978645312,0.933596096096096,0.010159117450783905,0.4358779566360052,0.4838774002087903,0.04799944357278507,0.6967752523180438,0.6769836711249693,-0.01979158119307456,0.9388156173275952,0.9510068421843773,0.012191224856782035,0.536278837713066,0.5643691684680001,0.028090330754934167,0.3663804633904302,0.3931158039185789,0.026735340528148743,0.0611843826724046,0.0489931578156229,-0.012191224856781702,0.3032247476819562,0.3230163288750308,0.019791581193074614,0.8177954348228196,0.8139952566546732,-0.003800178168146373,0.536278837713066,0.5643691684680001,0.028090330754934167,True,0.1015682349015682,97408,959040,988,98.5910931174089,24.0,588.0320390497508,8,16649,172,0.1740890688259109,1630,0.016733738501971,16649,0.170920252956636,21297,0.2186370729303548,2834,3154,0.1330703855003052,0.1480959759590552,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_09L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_09L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp2_precision_oriented\CHASEDB1\comparison\Image_09L_comparison.png,0.9251001001001,0.9306733817150484,0.005573281614948411,0.3845475619662776,0.4051333509374175,0.020585788971139884,0.7999546616107494,0.7904542082268569,-0.009500453383892493,0.9317694581973298,0.9381460622328438,0.006376604035513989,0.5194090963831239,0.5357020649585542,0.016292968575430278,0.350812027221213,0.3658422593783085,0.01503023215709548,0.0682305418026701,0.0618539377671562,-0.006376604035513905,0.2000453383892506,0.2095457917731432,0.009500453383892604,0.8658620599040396,0.8643001352298503,-0.0015619246741893633,0.5194090963831239,0.5357020649585542,0.016292968575430278,True,0.1052531698365031,100942,959040,448,225.31696428571428,43.0,1861.466928852676,8,37500,36,0.0803571428571428,349,0.0034574309999801,37500,0.3715004656139169,19284,0.1910403994373006,1939,3412,0.1005496784899398,0.1769342460070525,normal,low,normal,normal,normal,low,24,8,0,3,True,False,False
