dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0319,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\STARE\comparison\im0319_comparison.png,0.3871666605810542,0.4199542406729001,0.0327875800918459,0.02791484668872632,-0.001534667032063619
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_04R_comparison.png,0.5299055206351143,0.5498193859121011,0.019913865276986797,0.031335296335492424,-0.003643801473775521
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_07L_comparison.png,0.5655409458648811,0.5844430755446044,0.018902129679723267,0.02816660687998035,-0.001887575469551095
CHASEDB1,Image_14L,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_14L_comparison.png,0.5770766429018711,0.5944390157235498,0.01736237282167874,0.023187121908370523,-0.0005756441912956323
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_14R_comparison.png,0.4843004390150792,0.5015172345458824,0.017216795530803186,0.02032521794812242,-0.0018535350834982811
STARE,im0004,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\STARE\comparison\im0004_comparison.png,0.5357216341647425,0.5527648896884765,0.01704325552373398,0.022015807498743656,-0.0026118808727504383
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_07R_comparison.png,0.5681585800554736,0.5849012477051346,0.016742667649661036,0.026762284709233197,-0.0036865475276832704
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_01R_comparison.png,0.5426298476066865,0.5565560029725386,0.013926155365852066,0.021551603505263084,-0.002622257612784562
CHASEDB1,Image_12R,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_12R_comparison.png,0.574905604919849,0.587583084201666,0.012677479281817061,0.019430033313782125,-0.003475621001262641
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\experiments_exp5_no_skeleton_guard\CHASEDB1\comparison\Image_05R_comparison.png,0.6173870306865685,0.6296413335440038,0.012254302857435229,0.021651652935494314,-0.0013592447007824138
