dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.4425910405796318,110967,112672,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_01L_debug.json,0.9169732232232233,0.4425910405796318,0.734290199596322,0.930668998100106,0.5522906686458403,0.3814927877333209,49113,61854,830301,17772,0.06933100189989408,0.265709800403678,0.832479598848214,0.5522906686458403,959040,110967,66885,0.9179439856523189,0.44759123828457825,0.7539956641997458,0.9302352169746289,0.561726916800793,0.3905565106949801,50431,62241,829914,16454,0.06976478302537115,0.24600433580025416,0.8421154405871873,0.561726916800793,959040,112672,66885,0.11570633133133133,110967,959040,1072,103.51399253731343,27.0,592.5967628258458,8,15719,132,0.12313432835820895,1258,0.011336703704705003,15719,0.14165472617985528,24767,0.2231924806473997,3120,3767,0.12597407841078856,0.152097549158154,normal,low,normal,0.11748415081748415,112672,959040,744,151.44086021505376,34.0,1488.9947163504949,14,39357,0,0.0,0,0.0,39357,0.3493059500142005,22933,0.20353770235728486,2293,3171,0.09998691841451184,0.1382723586098635,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.4580053236676672,105942,107564,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_01R_debug.json,0.914773106439773,0.4580053236676672,0.6661632664268651,0.9352066458888606,0.5428123951224969,0.3725068709791337,48522,57420,828782,24316,0.06479335411113944,0.3338367335731349,0.8006849561578628,0.5428123951224969,959040,105942,72838,0.9161286286286286,0.46468149194897923,0.6862214778000494,0.9350249717333069,0.5541291116506469,0.3832493731741541,49983,57581,828621,22855,0.06497502826669314,0.31377852219995056,0.8106232247666781,0.5541291116506469,959040,107564,72838,0.11046671671671672,105942,959040,1159,91.4081104400345,24.0,520.7905966175344,8,13874,183,0.15789473684210525,1750,0.01651847237167507,13874,0.13095844896263995,25629,0.24191538766494874,3393,4047,0.13238909048343672,0.15790705841039449,normal,low,normal,0.112157991324658,107564,959040,750,143.41866666666667,32.0,1493.0539970314387,14,39224,0,0.0,0,0.0,39224,0.3646573202930348,23370,0.21726599977687702,2351,3409,0.10059905862216517,0.14587077449721866,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.455999178514418,107123,108420,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_02L_debug.json,0.9090267350684017,0.455999178514418,0.6277049601644822,0.9338700891945257,0.5282492443617763,0.35892575039494473,48848,58275,822945,28972,0.06612991080547423,0.37229503983551787,0.780787524679504,0.5282492443617763,959040,107123,77820,0.9098827994661328,0.4603117505995204,0.6413132870727319,0.9336000090783232,0.5359428694158076,0.3660669096990457,49907,58513,822707,27913,0.06639999092167677,0.35868671292726806,0.7874566480755276,0.5359428694158076,959040,108420,77820,0.11169815648982316,107123,959040,1046,102.41204588910134,25.0,645.6785375191215,8,19221,155,0.14818355640535372,1470,0.013722543244681348,19221,0.17942925422178244,25206,0.2352996088608422,3116,3789,0.1236213599936523,0.15032135205903357,normal,low,normal,0.11305055055055055,108420,959040,731,148.31737346101232,33.0,1283.1258623445524,14,33858,0,0.0,0,0.0,33858,0.31228555617044823,23377,0.21561520014757424,2233,3206,0.0955212388244856,0.13714334602386963,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.4462636109909981,101756,103865,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_02R_debug.json,0.9105084250917584,0.4462636109909981,0.6063559887835492,0.9362709947407114,0.5141356158644974,0.34601786095278736,45410,56346,827804,29480,0.06372900525928858,0.3936440112164508,0.7713134917621303,0.5141356158644974,959040,101756,74890,0.9115292375709042,0.4520675877340779,0.6269728935772466,0.9356319629022225,0.5253447456015217,0.3562491938604411,46954,56911,827239,27936,0.06436803709777753,0.3730271064227534,0.7813024282397345,0.5253447456015217,959040,103865,74890,0.10610193526860194,101756,959040,1060,95.99622641509434,26.0,348.410181686387,8,5194,174,0.1641509433962264,1642,0.016136640591218207,5194,0.05104367310035772,25180,0.24745469554620858,3241,4089,0.12871326449563145,0.1623907863383638,normal,low,normal,0.10830100934267602,103865,959040,656,158.33079268292684,35.0,672.1812387372524,14,9346,0,0.0,0,0.0,9346,0.08998218841765754,22573,0.2173301882250999,2139,3123,0.09475922562353253,0.138351127453152,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.554810633979867,99041,100920,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_03L_debug.json,0.9329131214547881,0.554810633979867,0.7307436565774775,0.9501133684224818,0.6307385916883326,0.4606414727382469,54949,44092,839752,20247,0.04988663157751821,0.26925634342252247,0.8404285124999797,0.6307385916883326,959040,99041,75196,0.9340611444778112,0.5592449464922711,0.7505585403478908,0.9496732455048629,0.6409298416952464,0.47159437485899547,56439,44481,839363,18757,0.05032675449513715,0.24944145965210915,0.8501158929263768,0.6409298416952464,959040,100920,75196,0.10327097931264598,99041,959040,880,112.54659090909091,26.0,709.3828224156391,8,16455,117,0.13295454545454546,1105,0.011156995587685908,16455,0.1661433143849517,22312,0.22528043941398007,2616,3143,0.11724632484761563,0.1408659017569021,normal,low,normal,0.10523023023023023,100920,959040,602,167.64119601328903,34.0,1331.063688316996,14,27434,0,0.0,0,0.0,27434,0.2718390804597701,20333,0.20147641696393181,1816,2420,0.08931293955638617,0.11901834456302562,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.5087660422641203,98334,100235,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_03R_debug.json,0.9262835752419086,0.5087660422641203,0.6908079148313334,0.9455177477586201,0.5859740563965916,0.41440120603681063,50029,48305,838314,22392,0.0544822522413799,0.30919208516866653,0.8181628312949767,0.5859740563965916,959040,98334,72421,0.926976976976977,0.5119169950616053,0.7085237707294846,0.9448207178055061,0.5943842090631082,0.4228639240506329,51312,48923,837696,21109,0.05517928219449392,0.2914762292705155,0.8266722442674954,0.5943842090631082,959040,100235,72421,0.10253378378378378,98334,959040,918,107.11764705882354,26.0,859.9218154244197,8,24459,128,0.1394335511982571,1211,0.012315170744605121,24459,0.24873390688876684,22243,0.22619846645107491,2756,3371,0.12390414962010521,0.15155329766668166,normal,low,normal,0.10451597430764098,100235,959040,614,163.24918566775244,34.0,1572.477542070769,14,36969,0,0.0,0,0.0,36969,0.36882326532648274,20218,0.20170599092133487,1905,2578,0.09422296963102186,0.12751013947967157,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.46804759806081975,111181,113331,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_04L_debug.json,0.9142131715048382,0.46804759806081975,0.6922892720306514,0.933086465008508,0.5585004480839715,0.38744406638324486,52038,59143,824729,23130,0.06691353499149198,0.3077107279693487,0.8126878685195797,0.5585004480839715,959040,111181,75168,0.9152600517183851,0.473083269361428,0.7132689442315879,0.932438181094095,0.568862434283471,0.3974896948489072,53615,59716,824156,21553,0.06756181890590493,0.28673105576841207,0.8228535626628415,0.568862434283471,959040,113331,75168,0.11592947113780447,111181,959040,1107,100.43450767841011,28.0,591.8987788549177,8,10194,143,0.12917795844625113,1357,0.012205322851926138,10194,0.0916883280416618,25484,0.22921182576159596,3306,4120,0.12972845707110345,0.16167006749332916,normal,low,normal,0.1181712962962963,113331,959040,774,146.42248062015503,36.0,889.5040519643685,14,14247,0,0.0,0,0.0,14247,0.12571141170553513,23094,0.20377478359848586,2391,3129,0.10353338529488179,0.13548973759418032,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.44887916381018567,106483,104942,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_04R_debug.json,0.9116710460460461,0.44887916381018567,0.6474588209796273,0.933705445902469,0.5301846295484923,0.3607151212370481,47798,58685,826531,26026,0.066294554097531,0.3525411790203728,0.7905821334410481,0.5301846295484923,959040,106483,73824,0.9155885051718385,0.4660288540336567,0.6624674902470741,0.936697935871019,0.5471510242439838,0.3766055752348683,48906,56036,829180,24918,0.06330206412898096,0.33753250975292587,0.7995827130590465,0.5471510242439838,959040,104942,73824,0.11103082248915583,106483,959040,1468,72.53610354223433,20.0,394.9655566386349,8,11866,330,0.22479564032697547,3061,0.02874637266042467,11866,0.11143562822234535,24562,0.2306659278945935,3808,3373,0.15503623483429688,0.13732595065548409,normal,medium,normal,0.109424007340674,104942,959040,889,118.04499437570304,29.0,749.1297089357435,14,20022,0,0.0,0,0.0,20022,0.1907911036572583,22034,0.20996359894036706,2523,2872,0.11450485613143324,0.1303440137968594,normal,low,normal,normal,normal,medium,14,16,3,3,False,True,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.514057762241989,99269,101505,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_05L_debug.json,0.9237258091424758,0.514057762241989,0.6719690285879828,0.9453753203208247,0.5825009988014382,0.4109357384441939,51030,48239,834860,24911,0.05462467967917527,0.3280309714120172,0.8086721744544038,0.5825009988014382,959040,99269,75941,0.9252794461127795,0.5210876311511748,0.6965012312189727,0.9449529441206479,0.596158831419136,0.42466259343412044,52893,48612,834487,23048,0.055047055879352144,0.3034987687810274,0.8207270876698103,0.596158831419136,959040,101505,75941,0.10350871705038371,99269,959040,1055,94.09383886255924,25.0,556.2949469225107,8,14711,163,0.15450236966824646,1516,0.015271635656650113,14711,0.14819329297162256,23598,0.23771771650767107,3032,3514,0.12848546486990423,0.14891092465463174,normal,low,normal,0.10584021521521522,101505,959040,691,146.8958031837916,32.0,1619.444528993199,14,41661,0,0.0,0,0.0,41661,0.41043298359686714,20957,0.2064627358258214,2033,2416,0.09700815956482321,0.11528367609867825,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.5622674897946872,99458,101190,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments\CHASEDB1\debug\Image_05R_debug.json,0.9277642225558892,0.5622674897946872,0.6847899293437665,0.950379369415884,0.6175098414871826,0.4466649094641331,55922,43536,833841,25741,0.04962063058411607,0.3152100706562335,0.8175846493798252,0.6175098414871826,959040,99458,81663,0.929538913913914,0.5696116217017492,0.7058153631387531,0.9503622730023695,0.6304408459254155,0.46032392543964734,57639,43551,833826,24024,0.04963772699763044,0.29418463686124685,0.8280888180705613,0.6304408459254155,959040,101190,81663,0.10370578912245579,99458,959040,940,105.8063829787234,26.0,494.6675250961897,8,7274,136,0.14468085106382977,1299,0.01306078947897605,7274,0.07313639928411993,22916,0.23040881578153594,2774,3303,0.12105079420492232,0.14413510211206143,normal,low,normal,0.10551176176176176,101190,959040,643,157.37169517884914,32.0,915.7777768065635,14,14408,0,0.0,0,0.0,14408,0.14238561122640578,20720,0.20476331653325427,1899,2465,0.09165057915057916,0.11896718146718147,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
