dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.44249407225092185,110919,110919,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_01L_debug.json,0.9169565398732066,0.44249407225092185,0.7338117664648277,0.9306869322034849,0.5520798182268115,0.3812916106678682,49081,61838,830317,17804,0.06931306779651518,0.2661882335351723,0.8322493493341563,0.5520798182268115,959040,110919,66885,0.9169565398732066,0.44249407225092185,0.7338117664648277,0.9306869322034849,0.5520798182268115,0.3812916106678682,49081,61838,830317,17804,0.06931306779651518,0.2661882335351723,0.8322493493341563,0.5520798182268115,959040,110919,66885,0.11565628128128128,110919,959040,1072,103.46921641791045,27.0,591.5696147766532,8,15679,132,0.12313432835820895,1258,0.011341609643072873,15679,0.14135540349263878,24826,0.22382098648563367,3119,3803,0.12563441553210344,0.15318617578345284,normal,low,normal,0.11565628128128128,110919,959040,1072,103.46921641791045,27.0,591.5696147766532,8,15679,132,0.12313432835820895,1258,0.011341609643072873,15679,0.14135540349263878,24826,0.22382098648563367,3119,3803,0.12563441553210344,0.15318617578345284,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.45790765744500045,105910,105910,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_01R_debug.json,0.9147543376710043,0.45790765744500045,0.6658200389906368,0.935214544765189,0.5426298476066865,0.3723349532825084,48497,57413,828789,24341,0.06478545523481102,0.33417996100936326,0.8005172918779129,0.5426298476066865,959040,105910,72838,0.9147543376710043,0.45790765744500045,0.6658200389906368,0.935214544765189,0.5426298476066865,0.3723349532825084,48497,57413,828789,24341,0.06478545523481102,0.33417996100936326,0.8005172918779129,0.5426298476066865,959040,105910,72838,0.11043335001668335,105910,959040,1159,91.38050043140639,24.0,520.4954359816691,8,13866,183,0.15789473684210525,1750,0.016523463317911435,13866,0.1309224813520914,25655,0.24223397224058163,3391,4073,0.1321769635548626,0.15876047554083025,normal,low,normal,0.11043335001668335,105910,959040,1159,91.38050043140639,24.0,520.4954359816691,8,13866,183,0.15789473684210525,1750,0.016523463317911435,13866,0.1309224813520914,25655,0.24223397224058163,3391,4073,0.1321769635548626,0.15876047554083025,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.4558695753725417,107035,107035,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_02L_debug.json,0.9090058808808809,0.4558695753725417,0.6270110511436648,0.933908672068269,0.5279164750750588,0.3586185607925857,48794,58241,822979,29026,0.066091327931731,0.37298894885633516,0.7804598616059669,0.5279164750750588,959040,107035,77820,0.9090058808808809,0.4558695753725417,0.6270110511436648,0.933908672068269,0.5279164750750588,0.3586185607925857,48794,58241,822979,29026,0.066091327931731,0.37298894885633516,0.7804598616059669,0.5279164750750588,959040,107035,77820,0.1116063980647314,107035,959040,1046,102.32791586998088,25.0,645.5121867891899,8,19221,155,0.14818355640535372,1470,0.013733825384220116,19221,0.17957677395244545,25304,0.23640865137571823,3114,3850,0.12306354726525451,0.15214985773000317,normal,low,normal,0.1116063980647314,107035,959040,1046,102.32791586998088,25.0,645.5121867891899,8,19221,155,0.14818355640535372,1470,0.013733825384220116,19221,0.17957677395244545,25304,0.23640865137571823,3114,3850,0.12306354726525451,0.15214985773000317,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.44628879361208357,101692,101692,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_02R_debug.json,0.9105209376042709,0.44628879361208357,0.6060088129256243,0.9363139738732116,0.5140274773193191,0.3459199073156603,45384,56308,827842,29506,0.06368602612678845,0.39399118707437575,0.7711613933994179,0.5140274773193191,959040,101692,74890,0.9105209376042709,0.44628879361208357,0.6060088129256243,0.9363139738732116,0.5140274773193191,0.3459199073156603,45384,56308,827842,29506,0.06368602612678845,0.39399118707437575,0.7711613933994179,0.5140274773193191,959040,101692,74890,0.1060352018685352,101692,959040,1060,95.93584905660377,26.0,348.16223397674156,8,5194,174,0.1641509433962264,1642,0.016146796208157968,5194,0.051075797506195175,25243,0.2482299492585454,3239,4130,0.1283127995880046,0.16360971358396387,normal,low,normal,0.1060352018685352,101692,959040,1060,95.93584905660377,26.0,348.16223397674156,8,5194,174,0.1641509433962264,1642,0.016146796208157968,5194,0.051075797506195175,25243,0.2482299492585454,3239,4130,0.1283127995880046,0.16360971358396387,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.5546755831220389,98993,98993,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_03L_debug.json,0.9328797547547547,0.5546755831220389,0.73021171338901,0.9501224197935382,0.6304531284983552,0.46033702213279676,54909,44084,839760,20287,0.049877580206461776,0.26978828661098997,0.8401670665912742,0.6304531284983552,959040,98993,75196,0.9328797547547547,0.5546755831220389,0.73021171338901,0.9501224197935382,0.6304531284983552,0.46033702213279676,54909,44084,839760,20287,0.049877580206461776,0.26978828661098997,0.8401670665912742,0.6304531284983552,959040,98993,75196,0.10322092926259593,98993,959040,880,112.49204545454545,26.0,708.7888965952593,8,16439,117,0.13295454545454546,1105,0.011162405422605638,16439,0.1660622468255331,22372,0.2259957774792157,2616,3174,0.11693187913463257,0.1418737707849097,normal,low,normal,0.10322092926259593,98993,959040,880,112.49204545454545,26.0,708.7888965952593,8,16439,117,0.13295454545454546,1105,0.011162405422605638,16439,0.1660622468255331,22372,0.2259957774792157,2616,3174,0.11693187913463257,0.1418737707849097,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.5088088699013326,98310,98310,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_03R_debug.json,0.9262919169169169,0.5088088699013326,0.6906974496347744,0.9455357938415486,0.5859627132740979,0.4143898599950294,50021,48289,838330,22400,0.05446420615845138,0.3093025503652256,0.8181166217381615,0.5859627132740979,959040,98310,72421,0.9262919169169169,0.5088088699013326,0.6906974496347744,0.9455357938415486,0.5859627132740979,0.4143898599950294,50021,48289,838330,22400,0.05446420615845138,0.3093025503652256,0.8181166217381615,0.5859627132740979,959040,98310,72421,0.10250875875875876,98310,959040,918,107.09150326797386,26.0,859.903850526341,8,24459,128,0.1394335511982571,1211,0.012318177194588546,24459,0.24879462923405554,22265,0.22647746922998677,2756,3384,0.12378172018863687,0.15198742420839884,normal,low,normal,0.10250875875875876,98310,959040,918,107.09150326797386,26.0,859.903850526341,8,24459,128,0.1394335511982571,1211,0.012318177194588546,24459,0.24879462923405554,22265,0.22647746922998677,2756,3384,0.12378172018863687,0.15198742420839884,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.4678944479932343,111149,111149,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_04L_debug.json,0.9141798048048048,0.4678944479932343,0.6918635589612601,0.933086465008508,0.558252870108471,0.38720581337343923,52006,59143,824729,23162,0.06691353499149198,0.3081364410387399,0.812475011984884,0.558252870108471,959040,111149,75168,0.9141798048048048,0.4678944479932343,0.6918635589612601,0.933086465008508,0.558252870108471,0.38720581337343923,52006,59143,824729,23162,0.06691353499149198,0.3081364410387399,0.812475011984884,0.558252870108471,959040,111149,75168,0.11589610443777111,111149,959040,1107,100.4056007226739,28.0,591.6773646006214,8,10194,143,0.12917795844625113,1357,0.01220883678665575,10194,0.09171472527867996,25533,0.2297186659349162,3307,4146,0.12951866212352642,0.16237809893079544,normal,low,normal,0.11589610443777111,111149,959040,1107,100.4056007226739,28.0,591.6773646006214,8,10194,143,0.12917795844625113,1357,0.01220883678665575,10194,0.09171472527867996,25533,0.2297186659349162,3307,4146,0.12951866212352642,0.16237809893079544,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.448739511590104,106427,106427,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_04R_debug.json,0.911646021021021,0.448739511590104,0.6469169917641959,0.9337235205870658,0.5299055206351143,0.36045677884869387,47758,58669,826547,26066,0.06627647941293424,0.3530830082358041,0.7903202561756308,0.5299055206351143,959040,106427,73824,0.911646021021021,0.448739511590104,0.6469169917641959,0.9337235205870658,0.5299055206351143,0.36045677884869387,47758,58669,826547,26066,0.06627647941293424,0.3530830082358041,0.7903202561756308,0.5299055206351143,959040,106427,73824,0.11097243076409744,106427,959040,1468,72.49795640326975,20.0,394.43594655644443,8,11842,330,0.22479564032697547,3061,0.028761498491924043,11842,0.11126875698835821,24632,0.23144502804739397,3806,3411,0.15451445274439754,0.13847840207859693,normal,medium,normal,0.11097243076409744,106427,959040,1468,72.49795640326975,20.0,394.43594655644443,8,11842,330,0.22479564032697547,3061,0.028761498491924043,11842,0.11126875698835821,24632,0.23144502804739397,3806,3411,0.15451445274439754,0.13847840207859693,normal,medium,normal,normal,normal,medium,18,8,0,0,False,False,False
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.5139055491154679,99205,99205,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_05L_debug.json,0.9236924424424424,0.5139055491154679,0.6713369589549782,0.9453934383347733,0.582165736014525,0.4106021068908862,50982,48223,834876,24959,0.05460656166522666,0.3286630410450218,0.8083651986448758,0.582165736014525,959040,99205,75941,0.9236924424424424,0.5139055491154679,0.6713369589549782,0.9453934383347733,0.582165736014525,0.4106021068908862,50982,48223,834876,24959,0.05460656166522666,0.3286630410450218,0.8083651986448758,0.582165736014525,959040,99205,75941,0.10344198365031698,99205,959040,1055,94.03317535545024,25.0,555.8426384416927,8,14703,163,0.15450236966824646,1516,0.015281487828234463,14703,0.1482082556322766,23677,0.23866740587671992,3029,3557,0.12793005870676183,0.15023018118849515,normal,low,normal,0.10344198365031698,99205,959040,1055,94.03317535545024,25.0,555.8426384416927,8,14703,163,0.15450236966824646,1516,0.015281487828234463,14703,0.1482082556322766,23677,0.23866740587671992,3029,3557,0.12793005870676183,0.15023018118849515,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.5622372417677469,99426,99426,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp6_no_small_component\CHASEDB1\debug\Image_05R_debug.json,0.9277537954621288,0.5622372417677469,0.6845327749409157,0.9503919067857944,0.6173870306865685,0.4465364092405023,55901,43525,833852,25762,0.04960809321420553,0.3154672250590843,0.817462340863355,0.6173870306865685,959040,99426,81663,0.9277537954621288,0.5622372417677469,0.6845327749409157,0.9503919067857944,0.6173870306865685,0.4465364092405023,55901,43525,833852,25762,0.04960809321420553,0.3154672250590843,0.817462340863355,0.6173870306865685,959040,99426,81663,0.10367242242242242,99426,959040,940,105.77234042553191,26.0,494.60181844531866,8,7274,136,0.14468085106382977,1299,0.013064993060165349,7274,0.0731599380443747,22943,0.23075453100798585,2772,3317,0.12082116549710151,0.14457568757355185,normal,low,normal,0.10367242242242242,99426,959040,940,105.77234042553191,26.0,494.60181844531866,8,7274,136,0.14468085106382977,1299,0.013064993060165349,7274,0.0731599380443747,22943,0.23075453100798585,2772,3317,0.12082116549710151,0.14457568757355185,normal,low,normal,normal,normal,low,18,8,0,0,False,False,False
