dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.7962429288077703,9369,9369,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_01L_debug.json,0.9360464631297964,0.7962429288077703,0.11153472377962174,0.9978602372906054,0.19566186691845674,0.10843968950780591,7460,1909,890246,59425,0.002139762709394668,0.8884652762203783,0.5546974805351136,0.19566186691845674,959040,9369,66885,0.9360464631297964,0.7962429288077703,0.11153472377962174,0.9978602372906054,0.19566186691845674,0.10843968950780591,7460,1909,890246,59425,0.002139762709394668,0.8884652762203783,0.5546974805351136,0.19566186691845674,959040,9369,66885,0.009769144144144145,9369,959040,13,720.6923076923077,353.0,1275.1754862410348,8,4959,1,0.07692307692307693,8,0.0008538798164158394,4959,0.5292987512007685,2345,0.25029352118689296,132,456,0.05628997867803838,0.19445628997867803,low,low,conservative,0.009769144144144145,9369,959040,13,720.6923076923077,353.0,1275.1754862410348,8,4959,1,0.07692307692307693,8,0.0008538798164158394,4959,0.5292987512007685,2345,0.25029352118689296,132,456,0.05628997867803838,0.19445628997867803,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.6472527472527473,4550,4550,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_01R_debug.json,0.9254483650316984,0.6472527472527473,0.04043219198769873,0.9981889004989833,0.07610999121310798,0.03956046908372849,2945,1605,884597,69893,0.0018110995010166982,0.9595678080123012,0.519310546243341,0.07610999121310798,959040,4550,72838,0.9254483650316984,0.6472527472527473,0.04043219198769873,0.9981889004989833,0.07610999121310798,0.03956046908372849,2945,1605,884597,69893,0.0018110995010166982,0.9595678080123012,0.519310546243341,0.07610999121310798,959040,4550,72838,0.004744327660994327,4550,959040,18,252.77777777777777,84.0,336.5088005379743,8,1168,2,0.1111111111111111,16,0.0035164835164835165,1168,0.2567032967032967,1422,0.31252747252747254,110,331,0.07735583684950774,0.23277074542897327,low,low,conservative,0.004744327660994327,4550,959040,18,252.77777777777777,84.0,336.5088005379743,8,1168,2,0.1111111111111111,16,0.0035164835164835165,1168,0.2567032967032967,1422,0.31252747252747254,110,331,0.07735583684950774,0.23277074542897327,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.7770646850194224,5921,5921,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_02L_debug.json,0.9222774858191525,0.7770646850194224,0.05912361860704189,0.9985020766664398,0.10988643555725391,0.05813747788728835,4601,1320,879900,73219,0.0014979233335602913,0.9408763813929581,0.5288128476367409,0.10988643555725391,959040,5921,77820,0.9222774858191525,0.7770646850194224,0.05912361860704189,0.9985020766664398,0.10988643555725391,0.05813747788728835,4601,1320,879900,73219,0.0014979233335602913,0.9408763813929581,0.5288128476367409,0.10988643555725391,959040,5921,77820,0.006173882215548882,5921,959040,15,394.73333333333335,69.0,633.417131298343,10,2042,1,0.06666666666666667,10,0.0016889039013680122,2042,0.3448741766593481,1631,0.2754602263131228,111,356,0.06805640711220111,0.21827099938687922,low,low,conservative,0.006173882215548882,5921,959040,15,394.73333333333335,69.0,633.417131298343,10,2042,1,0.06666666666666667,10,0.0016889039013680122,2042,0.3448741766593481,1631,0.2754602263131228,111,356,0.06805640711220111,0.21827099938687922,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.7242189335212591,4257,4257,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_02R_debug.json,0.9239020270270271,0.7242189335212591,0.04116704499933235,0.9986721710117061,0.07790566919782177,0.04053165755153555,3083,1174,882976,71807,0.0013278289882938416,0.9588329550006677,0.5199196080055193,0.07790566919782177,959040,4257,74890,0.9239020270270271,0.7242189335212591,0.04116704499933235,0.9986721710117061,0.07790566919782177,0.04053165755153555,3083,1174,882976,71807,0.0013278289882938416,0.9588329550006677,0.5199196080055193,0.07790566919782177,959040,4257,74890,0.004438813813813814,4257,959040,22,193.5,27.5,358.4453489471138,8,1455,5,0.22727272727272727,45,0.010570824524312896,1455,0.34178999295278367,1256,0.29504345783415553,114,273,0.09076433121019108,0.21735668789808918,low,medium,conservative,0.004438813813813814,4257,959040,22,193.5,27.5,358.4453489471138,8,1455,5,0.22727272727272727,45,0.010570824524312896,1455,0.34178999295278367,1256,0.29504345783415553,114,273,0.09076433121019108,0.21735668789808918,low,medium,conservative,conservative,low,medium,8,4,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.8553978435921933,14654,14654,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_03L_debug.json,0.9324532866199533,0.8553978435921933,0.16669769668599393,0.9976025180914279,0.2790205898720089,0.16212895298454374,12535,2119,881725,62661,0.002397481908572101,0.833302303314006,0.5821501073887109,0.2790205898720089,959040,14654,75196,0.9324532866199533,0.8553978435921933,0.16669769668599393,0.9976025180914279,0.2790205898720089,0.16212895298454374,12535,2119,881725,62661,0.002397481908572101,0.833302303314006,0.5821501073887109,0.2790205898720089,959040,14654,75196,0.015279863196529863,14654,959040,19,771.2631578947369,209.0,1423.451766217571,9,5628,2,0.10526315789473684,18,0.0012283335608025113,5628,0.3840589600109185,3516,0.2399344888767572,205,693,0.058304891922639365,0.197098976109215,low,low,conservative,0.015279863196529863,14654,959040,19,771.2631578947369,209.0,1423.451766217571,9,5628,2,0.10526315789473684,18,0.0012283335608025113,5628,0.3840589600109185,3516,0.2399344888767572,205,693,0.058304891922639365,0.197098976109215,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.7346310869179339,16901,16901,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_03R_debug.json,0.9327556723390057,0.7346310869179339,0.17144198505958216,0.9949414573790997,0.2780054185978818,0.16144384053259825,12416,4485,882134,60005,0.0050585426209002965,0.8285580149404178,0.5831917212193409,0.2780054185978818,959040,16901,72421,0.9327556723390057,0.7346310869179339,0.17144198505958216,0.9949414573790997,0.2780054185978818,0.16144384053259825,12416,4485,882134,60005,0.0050585426209002965,0.8285580149404178,0.5831917212193409,0.2780054185978818,959040,16901,72421,0.01762283116449783,16901,959040,15,1126.7333333333333,179.0,1914.2530124190887,8,5485,2,0.13333333333333333,17,0.001005857641559671,5485,0.32453700964439974,3924,0.23217561091059702,224,852,0.05708460754332314,0.21712538226299694,low,low,conservative,0.01762283116449783,16901,959040,15,1126.7333333333333,179.0,1914.2530124190887,8,5485,2,0.13333333333333333,17,0.001005857641559671,5485,0.32453700964439974,3924,0.23217561091059702,224,852,0.05708460754332314,0.21712538226299694,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.7982625482625483,2072,2072,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_04L_debug.json,0.9229104104104104,0.7982625482625483,0.022004044274159217,0.9995270808442851,0.04282755049197307,0.021882359167041517,1654,418,883454,73514,0.0004729191557148546,0.9779959557258407,0.5107655625592221,0.04282755049197307,959040,2072,75168,0.9229104104104104,0.7982625482625483,0.022004044274159217,0.9995270808442851,0.04282755049197307,0.021882359167041517,1654,418,883454,73514,0.0004729191557148546,0.9779959557258407,0.5107655625592221,0.04282755049197307,959040,2072,75168,0.0021604938271604936,2072,959040,17,121.88235294117646,32.0,176.92600060076333,8,670,2,0.11764705882352941,16,0.007722007722007722,670,0.3233590733590734,709,0.3421814671814672,65,123,0.09167842031029619,0.17348377997179126,low,low,conservative,0.0021604938271604936,2072,959040,17,121.88235294117646,32.0,176.92600060076333,8,670,2,0.11764705882352941,16,0.007722007722007722,670,0.3233590733590734,709,0.3421814671814672,65,123,0.09167842031029619,0.17348377997179126,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.6838718901915928,6994,6994,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_04R_debug.json,0.9257048715382049,0.6838718901915928,0.06478922843519723,0.997502304522286,0.11836472073053032,0.06290524100743079,4783,2211,883005,69041,0.002497695477713914,0.9352107715648028,0.5311457664787417,0.11836472073053032,959040,6994,73824,0.9257048715382049,0.6838718901915928,0.06478922843519723,0.997502304522286,0.11836472073053032,0.06290524100743079,4783,2211,883005,69041,0.002497695477713914,0.9352107715648028,0.5311457664787417,0.11836472073053032,959040,6994,73824,0.00729270937604271,6994,959040,13,538.0,442.0,619.1586102247021,10,1935,2,0.15384615384615385,20,0.0028595939376608523,1935,0.27666571346868746,2369,0.33871890191592796,172,562,0.07260447446179823,0.23723089911355003,low,low,conservative,0.00729270937604271,6994,959040,13,538.0,442.0,619.1586102247021,10,1935,2,0.15384615384615385,20,0.0028595939376608523,1935,0.27666571346868746,2369,0.33871890191592796,172,562,0.07260447446179823,0.23723089911355003,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.8339717631607749,9137,9137,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_05L_debug.json,0.9271792625959293,0.8339717631607749,0.10034105423947538,0.9982821858024978,0.1791297397682127,0.09837589403289525,7620,1517,881582,68321,0.0017178141975022054,0.8996589457605246,0.5493116200209867,0.1791297397682127,959040,9137,75941,0.9271792625959293,0.8339717631607749,0.10034105423947538,0.9982821858024978,0.1791297397682127,0.09837589403289525,7620,1517,881582,68321,0.0017178141975022054,0.8996589457605246,0.5493116200209867,0.1791297397682127,959040,9137,75941,0.009527235568902236,9137,959040,16,571.0625,115.0,1084.445622700258,11,4420,1,0.0625,11,0.0012038962460326147,4420,0.4837474006785597,2361,0.25839991244390936,165,525,0.0698856416772554,0.22236340533672172,low,low,conservative,0.009527235568902236,9137,959040,16,571.0625,115.0,1084.445622700258,11,4420,1,0.0625,11,0.0012038962460326147,4420,0.4837474006785597,2361,0.25839991244390936,165,525,0.0698856416772554,0.22236340533672172,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.8433788188497873,18101,18101,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\experiments_exp7_harris_seed\CHASEDB1\debug\Image_05R_debug.json,0.9278111444778111,0.8433788188497873,0.18693900542473335,0.9967687778457835,0.30604225973296983,0.18066699803545647,15266,2835,874542,66397,0.0032312221542164883,0.8130609945752666,0.5918538916352585,0.30604225973296983,959040,18101,81663,0.9278111444778111,0.8433788188497873,0.18693900542473335,0.9967687778457835,0.30604225973296983,0.18066699803545647,15266,2835,874542,66397,0.0032312221542164883,0.8130609945752666,0.5918538916352585,0.30604225973296983,959040,18101,81663,0.01887408241574908,18101,959040,17,1064.764705882353,316.0,1645.1837204544795,10,6431,1,0.058823529411764705,10,0.000552455665432849,6431,0.3552842384398652,4682,0.25865974255565993,259,981,0.05531824006834686,0.20952584365655702,low,low,conservative,0.01887408241574908,18101,959040,17,1064.764705882353,316.0,1645.1837204544795,10,6431,1,0.058823529411764705,10,0.000552455665432849,6431,0.3552842384398652,4682,0.25865974255565993,259,981,0.05531824006834686,0.20952584365655702,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
