dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\DRIVE\comparison\34_comparison.png,0.6129827988676059,0.612776103586449,-0.00020669528115691005,-0.00010936576873987747,-0.00027874996128474105
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_01L_comparison.png,0.6076129972140245,0.6076129972140245,0.0,0.0,0.0
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_02L_comparison.png,0.5233261291942279,0.5233261291942279,0.0,0.0,0.0
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_01R_comparison.png,0.616735332499778,0.616735332499778,0.0,0.0,0.0
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_03L_comparison.png,0.6615107607678566,0.6615107607678566,0.0,0.0,0.0
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_03R_comparison.png,0.6475699060732586,0.6475699060732586,0.0,0.0,0.0
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_04L_comparison.png,0.6643980611336433,0.6643980611336433,0.0,0.0,0.0
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_02R_comparison.png,0.4846875200262032,0.4846875200262032,0.0,0.0,0.0
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_08R_comparison.png,0.586357285006563,0.586357285006563,0.0,0.0,0.0
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_05R_comparison.png,0.7015170717628901,0.7015170717628901,0.0,0.0,0.0
