dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.6103768745662472,66282,66282,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_01L_debug.json,0.9455153069736403,0.6103768745662472,0.6048740375270988,0.9710532362649988,0.6076129972140245,0.4363822672850825,40457,25825,866330,26428,0.028946763735001206,0.39512596247290127,0.7879636368960488,0.6076129972140245,959040,66282,66885,0.9455153069736403,0.6103768745662472,0.6048740375270988,0.9710532362649988,0.6076129972140245,0.4363822672850825,40457,25825,866330,26428,0.028946763735001206,0.39512596247290127,0.7879636368960488,0.6076129972140245,959040,66282,66885,0.06911286286286286,66282,959040,31,2138.1290322580644,252.0,7158.478928096097,25,40282,0,0.0,0,0.0,40282,0.6077366404151957,10709,0.1615672429920642,451,1644,0.04211410962741619,0.15351573442898497,normal,low,normal,0.06911286286286286,66282,959040,31,2138.1290322580644,252.0,7158.478928096097,25,40282,0,0.0,0,0.0,40282,0.6077366404151957,10709,0.1615672429920642,451,1644,0.04211410962741619,0.15351573442898497,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.613862328795071,73523,73523,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_01R_debug.json,0.9415092175508842,0.613862328795071,0.6196353551717511,0.9679644144337296,0.616735332499778,0.4458549018058245,45133,28390,857812,27705,0.032035585566270446,0.380364644828249,0.7937998848027403,0.616735332499778,959040,73523,72838,0.9415092175508842,0.613862328795071,0.6196353551717511,0.9679644144337296,0.616735332499778,0.4458549018058245,45133,28390,857812,27705,0.032035585566270446,0.380364644828249,0.7937998848027403,0.616735332499778,959040,73523,72838,0.07666312145478812,73523,959040,27,2723.074074074074,441.0,7650.4743252899325,25,40101,0,0.0,0,0.0,40101,0.5454211607252153,12956,0.17621696611944562,563,2254,0.043454769990737885,0.17397344859524544,normal,low,normal,0.07666312145478812,73523,959040,27,2723.074074074074,441.0,7650.4743252899325,25,40101,0,0.0,0,0.0,40101,0.5454211607252153,12956,0.17621696611944562,563,2254,0.043454769990737885,0.17397344859524544,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.6033120249660241,59601,59601,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_02L_debug.json,0.9316973223223223,0.6033120249660241,0.4620663068619892,0.9731701504732077,0.5233261291942279,0.35439519824960825,35958,23643,857577,41862,0.0268298495267924,0.5379336931380108,0.7176182286675984,0.5233261291942279,959040,59601,77820,0.9316973223223223,0.6033120249660241,0.4620663068619892,0.9731701504732077,0.5233261291942279,0.35439519824960825,35958,23643,857577,41862,0.0268298495267924,0.5379336931380108,0.7176182286675984,0.5233261291942279,959040,59601,77820,0.062146521521521524,59601,959040,26,2292.346153846154,605.0,6326.963811535927,78,33221,0,0.0,0,0.0,33221,0.5573899766782436,10502,0.17620509722991226,464,1682,0.044182060559893356,0.1601599695296134,normal,low,normal,0.062146521521521524,59601,959040,26,2292.346153846154,605.0,6326.963811535927,78,33221,0,0.0,0,0.0,33221,0.5573899766782436,10502,0.17620509722991226,464,1682,0.044182060559893356,0.1601599695296134,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.5192140470778478,65551,65551,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_02R_debug.json,0.9245380797464131,0.5192140470778478,0.45446655094138066,0.9643544647401459,0.4846875200262032,0.319859782343101,34035,31516,852634,40855,0.035645535259854096,0.5455334490586193,0.7094105078407633,0.4846875200262032,959040,65551,74890,0.9245380797464131,0.5192140470778478,0.45446655094138066,0.9643544647401459,0.4846875200262032,0.319859782343101,34035,31516,852634,40855,0.035645535259854096,0.5455334490586193,0.7094105078407633,0.4846875200262032,959040,65551,74890,0.06835064230897564,65551,959040,32,2048.46875,474.0,3831.852056972377,36,19158,0,0.0,0,0.0,19158,0.2922609876279538,11907,0.1816448261658861,552,1987,0.04635928445452255,0.16687662719408752,normal,low,normal,0.06835064230897564,65551,959040,32,2048.46875,474.0,3831.852056972377,36,19158,0,0.0,0,0.0,19158,0.2922609876279538,11907,0.1816448261658861,552,1987,0.04635928445452255,0.16687662719408752,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.7083282730143309,65872,65872,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_03L_debug.json,0.9502106272939607,0.7083282730143309,0.620498430767594,0.9782620009865994,0.6615107607678566,0.4942219491785741,46659,19213,864631,28537,0.021737999013400556,0.37950156923240597,0.7993802158770967,0.6615107607678566,959040,65872,75196,0.9502106272939607,0.7083282730143309,0.620498430767594,0.9782620009865994,0.6615107607678566,0.4942219491785741,46659,19213,864631,28537,0.021737999013400556,0.37950156923240597,0.7993802158770967,0.6615107607678566,959040,65872,75196,0.06868535201868535,65872,959040,13,5067.076923076923,802.0,10407.632284209201,99,36740,0,0.0,0,0.0,36740,0.5577483604566432,9628,0.14616225406849648,334,1253,0.03469048608226007,0.1301412546738679,normal,low,normal,0.06868535201868535,65872,959040,13,5067.076923076923,802.0,10407.632284209201,99,36740,0,0.0,0,0.0,36740,0.5577483604566432,9628,0.14616225406849648,334,1253,0.03469048608226007,0.1301412546738679,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.675183575603177,66730,66730,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_03R_debug.json,0.9488644894894895,0.675183575603177,0.6221261788707695,0.9755531970327728,0.6475699060732586,0.4788195034858017,45055,21675,864944,27366,0.024446802967227184,0.37787382112923046,0.7988396879517712,0.6475699060732586,959040,66730,72421,0.9488644894894895,0.675183575603177,0.6221261788707695,0.9755531970327728,0.6475699060732586,0.4788195034858017,45055,21675,864944,27366,0.024446802967227184,0.37787382112923046,0.7988396879517712,0.6475699060732586,959040,66730,72421,0.06957999666333,66730,959040,16,4170.625,1253.5,9639.407028410773,94,40452,0,0.0,0,0.0,40452,0.6062041060992057,10395,0.15577701183875317,384,1393,0.03694083694083694,0.13400673400673402,normal,low,normal,0.06957999666333,66730,959040,16,4170.625,1253.5,9639.407028410773,94,40452,0,0.0,0,0.0,40452,0.6062041060992057,10395,0.15577701183875317,384,1393,0.03694083694083694,0.13400673400673402,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.6587547569539801,76467,76467,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_04L_debug.json,0.9469375625625626,0.6587547569539801,0.6701388888888888,0.9704776257195612,0.6643980611336433,0.49745215381880664,50373,26094,857778,24795,0.029522374280438798,0.3298611111111111,0.8203082573042251,0.6643980611336433,959040,76467,75168,0.9469375625625626,0.6587547569539801,0.6701388888888888,0.9704776257195612,0.6643980611336433,0.49745215381880664,50373,26094,857778,24795,0.029522374280438798,0.3298611111111111,0.8203082573042251,0.6643980611336433,959040,76467,75168,0.07973285785785786,76467,959040,31,2466.6774193548385,294.0,5226.257646989471,39,23803,0,0.0,0,0.0,23803,0.31128460643153255,12014,0.1571135260962245,513,1783,0.04270018311969369,0.14841018811386716,normal,low,normal,0.07973285785785786,76467,959040,31,2466.6774193548385,294.0,5226.257646989471,39,23803,0,0.0,0,0.0,23803,0.31128460643153255,12014,0.1571135260962245,513,1783,0.04270018311969369,0.14841018811386716,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.6426046671242278,58280,58255,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_04R_debug.json,0.940354938271605,0.6426046671242278,0.5073011486779367,0.9764701496583884,0.5669926724398958,0.3956662757651633,37451,20829,864387,36373,0.02352985034161154,0.49269885132206326,0.7418856491681626,0.5669926724398958,959040,58280,73824,0.9403684934934935,0.6427774439962235,0.507219874295622,0.9764916133463472,0.567009138470158,0.39568231291079314,37445,20810,864406,36379,0.023508386653652895,0.49278012570437796,0.7418557438209845,0.567009138470158,959040,58255,73824,0.0607691024357691,58280,959040,47,1240.0,145.0,3317.5053111278817,12,22121,0,0.0,0,0.0,22121,0.37956417295813316,9963,0.1709505833905285,480,1527,0.04817825956037338,0.1532670882264378,normal,low,normal,0.060743034701368034,58255,959040,45,1294.5555555555557,150.0,3380.0956696227504,20,22121,0,0.0,0,0.0,22121,0.37972706205475926,9957,0.17092095099133123,476,1527,0.04780556392487697,0.15335944561614945,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.6857598035633377,68419,68419,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_05L_debug.json,0.9473202369035703,0.6857598035633377,0.6178348981446122,0.9756539187565607,0.6500277085065115,0.4815118892458,46919,21500,861599,29022,0.0243460812434393,0.3821651018553877,0.7967444084505865,0.6500277085065115,959040,68419,75941,0.9473202369035703,0.6857598035633377,0.6178348981446122,0.9756539187565607,0.6500277085065115,0.4815118892458,46919,21500,861599,29022,0.0243460812434393,0.3821651018553877,0.7967444084505865,0.6500277085065115,959040,68419,75941,0.07134113279946613,68419,959040,10,6841.9,1180.0,15521.006342695695,34,52969,0,0.0,0,0.0,52969,0.7741855332583054,10307,0.1506452885894269,354,1322,0.03434559037547298,0.12826234597846123,normal,low,normal,0.07134113279946613,68419,959040,10,6841.9,1180.0,15521.006342695695,34,52969,0,0.0,0,0.0,52969,0.7741855332583054,10307,0.1506452885894269,354,1322,0.03434559037547298,0.12826234597846123,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.7192980198911519,77723,77723,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\final_candidate_r04\experiments\CHASEDB1\debug\Image_05R_debug.json,0.9503941441441441,0.7192980198911519,0.6845940021796897,0.975133836423795,0.7015170717628901,0.5402589872439119,55906,21817,855560,25757,0.024866163576204983,0.3154059978203103,0.8298639193017423,0.7015170717628901,959040,77723,81663,0.9503941441441441,0.7192980198911519,0.6845940021796897,0.975133836423795,0.7015170717628901,0.5402589872439119,55906,21817,855560,25757,0.024866163576204983,0.3154059978203103,0.8298639193017423,0.7015170717628901,959040,77723,81663,0.0810425008341675,77723,959040,19,4090.684210526316,2434.0,4568.277702092431,144,16770,0,0.0,0,0.0,16770,0.21576624679953166,11998,0.15436871968400603,416,1471,0.03467244540756793,0.1226037672945491,normal,low,normal,0.0810425008341675,77723,959040,19,4090.684210526316,2434.0,4568.277702092431,144,16770,0,0.0,0,0.0,16770,0.21576624679953166,11998,0.15436871968400603,416,1471,0.03467244540756793,0.1226037672945491,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
