dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\38_comparison.png,0.8893024761288234,0.888798569338319,-0.0005039067905043826,-0.0009832496400603852,-0.0013607695926770025
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\34_comparison.png,0.8631624053706614,0.8627225732337737,-0.00043983213688769673,-0.0010840276272184035,-0.0014934103000907029
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\CHASEDB1\comparison\Image_09L_comparison.png,0.6970917225950783,0.6967117055011719,-0.00038001709390644844,-0.0008449427087626749,-0.0007679978414238953
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\25_comparison.png,0.7944522362474676,0.7941849578695517,-0.0002672783779159582,-0.0007895401718039929,-0.0006873816159757018
DRIVE,36,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\36_comparison.png,0.867116123747716,0.8668728695871734,-0.0002432541605426053,-0.0008081596254598811,-0.0008231336815209822
DRIVE,39,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\39_comparison.png,0.8100356059607016,0.8098256735340729,-0.0002099324266287006,-0.0007407930012698904,-0.0006800742908064095
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\21_comparison.png,0.9117823324943066,0.9115809706871696,-0.0002013618071370349,-0.0007707910750507918,-0.0008867157686774929
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\35_comparison.png,0.9236776189774568,0.9234859675036928,-0.0001916514737639874,-0.0005941562980568138,-0.0007907624346289999
STARE,im0239,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\STARE\comparison\im0239_comparison.png,0.7932803498591312,0.7930990899898888,-0.00018125986924244497,-0.0010937628175330394,-0.0008600584300889613
DRIVE,40,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a02_harris_bfs\DRIVE\comparison\40_comparison.png,0.8765935747067822,0.8764549724321012,-0.00013860227468098785,-0.00043999999999999595,-0.00047614990776634336
