dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.925953036369703,0.9280989322655988,0.0021458958958957552,0.4777073502575343,0.488544720393827,0.010837370136292712,0.6614338042909471,0.6602676235329297,-0.0011661807580174433,0.9457840846041328,0.9481782874052156,0.002394202801082823,0.5547544108242316,0.5615717192268566,0.006817308402624955,0.3838478490985128,0.3904064781909157,0.006558629092402846,0.0542159153958673,0.0518217125947845,-0.0023942028010828023,0.3385661957090528,0.3397323764670703,0.0011661807580174988,0.8036089444475398,0.8042229554690725,0.0006140110215326899,0.5547544108242316,0.5615717192268566,0.006817308402624955,True,0.0965642726059392,92609,959040,642,144.2507788161994,32.0,577.1612270152929,8,9438,80,0.1246105919003115,767,0.0082821324061376,9438,0.1019123411331512,22655,0.2446306514485633,2327,4179,0.10271463253145,0.1844625910395056,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.9215903403403404,0.9236538621955288,0.0020635218551884327,0.4862397089348602,0.4977227900304823,0.011483081095622127,0.5724621763365276,0.5716384304895796,-0.0008237458469479986,0.9502856007998176,0.9525864306331964,0.002300829833378759,0.5258398910411622,0.5321260375863457,0.006286146545183446,0.3567047350186064,0.3625148011422999,0.0058100661236935025,0.0497143992001823,0.0474135693668035,-0.0023008298333788008,0.4275378236634723,0.4283615695104203,0.0008237458469479986,0.7613738885681727,0.762112430561388,0.0007385419932153248,0.5258398910411622,0.5321260375863457,0.006286146545183446,True,0.0894164998331665,85754,959040,656,130.72256097560975,33.0,431.5181077265245,8,6782,63,0.0960365853658536,578,0.0067402103691956,6782,0.0790866898337103,23077,0.2691069804323996,2511,4626,0.108809637301209,0.2004593318022273,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.916382007007007,0.9175143893893892,0.0011323823823822243,0.4866015470611484,0.4926101585916237,0.006008611530475327,0.5537265484451298,0.5512207658699563,-0.002505782575173532,0.94840788906289,0.949861555570686,0.001453666507795992,0.5179984973703982,0.5202699834444114,0.0022714860740132847,0.3495262970052886,0.3515979115267657,0.0020716145214771386,0.0515921109371099,0.0501384444293139,-0.001453666507795999,0.4462734515548702,0.4487792341300436,0.002505782575173421,0.75106721875401,0.7505411607203212,-0.0005260580336887699,0.5179984973703982,0.5202699834444114,0.0022714860740132847,True,0.0923371287954621,88555,959040,532,166.45676691729324,40.0,594.8897983585287,8,8664,51,0.0958646616541353,480,0.0054203602281068,8664,0.0978375021173282,22594,0.2551408729038451,2122,4299,0.0939187394883597,0.1902717535628928,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.9166937771104438,0.9180002919586252,0.0013065148481814504,0.4701146679407549,0.4771556291794053,0.0070409612386503895,0.5255441313927093,0.5230871945520096,-0.002456936840699697,0.9498252558954928,0.9514505457218798,0.0016252898263869886,0.4962864888720761,0.499066813598405,0.0027803247263288866,0.3300405863214034,0.3325043500403174,0.002463763718914047,0.0501747441045071,0.0485494542781202,-0.0016252898263868984,0.4744558686072907,0.4769128054479903,0.002456936840699586,0.737684693644101,0.7372688701369448,-0.0004158235071562988,0.4962864888720761,0.499066813598405,0.0027803247263288866,True,0.0872956289622956,83720,959040,596,140.46979865771812,38.0,350.82335670728776,8,2737,64,0.1073825503355704,616,0.0073578595317725,2737,0.0326923076923076,23410,0.2796225513616818,2441,4928,0.1042716787697565,0.210508329773601,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.934055930930931,0.935547005338672,0.0014910744077409888,0.5716254599058017,0.5816943193055708,0.010068859399769092,0.6343023565083249,0.6336241289430289,-0.0006782275652960079,0.9595584741198672,0.9612341091866892,0.001675635066822001,0.6013351235840315,0.6065497597148404,0.0052146361308088585,0.4299351000540833,0.4352862715720041,0.005351171517920805,0.0404415258801326,0.0387658908133109,-0.0016756350668216957,0.3656976434916751,0.3663758710569711,0.0006782275652960079,0.7969304153140961,0.797429119064859,0.0004987037507628855,0.6013351235840315,0.6065497597148404,0.0052146361308088585,True,0.0870047130463797,83441,959040,506,164.90316205533597,35.0,482.2977494047743,8,4612,56,0.1106719367588932,530,0.0063517934828201,4612,0.055272587816541,21290,0.2551503457532867,2017,3985,0.0947393142320338,0.1871770784405824,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_03R_comparison.png,0.9298173173173172,0.9311186186186188,0.0013013013013015717,0.5306281373923253,0.5387501979848192,0.008122060592493874,0.6115767525993842,0.6105825658303531,-0.000994186769031069,0.9558119101891568,0.9573007120307596,0.001488801841602827,0.5682340111617166,0.5724216494711906,0.0041876383094739955,0.3968763160960223,0.4009738934883341,0.004097577392311813,0.0441880898108432,0.0426992879692404,-0.0014888018416027993,0.3884232474006158,0.3894174341696469,0.0009941867690311246,0.7836943313942705,0.7839416389305562,0.00024730753628576796,0.5682340111617166,0.5724216494711906,0.0041876383094739955,True,0.0870339089089089,83469,959040,535,156.01682242990654,41.0,456.81462087793005,8,4832,43,0.0803738317757009,409,0.0049000227629419,4832,0.0578897554780816,20710,0.2481160670428542,2092,3935,0.1010140028971511,0.1900048285852245,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_04L_comparison.png,0.9197218051384718,0.9218207791124458,0.002098973973973961,0.4904912009686241,0.5010188079413679,0.010527606972743797,0.6251596424010217,0.6247871434653044,-0.00037249893571733583,0.9447725462510408,0.9470817041381556,0.002309157887114832,0.5496976148420227,0.5560995826056067,0.006401967763583927,0.3790227613685857,0.385137074486842,0.006114313118256276,0.0552274537489591,0.0529182958618442,-0.0023091578871149016,0.3748403575989782,0.3752128565346956,0.00037249893571739134,0.7849660943260313,0.7859344238017301,0.0009683294756988037,0.5496976148420227,0.5560995826056067,0.006401967763583927,True,0.0998978144811478,95806,959040,715,133.9944055944056,33.0,542.247462380612,8,7814,95,0.1328671328671328,898,0.0093731081560653,7814,0.0815606538212638,23759,0.2479907312694403,2542,4481,0.1069910349762195,0.1886022138978913,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.924514097430764,0.9262376960293628,0.00172359859859883,0.5086647761700478,0.519095695261691,0.010430919091643176,0.5685684872128305,0.5676202860858257,-0.0009482011270047774,0.954198749231826,0.9561451668293388,0.001946417597512795,0.5369510432257487,0.542274618405813,0.005323575180064322,0.3670082540570789,0.3720005326468107,0.004992278589731836,0.045801250768174,0.0438548331706611,-0.0019464175975128992,0.4314315127871694,0.4323797139141742,0.0009482011270047774,0.7613836182223281,0.7618827264575823,0.0004991082352541198,0.5369510432257487,0.542274618405813,0.005323575180064322,True,0.0860422922922923,82518,959040,613,134.61337683523655,37.0,349.5755649997259,8,3684,65,0.1060358890701468,614,0.007440800794978,3684,0.0446448047698683,21403,0.2593737124021426,2310,4288,0.1079287950287342,0.2003457459234686,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_05L_comparison.png,0.9256506506506508,0.9273012595929264,0.0016506089422756443,0.5277814390989156,0.5380316482011397,0.010250209102224073,0.580002896985818,0.5793576592354591,-0.0006452377503588513,0.9553741992687116,0.9572222366914694,0.0018480374227578533,0.552661296393887,0.5579304441555971,0.005269147761710169,0.3818465539661899,0.3868956541620499,0.0050491001958600235,0.0446258007312883,0.0427777633085305,-0.0018480374227577978,0.4199971030141821,0.4206423407645409,0.0006452377503587958,0.7676885481272648,0.7682899479634643,0.0006013998361994455,0.552661296393887,0.5579304441555971,0.005269147761710169,True,0.0870193109776443,83455,959040,649,128.59013867488443,37.0,418.8742543419445,8,6739,60,0.0924499229583975,563,0.0067461506200946,6739,0.0807501048469234,22666,0.2715954706129052,2401,4420,0.1059295861642989,0.1950057354628077,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_05R_comparison.png,0.929319944944945,0.9308923506840172,0.0015724057390722468,0.583329330387165,0.5943000735474381,0.010970743160273133,0.5948226246892717,0.5936960434958304,-0.001126581193441334,0.9604537160194534,0.9622773334609864,0.001823617441533032,0.5890199169369752,0.5939979049637657,0.004977988026790503,0.4174544517016156,0.4224729871035204,0.005018535401904778,0.0395462839805465,0.0377226665390134,-0.0018236174415331013,0.4051773753107282,0.4063039565041695,0.0011265811934412784,0.7776381703543626,0.7779866884784085,0.00034851812404590454,0.5890199169369752,0.5939979049637657,0.004977988026790503,True,0.0868284951618285,83272,959040,560,148.7,32.0,520.5031521792845,8,6587,58,0.1035714285714285,545,0.0065448169853011,6587,0.0791022192333557,21746,0.2611442021327697,2114,3973,0.0972132806033293,0.1827002667157178,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
