dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.925953036369703,0.4777073502575343,0.6614338042909471,0.9457840846041328,0.5547544108242316,0.3838478490985128,0.0542159153958673,0.3385661957090528,0.8036089444475398,0.5547544108242316
CHASEDB1,Image_01L,CA-APSRG,0.9280989322655988,0.488544720393827,0.6602676235329297,0.9481782874052156,0.5615717192268566,0.3904064781909157,0.0518217125947845,0.3397323764670703,0.8042229554690725,0.5615717192268566
CHASEDB1,Image_01R,APSRG Baseline,0.9215903403403404,0.4862397089348602,0.5724621763365276,0.9502856007998176,0.5258398910411622,0.3567047350186064,0.0497143992001823,0.4275378236634723,0.7613738885681727,0.5258398910411622
CHASEDB1,Image_01R,CA-APSRG,0.9236538621955288,0.4977227900304823,0.5716384304895796,0.9525864306331964,0.5321260375863457,0.3625148011422999,0.0474135693668035,0.4283615695104203,0.762112430561388,0.5321260375863457
CHASEDB1,Image_02L,APSRG Baseline,0.916382007007007,0.4866015470611484,0.5537265484451298,0.94840788906289,0.5179984973703982,0.3495262970052886,0.0515921109371099,0.4462734515548702,0.75106721875401,0.5179984973703982
CHASEDB1,Image_02L,CA-APSRG,0.9175143893893892,0.4926101585916237,0.5512207658699563,0.949861555570686,0.5202699834444114,0.3515979115267657,0.0501384444293139,0.4487792341300436,0.7505411607203212,0.5202699834444114
CHASEDB1,Image_02R,APSRG Baseline,0.9166937771104438,0.4701146679407549,0.5255441313927093,0.9498252558954928,0.4962864888720761,0.3300405863214034,0.0501747441045071,0.4744558686072907,0.737684693644101,0.4962864888720761
CHASEDB1,Image_02R,CA-APSRG,0.9180002919586252,0.4771556291794053,0.5230871945520096,0.9514505457218798,0.499066813598405,0.3325043500403174,0.0485494542781202,0.4769128054479903,0.7372688701369448,0.499066813598405
CHASEDB1,Image_03L,APSRG Baseline,0.934055930930931,0.5716254599058017,0.6343023565083249,0.9595584741198672,0.6013351235840315,0.4299351000540833,0.0404415258801326,0.3656976434916751,0.7969304153140961,0.6013351235840315
CHASEDB1,Image_03L,CA-APSRG,0.935547005338672,0.5816943193055708,0.6336241289430289,0.9612341091866892,0.6065497597148404,0.4352862715720041,0.0387658908133109,0.3663758710569711,0.797429119064859,0.6065497597148404
CHASEDB1,Image_03R,APSRG Baseline,0.9298173173173172,0.5306281373923253,0.6115767525993842,0.9558119101891568,0.5682340111617166,0.3968763160960223,0.0441880898108432,0.3884232474006158,0.7836943313942705,0.5682340111617166
CHASEDB1,Image_03R,CA-APSRG,0.9311186186186188,0.5387501979848192,0.6105825658303531,0.9573007120307596,0.5724216494711906,0.4009738934883341,0.0426992879692404,0.3894174341696469,0.7839416389305562,0.5724216494711906
CHASEDB1,Image_04L,APSRG Baseline,0.9197218051384718,0.4904912009686241,0.6251596424010217,0.9447725462510408,0.5496976148420227,0.3790227613685857,0.0552274537489591,0.3748403575989782,0.7849660943260313,0.5496976148420227
