dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0001_comparison.png,0.4243727080586014,0.4246181653863534,0.0002454573277519967,0.0008099685782909649,0.0
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_06L_comparison.png,0.4878081127678521,0.4879421602721424,0.0001340475042903022,0.0006893334643394144,0.0
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\23_comparison.png,0.2949766355140187,0.2950784839712093,0.00010184845719057867,0.0002840927531465032,0.0
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_07R_comparison.png,0.3979636566509922,0.3980588329081632,9.517625717098133e-05,0.0006386755813280187,0.0
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\28_comparison.png,0.463390479544004,0.4634822804314329,9.180088742893888e-05,0.0005417067363969741,0.0
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\25_comparison.png,0.6240753951864229,0.6241667449065815,9.134972015867326e-05,0.0003456817414728697,-3.158160687222189e-05
STARE,im0081,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0081_comparison.png,0.6052548169155059,0.605345702082221,9.088516671518221e-05,0.00020349257820873046,0.0
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\35_comparison.png,0.3111967557306796,0.3112862855663281,8.952983564847194e-05,0.0014294366019633742,0.0
STARE,im0139,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0139_comparison.png,0.5627902900709841,0.5628736216538401,8.33315828560055e-05,0.0003209453665565798,-2.936253927238175e-05
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_10R_comparison.png,0.3810083469250696,0.3810860412393393,7.769431426973838e-05,0.000468652422650484,0.0
