dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,31,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\31_comparison.png,0.434680689305626,0.433936551199569,-0.0007441381060570018,-0.0005303697277573294,-0.0007538824948485345
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\37_comparison.png,0.40055973412629,0.3999,-0.0006597341262900014,-0.0003025687146690492,-0.0005894386463713985
DRIVE,39,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\39_comparison.png,0.5804941597297357,0.5798395473733066,-0.0006546123564291628,0.000330728759212473,-0.0009524481444899147
DRIVE,36,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\36_comparison.png,0.5244520375080083,0.5238150738150739,-0.0006369636929344225,6.85427032572905e-05,-0.0006688217590012369
DRIVE,33,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\33_comparison.png,0.5759108317784543,0.5753384271429625,-0.0005724046354917967,0.00029978292186905175,-0.0007496532853555338
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\21_comparison.png,0.5899515456170809,0.5894704098296912,-0.0004811357873896194,-6.7245443360342e-05,-0.0005679513184583818
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\30_comparison.png,0.4439222624609515,0.4434919669275226,-0.0004302955334289371,-0.00021406046585903393,-0.00038644355991807045
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0005_comparison.png,0.4648944969752015,0.4645841784989858,-0.0003103184762157096,0.00011123400544832407,-0.00044436312308859804
DRIVE,26,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\26_comparison.png,0.5361275145230208,0.5358463385354142,-0.0002811759876065745,-0.00011953168245104617,-0.00029095141111440403
STARE,im0082,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0082_comparison.png,0.4963688308289534,0.4961033857975507,-0.00026544503140268905,0.0018337686420160093,-0.0005103572500750886
