dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.9400932182182182,0.9400932182182182,0.0,0.6996613039796782,0.6996613039796782,0.0,0.2470808103461164,0.2470808103461164,0.0,0.9920484669143814,0.9920484669143814,0.0,0.3651952930777305,0.3651952930777305,0.0,0.2233877181362278,0.2233877181362278,0.0,0.0079515330856185,0.0079515330856185,0.0,0.7529191896538835,0.7529191896538835,0.0,0.6195646386302489,0.6195646386302489,0.0,0.3651952930777305,0.3651952930777305,0.0,True,0.0246287954621287,23620,959040,15,1574.6666666666667,364.0,2456.876029070702,17,7594,0,0.0,0,0.0,7594,0.3215071972904318,5530,0.2341236240474174,277,1184,0.0500904159132007,0.2141048824593128,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.927195945945946,0.927195945945946,0.0,0.5774524910118131,0.5774524910118131,0.0,0.1543562426206101,0.1543562426206101,0.0,0.9907165634922964,0.9907165634922964,0.0,0.2435975213415955,0.2435975213415955,0.0,0.1386911737494603,0.1386911737494603,0.0,0.0092834365077036,0.0092834365077036,0.0,0.8456437573793899,0.8456437573793899,0.0,0.5725364030564533,0.5725364030564533,0.0,0.2435975213415955,0.2435975213415955,0.0,True,0.0203015515515515,19470,959040,14,1390.7142857142858,547.5,1837.3189873357564,33,6817,0,0.0,0,0.0,6817,0.3501284026707755,5480,0.2814586543400103,354,1382,0.0645985401459854,0.2521897810218978,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.9245964714714716,0.9246131548214882,1.6683350016588605e-05,0.5908265962712423,0.5911386972168113,0.0003121009455689938,0.2300822410691338,0.2300822410691338,0.0,0.985928598987767,0.9859467556342344,1.815664646742654e-05,0.3311907514450867,0.33123976727192,4.901582683330963e-05,0.1984593216581689,0.1984945235244556,3.520186628669375e-05,0.014071401012233,0.0140532443657656,-1.815664646740052e-05,0.7699177589308661,0.7699177589308661,0.0,0.6080054200284504,0.6080144983516842,9.078323233824293e-06,0.3311907514450867,0.33123976727192,4.901582683330963e-05,True,0.0315993076409743,30305,959040,23,1317.608695652174,407.0,2370.9805115207805,16,10698,0,0.0,0,0.0,10698,0.3530110542814717,7572,0.2498597591156574,469,1649,0.0619387216059165,0.2177760169043845,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.9281177010343676,0.9281177010343676,0.0,0.6239586804398534,0.6239586804398534,0.0,0.200026705835225,0.200026705835225,0.0,0.9897890629418084,0.9897890629418084,0.0,0.3029383809581589,0.3029383809581589,0.0,0.1785075907433446,0.1785075907433446,0.0,0.0102109370581914,0.0102109370581914,0.0,0.799973294164775,0.799973294164775,0.0,0.5949078843885167,0.5949078843885167,0.0,0.3029383809581589,0.3029383809581589,0.0,True,0.0250333667000333,24008,959040,28,857.4285714285714,391.5,892.1057123686724,19,2852,0,0.0,0,0.0,2852,0.1187937354215261,6786,0.2826557814061979,462,1578,0.0680813439434129,0.2325375773651635,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.939332040373707,0.9393476810143476,1.5640640640635084e-05,0.7908105705787837,0.7912163086605555,0.0004057380817718004,0.3076227458907388,0.3076227458907388,0.0,0.9930768325632126,0.9930938038839432,1.6971320730641004e-05,0.4429423535381581,0.4430059751800214,6.362164186329844e-05,0.2844739592941032,0.2845264452644526,5.2485970349402944e-05,0.0069231674367874,0.0069061961160566,-1.697132073079973e-05,0.6923772541092611,0.6923772541092611,0.0,0.6503497892269757,0.6503582748873411,8.485660365376013e-06,0.4429423535381581,0.4430059751800214,6.362164186329844e-05,True,0.0305002919586252,29251,959040,30,975.0333333333332,439.5,1244.8056470344632,15,4631,0,0.0,0,0.0,4631,0.1583193736966257,6943,0.2373594065160165,388,1440,0.0558836237937491,0.2074031398530894,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_03R_comparison.png,0.9361392642642644,0.9361392642642644,0.0,0.7187597870341371,0.7187597870341371,0.0,0.2535176261029259,0.2535176261029259,0.0,0.9918973087650952,0.9918973087650952,0.0,0.3748277446026642,0.3748277446026642,0.0,0.2306387789711701,0.2306387789711701,0.0,0.0081026912349047,0.0081026912349047,0.0,0.7464823738970741,0.7464823738970741,0.0,0.6227074674340106,0.6227074674340106,0.0,0.3748277446026642,0.3748277446026642,0.0,True,0.0266349683016349,25544,959040,21,1216.3809523809523,406.0,1496.377959518392,35,5289,0,0.0,0,0.0,5289,0.2070544942060758,5664,0.2217350454118384,319,1205,0.0563206214689265,0.2127471751412429,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_04L_comparison.png,0.929639014014014,0.929639014014014,0.0,0.6869256576068459,0.6869256576068459,0.0,0.1879523201362281,0.1879523201362281,0.0,0.9927150085080192,0.9927150085080192,0.0,0.2951480649710137,0.2951480649710137,0.0,0.1731224037153675,0.1731224037153675,0.0,0.0072849914919807,0.0072849914919807,0.0,0.8120476798637718,0.8120476798637718,0.0,0.5903336643221238,0.5903336643221238,0.0,0.2951480649710137,0.2951480649710137,0.0,True,0.0214454037370704,20567,959040,13,1582.076923076923,132.0,2380.5588051657264,26,8708,0,0.0,0,0.0,8708,0.4233967034569942,5034,0.2447610249428696,276,1104,0.0548271752085816,0.2193087008343265,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.9339579162495828,0.9339579162495828,0.0,0.7341370841705738,0.7341370841705738,0.0,0.2227053532726484,0.2227053532726484,0.0,0.993273957994433,0.993273957994433,0.0,0.3417412361383926,0.3417412361383926,0.0,0.2060843841660608,0.2060843841660608,0.0,0.006726042005567,0.006726042005567,0.0,0.7772946467273515,0.7772946467273515,0.0,0.6079896556335407,0.6079896556335407,0.0,0.3417412361383926,0.3417412361383926,0.0,True,0.0233514764764764,22395,959040,29,772.2413793103449,325.0,964.7162046576868,12,3665,0,0.0,0,0.0,3665,0.1636526010270149,5076,0.2266577361018084,315,1117,0.0620567375886524,0.2200551615445232,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_05L_comparison.png,0.937448907240574,0.937448907240574,0.0,0.8115868427220877,0.8115868427220877,0.0,0.2735676380347902,0.2735676380347902,0.0,0.994538551170367,0.994538551170367,0.0,0.4092023754419484,0.4092023754419484,0.0,0.2572309444802139,0.2572309444802139,0.0,0.0054614488296329,0.0054614488296329,0.0,0.7264323619652099,0.7264323619652099,0.0,0.6340530946025786,0.6340530946025786,0.0,0.4092023754419484,0.4092023754419484,0.0,True,0.0266912746079412,25598,959040,26,984.5384615384615,868.0,754.4952582187354,31,2695,0,0.0,0,0.0,2695,0.1052816626298929,6367,0.2487303695601218,386,1427,0.0606250981623998,0.2241243913931208,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_05R_comparison.png,0.9260447947947948,0.9260447947947948,0.0,0.7904875277311834,0.7904875277311834,0.0,0.1788937462498316,0.1788937462498316,0.0,0.9955868457914898,0.9955868457914898,0.0,0.2917598657932577,0.2917598657932577,0.0,0.1707955807564155,0.1707955807564155,0.0,0.0044131542085101,0.0044131542085101,0.0,0.8211062537501683,0.8211062537501683,0.0,0.5872402960206607,0.5872402960206607,0.0,0.2917598657932577,0.2917598657932577,0.0,True,0.0192703119786453,18481,959040,20,924.05,292.5,1431.7303682956508,29,6418,0,0.0,0,0.0,6418,0.3472755803257399,4426,0.2394892051295925,265,888,0.0598734749209218,0.2006326253953908,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
