dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\DRIVE\comparison\25_comparison.png,0.3733203369769546,0.3730151360386294,-0.0003052009383252008,1.3299371616093403e-05,-0.0002842344618494419
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_01L_comparison.png,0.0496920610815827,0.0496920610815827,0.0,0.0,0.0
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_02L_comparison.png,0.1350226762361851,0.1350226762361851,0.0,0.0,0.0
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_01R_comparison.png,0.0761765471424499,0.0761765471424499,0.0,0.0,0.0
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_03L_comparison.png,0.171196193556704,0.171196193556704,0.0,0.0,0.0
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_03R_comparison.png,0.1366059042566137,0.1366059042566137,0.0,0.0,0.0
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_04L_comparison.png,0.0754054799328169,0.0754054799328169,0.0,0.0,0.0
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_02R_comparison.png,0.0993682277762342,0.0993682277762342,0.0,0.0,0.0
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_05L_comparison.png,0.1548211211019705,0.1548211211019705,0.0,0.0,0.0
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a07_process_context_override\CHASEDB1\comparison\Image_05R_comparison.png,0.0739478655956975,0.0739478655956975,0.0,0.0,0.0
