experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,accuracy,28,0.016392396861146807,0.014251751751751696,0.010947821162565818,27,0,1
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,balanced_accuracy,28,-0.2515206591211455,-0.2585352689132262,0.05078970508945499,0,0,28
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,dice,28,-0.3323683084595688,-0.38499496792505933,0.1593467906025549,3,0,25
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,f1_score,28,-0.3323683084595688,-0.38499496792505933,0.1593467906025549,3,0,25
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,iou,28,-0.24808279076318032,-0.29085479768989686,0.11338225047696011,3,0,25
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,precision,28,0.2747995509602522,0.29940293112262206,0.10157124420481436,27,0,1
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,recall,28,-0.5629805913044427,-0.5737121139060191,0.10417980594867382,0,0,28
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,specificity,28,0.05993927306215162,0.06107022408163765,0.006353011174124268,28,0,0
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,accuracy,28,0.012650001191667842,0.010294669669669687,0.01156189540274541,25,0,3
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.2526000128573328,-0.259545246514523,0.05074868179521539,0,0,28
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,dice,28,-0.3433217737010974,-0.39468323982521697,0.16071706324245869,1,0,27
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,f1_score,28,-0.3433217737010974,-0.39468323982521697,0.16071706324245869,1,0,27
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,iou,28,-0.2586147180530299,-0.3015669016500201,0.11500109506456611,1,0,27
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,precision,28,0.2584592275166445,0.2854223641824208,0.10117490735756357,27,0,1
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,recall,28,-0.5609487991631802,-0.5715899760931907,0.10375597680400125,0,0,28
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,specificity,28,0.05574877344851447,0.0568287817828208,0.006270248534045193,28,0,0
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,accuracy,20,-0.019598967435074034,-0.019022878907228646,0.015989489585604623,2,0,18
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,balanced_accuracy,20,-0.18362983227656535,-0.17923526471070306,0.061717101932088715,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,dice,20,-0.2770329164247823,-0.26449389943925256,0.11839040852636265,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,f1_score,20,-0.2770329164247823,-0.26449389943925256,0.11839040852636265,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,iou,20,-0.2618978091053534,-0.26373332286782325,0.09180143184407269,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,precision,20,0.11552594897474511,0.11047223258459471,0.08708918203756401,19,0,1
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,recall,20,-0.4003395295266934,-0.39216577181208045,0.13636633113776003,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,specificity,20,0.03307986497356262,0.026783915460236007,0.018407152193666114,20,0,0
