dataset,image_id,image_path,mask_path,fov_path,ca_apsrg_applied,baseline_precision_for_decision,n_baseline_pixels,n_ca_apsrg_pixels,preprocessed_path,baseline_mask_path,ca_apsrg_mask_path,baseline_overlay_path,ca_apsrg_overlay_path,comparison_path,debug_json_path,baseline_accuracy,baseline_precision,baseline_recall,baseline_specificity,baseline_f1_score,baseline_iou,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_false_positive_rate,baseline_false_negative_rate,baseline_balanced_accuracy,baseline_dice,baseline_evaluated_pixels,baseline_predicted_vessel_pixels,baseline_gt_vessel_pixels,ca_apsrg_accuracy,ca_apsrg_precision,ca_apsrg_recall,ca_apsrg_specificity,ca_apsrg_f1_score,ca_apsrg_iou,ca_apsrg_tp,ca_apsrg_fp,ca_apsrg_tn,ca_apsrg_fn,ca_apsrg_false_positive_rate,ca_apsrg_false_negative_rate,ca_apsrg_balanced_accuracy,ca_apsrg_dice,ca_apsrg_evaluated_pixels,ca_apsrg_predicted_vessel_pixels,ca_apsrg_gt_vessel_pixels,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,refined_context_vessel_density,refined_context_vessel_pixel_count,refined_context_valid_area_pixel_count,refined_context_component_count,refined_context_mean_component_area,refined_context_median_component_area,refined_context_std_component_area,refined_context_min_component_area,refined_context_max_component_area,refined_context_small_component_count,refined_context_small_component_ratio,refined_context_small_component_area_total,refined_context_small_component_area_ratio,refined_context_largest_component_area,refined_context_largest_component_area_ratio,refined_context_skeleton_pixel_count,refined_context_skeleton_to_vessel_ratio,refined_context_endpoint_count,refined_context_branchpoint_count,refined_context_endpoint_density,refined_context_branchpoint_density,refined_context_density_level,refined_context_noise_level,refined_context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,True,0.47770735025753436,92609,90395,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_01L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_01L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_01L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_01L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_01L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_01L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_01L_debug.json,0.925953036369703,0.47770735025753436,0.6614338042909471,0.9457840846041327,0.5547544108242316,0.3838478490985128,44240,48369,843786,22645,0.05421591539586731,0.33856619570905283,0.8036089444475398,0.5547544108242316,959040,92609,66885,0.9280989322655989,0.48854472039382707,0.6602676235329297,0.9481782874052155,0.5615717192268566,0.3904064781909157,44162,46233,845922,22723,0.05182171259478454,0.33973237646707033,0.8042229554690725,0.5615717192268566,959040,90395,66885,0.09656427260593928,92609,959040,642,144.2507788161994,32.0,577.1612270152929,8,9438,80,0.12461059190031153,767,0.008282132406137632,9438,0.1019123411331512,22655,0.2446306514485633,2327,4179,0.10271463253145001,0.18446259103950563,normal,low,normal,0.09425571404738071,90395,959040,463,195.2375809935205,50.0,672.7356353962123,18,9438,0,0.0,0,0.0,9438,0.10440842966978262,21908,0.24235853752973063,1983,4177,0.09051488040898302,0.19066094577323353,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,True,0.4862397089348602,85754,83655,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_01R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_01R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_01R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_01R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_01R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_01R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_01R_debug.json,0.9215903403403404,0.4862397089348602,0.5724621763365276,0.9502856007998176,0.5258398910411622,0.35670473501860644,41697,44057,842145,31141,0.04971439920018235,0.42753782366347237,0.7613738885681727,0.5258398910411622,959040,85754,72838,0.9236538621955288,0.49772279003048236,0.5716384304895796,0.9525864306331965,0.5321260375863457,0.36251480114229995,41637,42018,844184,31201,0.04741356936680351,0.42836156951042037,0.762112430561388,0.5321260375863457,959040,83655,72838,0.0894164998331665,85754,959040,656,130.72256097560975,33.0,431.51810772652453,8,6782,63,0.09603658536585366,578,0.006740210369195606,6782,0.07908668983371038,23077,0.26910698043239967,2511,4626,0.108809637301209,0.20045933180222733,normal,low,normal,0.08722785285285285,83655,959040,488,171.42418032786884,47.0,493.8020343917288,18,6782,0,0.0,0,0.0,6782,0.0810710656864503,22393,0.26768274460582153,2185,4616,0.0975751350868575,0.20613584602331086,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,True,0.48660154706114844,88555,87079,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_02L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_02L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_02L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_02L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_02L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_02L_debug.json,0.916382007007007,0.48660154706114844,0.5537265484451298,0.9484078890628901,0.5179984973703982,0.3495262970052886,43091,45464,835756,34729,0.051592110937109914,0.4462734515548702,0.75106721875401,0.5179984973703982,959040,88555,77820,0.9175143893893893,0.4926101585916237,0.5512207658699563,0.9498615555706861,0.5202699834444114,0.3515979115267657,42896,44183,837037,34924,0.05013844442931391,0.44877923413004367,0.7505411607203212,0.5202699834444114,959040,87079,77820,0.09233712879546213,88555,959040,532,166.45676691729324,40.0,594.8897983585287,8,8664,51,0.09586466165413533,480,0.005420360228106826,8664,0.09783750211732821,22594,0.2551408729038451,2122,4299,0.09391873948835974,0.1902717535628928,normal,low,normal,0.09079808975642309,87079,959040,412,211.35679611650485,53.5,669.3502039381666,18,8664,0,0.0,0,0.0,8664,0.0994958600810758,22121,0.2540336935426452,1904,4299,0.08607205822521585,0.19434021970073687,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,True,0.4701146679407549,83720,82099,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_02R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_02R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_02R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_02R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_02R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_02R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_02R_debug.json,0.9166937771104438,0.4701146679407549,0.5255441313927093,0.9498252558954928,0.49628648887207616,0.33004058632140343,39358,44362,839788,35532,0.05017474410450715,0.4744558686072907,0.737684693644101,0.49628648887207616,959040,83720,74890,0.9180002919586253,0.47715562917940535,0.5230871945520096,0.9514505457218798,0.499066813598405,0.3325043500403174,39174,42925,841225,35716,0.04854945427812023,0.47691280544799036,0.7372688701369448,0.499066813598405,959040,82099,74890,0.08729562896229563,83720,959040,596,140.46979865771812,38.0,350.82335670728776,8,2737,64,0.10738255033557047,616,0.007357859531772575,2737,0.032692307692307694,23410,0.2796225513616818,2441,4928,0.10427167876975652,0.21050832977360104,normal,low,normal,0.0856053970637304,82099,959040,462,177.7034632034632,56.0,390.64858482763384,18,2737,0,0.0,0,0.0,2737,0.03333779948598643,22845,0.27826161098186336,2183,4924,0.09555701466404028,0.2155395053622237,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,True,0.5716254599058017,83441,81909,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_03L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_03L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_03L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_03L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_03L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_03L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_03L_debug.json,0.934055930930931,0.5716254599058017,0.6343023565083249,0.9595584741198673,0.6013351235840315,0.4299351000540833,47697,35744,848100,27499,0.040441525880132695,0.3656976434916751,0.7969304153140961,0.6013351235840315,959040,83441,75196,0.935547005338672,0.5816943193055708,0.6336241289430289,0.9612341091866891,0.6065497597148404,0.4352862715720041,47646,34263,849581,27550,0.038765890813310944,0.3663758710569711,0.797429119064859,0.6065497597148404,959040,81909,75196,0.08700471304637972,83441,959040,506,164.90316205533597,35.0,482.2977494047743,8,4612,56,0.11067193675889328,530,0.006351793482820197,4612,0.05527258781654103,21290,0.25515034575328677,2017,3985,0.09473931423203381,0.18717707844058243,normal,low,normal,0.08540728228228228,81909,959040,381,214.98425196850394,50.0,546.599878863435,18,4612,0,0.0,0,0.0,4612,0.05630638879732386,20774,0.2536229229999145,1768,3977,0.0851063829787234,0.19144122460768268,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,True,0.5306281373923253,83469,82077,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_03R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_03R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_03R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_03R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_03R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_03R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_03R_debug.json,0.9298173173173173,0.5306281373923253,0.6115767525993842,0.9558119101891568,0.5682340111617166,0.39687631609602236,44291,39178,847441,28130,0.04418808981084321,0.38842324740061585,0.7836943313942705,0.5682340111617166,959040,83469,72421,0.9311186186186187,0.5387501979848192,0.6105825658303531,0.9573007120307595,0.5724216494711906,0.4009738934883341,44219,37858,848761,28202,0.042699287969240454,0.3894174341696469,0.7839416389305562,0.5724216494711906,959040,82077,72421,0.08703390890890891,83469,959040,535,156.01682242990654,41.0,456.81462087793005,8,4832,43,0.08037383177570094,409,0.0049000227629419305,4832,0.057889755478081686,20710,0.24811606704285424,2092,3935,0.10101400289715114,0.19000482858522452,normal,low,normal,0.08558245745745746,82077,959040,422,194.4952606635071,55.0,507.49039981236035,18,4832,0,0.0,0,0.0,4832,0.05887154744934635,20231,0.24648805390060552,1877,3932,0.09277840937175622,0.19435519746923038,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,True,0.4904912009686241,95806,93737,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_04L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_04L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_04L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_04L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_04L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_04L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_04L_debug.json,0.9197218051384718,0.4904912009686241,0.6251596424010217,0.9447725462510409,0.5496976148420227,0.37902276136858576,46992,48814,835058,28176,0.05522745374895913,0.37484035759897827,0.7849660943260313,0.5496976148420227,959040,95806,75168,0.9218207791124458,0.5010188079413679,0.6247871434653044,0.9470817041381557,0.5560995826056067,0.385137074486842,46964,46773,837099,28204,0.052918295861844246,0.3752128565346956,0.7859344238017301,0.5560995826056067,959040,93737,75168,0.09989781448114782,95806,959040,715,133.9944055944056,33.0,542.247462380612,8,7814,95,0.13286713286713286,898,0.009373108156065383,7814,0.0815606538212638,23759,0.24799073126944032,2542,4481,0.10699103497621953,0.18860221389789134,normal,low,normal,0.09774044878211545,93737,959040,538,174.23234200743494,45.0,619.8588038606141,18,7814,0,0.0,0,0.0,7814,0.08336089271045585,23055,0.24595410563598152,2196,4473,0.09525048796356539,0.19401431359791801,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,True,0.5086647761700478,82518,80725,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_04R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_04R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_04R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_04R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_04R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_04R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_04R_debug.json,0.9245140974307641,0.5086647761700478,0.5685684872128305,0.9541987492318259,0.5369510432257487,0.36700825405707893,41974,40544,844672,31850,0.045801250768174095,0.43143151278716946,0.7613836182223281,0.5369510432257487,959040,82518,73824,0.9262376960293627,0.519095695261691,0.5676202860858257,0.9561451668293388,0.542274618405813,0.37200053264681077,41904,38821,846395,31920,0.04385483317066117,0.43237971391417424,0.7618827264575823,0.542274618405813,959040,80725,73824,0.0860422922922923,82518,959040,613,134.61337683523655,37.0,349.5755649997259,8,3684,65,0.10603588907014681,614,0.007440800794978065,3684,0.044644804769868394,21403,0.2593737124021426,2310,4288,0.10792879502873429,0.20034574592346868,normal,low,normal,0.08417271438104772,80725,959040,466,173.22961373390558,54.0,393.1044003761975,18,3684,0,0.0,0,0.0,3684,0.045636419944255185,20809,0.25777640136265095,2037,4281,0.09789033591234562,0.20572829064347156,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,True,0.5277814390989156,83455,81774,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_05L_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_05L_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_05L_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_05L_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_05L_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_05L_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_05L_debug.json,0.9256506506506507,0.5277814390989156,0.580002896985818,0.9553741992687117,0.552661296393887,0.3818465539661899,44046,39409,843690,31895,0.044625800731288336,0.4199971030141821,0.7676885481272648,0.552661296393887,959040,83455,75941,0.9273012595929263,0.5380316482011397,0.5793576592354591,0.9572222366914694,0.5579304441555971,0.38689565416204996,43997,37777,845322,31944,0.042777763308530524,0.4206423407645409,0.7682899479634643,0.5579304441555971,959040,81774,75941,0.08701931097764432,83455,959040,649,128.59013867488443,37.0,418.8742543419445,8,6739,60,0.09244992295839753,563,0.006746150620094662,6739,0.08075010484692349,22666,0.2715954706129052,2401,4420,0.10592958616429896,0.19500573546280772,normal,low,normal,0.08526651651651651,81774,959040,511,160.02739726027397,49.0,467.1069255273499,18,6739,0,0.0,0,0.0,6739,0.08241005698632817,22087,0.2700980751828209,2127,4413,0.09630099153348123,0.19980078779372482,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,True,0.583329330387165,83272,81580,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\preprocessed\Image_05R_preprocessed.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\baseline_masks\Image_05R_apsrg_baseline.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\ca_apsrg_masks\Image_05R_ca_apsrg.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_05R_baseline_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\overlays\Image_05R_ca_apsrg_overlay.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\comparison\Image_05R_comparison.png,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a03_fuzzy_srg_bfs\CHASEDB1\debug\Image_05R_debug.json,0.929319944944945,0.583329330387165,0.5948226246892717,0.9604537160194534,0.5890199169369752,0.41745445170161566,48575,34697,842680,33088,0.03954628398054656,0.4051773753107282,0.7776381703543626,0.5890199169369752,959040,83272,81663,0.9308923506840173,0.5943000735474381,0.5936960434958304,0.9622773334609865,0.5939979049637657,0.4224729871035204,48483,33097,844280,33180,0.03772266653901345,0.40630395650416956,0.7779866884784085,0.5939979049637657,959040,81580,81663,0.0868284951618285,83272,959040,560,148.7,32.0,520.5031521792845,8,6587,58,0.10357142857142858,545,0.006544816985301182,6587,0.07910221923335575,21746,0.26114420213276973,2114,3973,0.09721328060332934,0.18270026671571785,normal,low,normal,0.08506423089756424,81580,959040,421,193.77672209026127,46.0,593.4515510942268,18,6587,0,0.0,0,0.0,6587,0.08074282912478549,21180,0.25962245648443244,1847,3969,0.08720491029272899,0.18739376770538244,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
