dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\STARE\comparison\im0001_comparison.png,0.4243727080586014,0.4246181653863534,0.0002454573277519967,0.0008099685782909649,0.0
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\23_comparison.png,0.2949766355140187,0.2950784839712093,0.00010184845719057867,0.0002840927531465032,0.0
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_07R_comparison.png,0.3979636566509922,0.3980588329081632,9.517625717098133e-05,0.0006386755813280187,0.0
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\25_comparison.png,0.6240753951864229,0.6241667449065815,9.134972015867326e-05,0.0003456817414728697,-3.158160687222189e-05
CHASEDB1,Image_13L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_13L_comparison.png,0.4592279567887808,0.4592993142312553,7.13574424744956e-05,0.0002357458346057273,0.0
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.4429423535381581,0.4430059751800214,6.362164186329844e-05,0.0004057380817718004,0.0
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.3989985505336672,0.3990551787759901,5.66282423229425e-05,0.00038130643896050476,0.0
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.4235787936855552,0.4236131531184409,3.435943288571108e-05,0.00025126884474047095,0.0
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\27_comparison.png,0.5128562146106006,0.5128586018011326,2.3871905320271836e-06,0.0003072024885162339,-6.879708300366882e-05
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.3029383809581589,0.3029383809581589,0.0,0.0,0.0
