dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\STARE\comparison\im0001_comparison.png,0.5448557380090917,0.5456657065873827,0.0008099685782909649,0.0,0.0002454573277519967
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_07R_comparison.png,0.7287288382953883,0.7293675138767163,0.0006386755813280187,0.0,9.517625717098133e-05
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\STARE\comparison\im0255_comparison.png,0.843595041322314,0.844212268542464,0.0006172272201500073,-0.0002638313589952701,-9.030980042712411e-05
DRIVE,32,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\32_comparison.png,0.7645759717314488,0.7651012647032811,0.0005252929718323474,-0.00014838996883809186,-5.5428456313788566e-05
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\35_comparison.png,0.8899301564848378,0.8904182577035787,0.00048810121874098833,-0.001363064448483109,-0.0013238648695380606
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.7908105705787837,0.7912163086605555,0.0004057380817718004,0.0,6.362164186329844e-05
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.7319721819331325,0.732353488372093,0.00038130643896050476,0.0,5.66282423229425e-05
DRIVE,25,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\25_comparison.png,0.7694194981946116,0.7697651799360845,0.0003456817414728697,-3.158160687222189e-05,9.134972015867326e-05
DRIVE,39,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\39_comparison.png,0.7759282214745292,0.7762589502337417,0.000330728759212473,-0.0009524481444899147,-0.0006546123564291628
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\27_comparison.png,0.7881035589472933,0.7884107614358096,0.0003072024885162339,-6.879708300366882e-05,2.3871905320271836e-06
