dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0139,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\STARE\comparison\im0139_comparison.png,0.2321017792591897,0.2321017792591897,0.0,0.0,0.0
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_13R_comparison.png,0.2655398037077426,0.2655398037077426,0.0,0.0,0.0
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\23_comparison.png,0.2949766355140187,0.2950784839712093,0.00010184845719057867,0.0002840927531465032,0.0
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.3029383809581589,0.3029383809581589,0.0,0.0,0.0
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\34_comparison.png,0.3188160676532769,0.3185809886309924,-0.00023507902228453448,6.009766989012455e-05,-0.0001858333075231977
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.3341246680616678,0.3341246680616678,0.0,0.0,0.0
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.3417412361383926,0.3417412361383926,0.0,0.0,0.0
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_10R_comparison.png,0.3431752829611502,0.3431752829611502,0.0,0.0,0.0
CHASEDB1,Image_12L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_12L_comparison.png,0.3550692764460083,0.3550692764460083,0.0,0.0,0.0
DRIVE,31,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\31_comparison.png,0.3667378969862206,0.3667378969862206,0.0,0.0,0.0
