dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\35_comparison.png,0.504270721138191,0.502946856268653,-0.0013238648695380606,0.00048810121874098833,-0.001363064448483109
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\22_comparison.png,0.4839827650805545,0.483306389259858,-0.0006763758206964621,-0.00012271952138731557,-0.0006711409395973034
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\37_comparison.png,0.40055973412629,0.3999,-0.0006597341262900014,-0.0003025687146690492,-0.0005894386463713985
DRIVE,39,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\39_comparison.png,0.5804941597297357,0.5798395473733066,-0.0006546123564291628,0.000330728759212473,-0.0009524481444899147
DRIVE,33,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\33_comparison.png,0.5759108317784543,0.5753384271429625,-0.0005724046354917967,0.00029978292186905175,-0.0007496532853555338
DRIVE,21,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\21_comparison.png,0.5899515456170809,0.5894704098296912,-0.0004811357873896194,-6.7245443360342e-05,-0.0005679513184583818
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\STARE\comparison\im0005_comparison.png,0.4648944969752015,0.4645841784989858,-0.0003103184762157096,0.00011123400544832407,-0.00044436312308859804
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\38_comparison.png,0.5833296347254894,0.583079894332586,-0.0002497403929033748,0.00011387725018563444,-0.0003511605857358102
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\DRIVE\comparison\34_comparison.png,0.3188160676532769,0.3185809886309924,-0.00023507902228453448,6.009766989012455e-05,-0.0001858333075231977
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03R_comparison.png,0.4568299158445426,0.4565997060264576,-0.00023020981808496987,3.6606529608795846e-05,-0.00023473854268790673
