dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.9496746746746748,0.9496746746746748,0.0,0.7818715751869456,0.7818715751869456,0.0,0.3861254391866637,0.3861254391866637,0.0,0.9919240490721905,0.9919240490721905,0.0,0.5169542415629128,0.5169542415629128,0.0,0.3485760561479282,0.3485760561479282,0.0,0.0080759509278096,0.0080759509278096,0.0,0.6138745608133364,0.6138745608133364,0.0,0.689024744129427,0.689024744129427,0.0,0.5169542415629128,0.5169542415629128,0.0,True,0.0344417334000667,33031,959040,21,1572.904761904762,731.0,2029.3267216765903,52,8593,0,0.0,0,0.0,8593,0.2601495564772486,7487,0.2266658593442523,371,1567,0.0495525577667957,0.2092961132629892,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.940718843843844,0.940727185518852,8.341675008072258e-06,0.8098708952041251,0.8101221640488656,0.00025126884474047095,0.2867871166149537,0.2867871166149537,0.0,0.9944662729264886,0.994475300213721,9.027287232399317e-06,0.4235787936855552,0.4236131531184409,3.435943288571108e-05,0.2686964575133133,0.2687241104278694,2.765291455614216e-05,0.0055337270735114,0.0055246997862789,-9.027287232499931e-06,0.7132128833850463,0.7132128833850463,0.0,0.6406266947707211,0.6406312084143373,4.5136436161996585e-06,0.4235787936855552,0.4236131531184409,3.435943288571108e-05,True,0.0268946029362696,25793,959040,25,1031.72,458.0,1519.601961567568,8,6829,1,0.04,8,0.0003101616717714,6829,0.2647617570658706,6638,0.2573566471523281,383,1464,0.0576981018379029,0.2205483579391383,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.9260062145478812,0.9260062145478812,0.0,0.619248026155612,0.619248026155612,0.0,0.2287843741968645,0.2287843741968645,0.0,0.9875774494450876,0.9875774494450876,0.0,0.3341246680616678,0.3341246680616678,0.0,0.2005700316559081,0.2005700316559081,0.0,0.0124225505549125,0.0124225505549125,0.0,0.7712156258031354,0.7712156258031354,0.0,0.608180911820976,0.608180911820976,0.0,0.3341246680616678,0.3341246680616678,0.0,True,0.0299789372706039,28751,959040,21,1369.095238095238,321.0,2046.449629521284,20,8018,0,0.0,0,0.0,8018,0.2788772564432542,6872,0.2390177732948419,423,1507,0.0615541327124563,0.2192956926658905,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.9281177010343676,0.9281177010343676,0.0,0.6239586804398534,0.6239586804398534,0.0,0.200026705835225,0.200026705835225,0.0,0.9897890629418084,0.9897890629418084,0.0,0.3029383809581589,0.3029383809581589,0.0,0.1785075907433446,0.1785075907433446,0.0,0.0102109370581914,0.0102109370581914,0.0,0.799973294164775,0.799973294164775,0.0,0.5949078843885167,0.5949078843885167,0.0,0.3029383809581589,0.3029383809581589,0.0,True,0.0250333667000333,24008,959040,28,857.4285714285714,391.5,892.1057123686724,19,2852,0,0.0,0,0.0,2852,0.1187937354215261,6786,0.2826557814061979,462,1578,0.0680813439434129,0.2325375773651635,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.939332040373707,0.9393476810143476,1.5640640640635084e-05,0.7908105705787837,0.7912163086605555,0.0004057380817718004,0.3076227458907388,0.3076227458907388,0.0,0.9930768325632126,0.9930938038839432,1.6971320730641004e-05,0.4429423535381581,0.4430059751800214,6.362164186329844e-05,0.2844739592941032,0.2845264452644526,5.2485970349402944e-05,0.0069231674367874,0.0069061961160566,-1.697132073079973e-05,0.6923772541092611,0.6923772541092611,0.0,0.6503497892269757,0.6503582748873411,8.485660365376013e-06,0.4429423535381581,0.4430059751800214,6.362164186329844e-05,True,0.0305002919586252,29251,959040,30,975.0333333333332,439.5,1244.8056470344632,15,4631,0,0.0,0,0.0,4631,0.1583193736966257,6943,0.2373594065160165,388,1440,0.0558836237937491,0.2074031398530894,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_03R_comparison.png,0.942189064064064,0.9421775942609276,-1.146980313637691e-05,0.7862876028598408,0.7863242093894496,3.6606529608795846e-05,0.3219370072216622,0.3217022686789743,-0.00023473854268790673,0.9928526232801236,0.992859390561222,6.767281098385425e-06,0.4568299158445426,0.4565997060264576,-0.00023020981808496987,0.2960334188272937,0.2958401056481105,-0.00019331317918325208,0.0071473767198762,0.0071406094387781,-6.767281098100063e-06,0.6780629927783378,0.6782977313210257,0.00023473854268785121,0.6573948152508929,0.657280829620098,-0.00011398563079489943,0.4568299158445426,0.4565997060264576,-0.00023020981808496987,True,0.0309184184184184,29652,959040,18,1647.3333333333333,1294.5,1585.2341572566918,8,5421,1,0.0555555555555555,8,0.0002697963037906,5421,0.1828207203561311,6717,0.2265277215702144,366,1452,0.0544886109870477,0.2161679321125502,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_04L_comparison.png,0.9407928762095428,0.9407928762095428,0.0,0.7382964383845715,0.7382964383845715,0.0,0.3789112388250319,0.3789112388250319,0.0,0.9885775315882844,0.9885775315882844,0.0,0.5008000281328574,0.5008000281328574,0.0,0.3340448489397635,0.3340448489397635,0.0,0.0114224684117157,0.0114224684117157,0.0,0.621088761174968,0.621088761174968,0.0,0.6837443852066581,0.6837443852066581,0.0,0.5008000281328574,0.5008000281328574,0.0,True,0.0402256423089756,38578,959040,20,1928.9,1417.5,1996.7479285077525,60,8665,0,0.0,0,0.0,8665,0.2246098812794857,8846,0.2293016745295246,467,1907,0.0527922224734343,0.2155776622202125,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.9339579162495828,0.9339579162495828,0.0,0.7341370841705738,0.7341370841705738,0.0,0.2227053532726484,0.2227053532726484,0.0,0.993273957994433,0.993273957994433,0.0,0.3417412361383926,0.3417412361383926,0.0,0.2060843841660608,0.2060843841660608,0.0,0.006726042005567,0.006726042005567,0.0,0.7772946467273515,0.7772946467273515,0.0,0.6079896556335407,0.6079896556335407,0.0,0.3417412361383926,0.3417412361383926,0.0,True,0.0233514764764764,22395,959040,29,772.2413793103449,325.0,964.7162046576868,12,3665,0,0.0,0,0.0,3665,0.1636526010270149,5076,0.2266577361018084,315,1117,0.0620567375886524,0.2200551615445232,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_05L_comparison.png,0.937448907240574,0.937448907240574,0.0,0.8115868427220877,0.8115868427220877,0.0,0.2735676380347902,0.2735676380347902,0.0,0.994538551170367,0.994538551170367,0.0,0.4092023754419484,0.4092023754419484,0.0,0.2572309444802139,0.2572309444802139,0.0,0.0054614488296329,0.0054614488296329,0.0,0.7264323619652099,0.7264323619652099,0.0,0.6340530946025786,0.6340530946025786,0.0,0.4092023754419484,0.4092023754419484,0.0,True,0.0266912746079412,25598,959040,26,984.5384615384615,868.0,754.4952582187354,31,2695,0,0.0,0,0.0,2695,0.1052816626298929,6367,0.2487303695601218,386,1427,0.0606250981623998,0.2241243913931208,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r01_selective35_bfs\CHASEDB1\comparison\Image_05R_comparison.png,0.9398252419085752,0.9398169002335668,-8.341675008405325e-06,0.8232785380732583,0.8232403682604822,-3.81698127761565e-05,0.3734861565213132,0.3733881929392748,-9.796358203839617e-05,0.9925379853814268,0.9925379853814268,0.0,0.5138572993008171,0.5137571397280585,-0.00010015957275866239,0.3457657861920417,0.345675093526811,-9.069266523070718e-05,0.0074620146185733,0.0074620146185733,0.0,0.6265138434786868,0.6266118070607252,9.796358203839617e-05,0.68301207095137,0.6829630891603508,-4.8981791019198084e-05,0.5138572993008171,0.5137571397280585,-0.00010015957275866239,True,0.0386292542542542,37047,959040,20,1852.35,1349.0,1709.9930197225954,8,6420,1,0.05,8,0.0002159419116257,6420,0.1732933840796825,9402,0.2537857316381893,500,2014,0.0531801744309721,0.2142097426079557,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
