dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.9496746746746748,0.7818715751869456,0.3861254391866637,0.9919240490721905,0.5169542415629128,0.3485760561479282,0.0080759509278096,0.6138745608133364,0.689024744129427,0.5169542415629128
CHASEDB1,Image_01L,CA-APSRG,0.9496746746746748,0.7818715751869456,0.3861254391866637,0.9919240490721905,0.5169542415629128,0.3485760561479282,0.0080759509278096,0.6138745608133364,0.689024744129427,0.5169542415629128
CHASEDB1,Image_01R,APSRG Baseline,0.940718843843844,0.8098708952041251,0.2867871166149537,0.9944662729264886,0.4235787936855552,0.2686964575133133,0.0055337270735114,0.7132128833850463,0.6406266947707211,0.4235787936855552
CHASEDB1,Image_01R,CA-APSRG,0.940727185518852,0.8101221640488656,0.2867871166149537,0.994475300213721,0.4236131531184409,0.2687241104278694,0.0055246997862789,0.7132128833850463,0.6406312084143373,0.4236131531184409
CHASEDB1,Image_02L,APSRG Baseline,0.9260062145478812,0.619248026155612,0.2287843741968645,0.9875774494450876,0.3341246680616678,0.2005700316559081,0.0124225505549125,0.7712156258031354,0.608180911820976,0.3341246680616678
CHASEDB1,Image_02L,CA-APSRG,0.9260062145478812,0.619248026155612,0.2287843741968645,0.9875774494450876,0.3341246680616678,0.2005700316559081,0.0124225505549125,0.7712156258031354,0.608180911820976,0.3341246680616678
CHASEDB1,Image_02R,APSRG Baseline,0.9281177010343676,0.6239586804398534,0.200026705835225,0.9897890629418084,0.3029383809581589,0.1785075907433446,0.0102109370581914,0.799973294164775,0.5949078843885167,0.3029383809581589
CHASEDB1,Image_02R,CA-APSRG,0.9281177010343676,0.6239586804398534,0.200026705835225,0.9897890629418084,0.3029383809581589,0.1785075907433446,0.0102109370581914,0.799973294164775,0.5949078843885167,0.3029383809581589
CHASEDB1,Image_03L,APSRG Baseline,0.939332040373707,0.7908105705787837,0.3076227458907388,0.9930768325632126,0.4429423535381581,0.2844739592941032,0.0069231674367874,0.6923772541092611,0.6503497892269757,0.4429423535381581
CHASEDB1,Image_03L,CA-APSRG,0.9393476810143476,0.7912163086605555,0.3076227458907388,0.9930938038839432,0.4430059751800214,0.2845264452644526,0.0069061961160566,0.6923772541092611,0.6503582748873411,0.4430059751800214
CHASEDB1,Image_03R,APSRG Baseline,0.942189064064064,0.7862876028598408,0.3219370072216622,0.9928526232801236,0.4568299158445426,0.2960334188272937,0.0071473767198762,0.6780629927783378,0.6573948152508929,0.4568299158445426
CHASEDB1,Image_03R,CA-APSRG,0.9421775942609276,0.7863242093894496,0.3217022686789743,0.992859390561222,0.4565997060264576,0.2958401056481105,0.0071406094387781,0.6782977313210257,0.657280829620098,0.4565997060264576
CHASEDB1,Image_04L,APSRG Baseline,0.9407928762095428,0.7382964383845715,0.3789112388250319,0.9885775315882844,0.5008000281328574,0.3340448489397635,0.0114224684117157,0.621088761174968,0.6837443852066581,0.5008000281328574
CHASEDB1,Image_04L,CA-APSRG,0.9407928762095428,0.7382964383845715,0.3789112388250319,0.9885775315882844,0.5008000281328574,0.3340448489397635,0.0114224684117157,0.621088761174968,0.6837443852066581,0.5008000281328574
CHASEDB1,Image_04R,APSRG Baseline,0.9339579162495828,0.7341370841705738,0.2227053532726484,0.993273957994433,0.3417412361383926,0.2060843841660608,0.006726042005567,0.7772946467273515,0.6079896556335407,0.3417412361383926
CHASEDB1,Image_04R,CA-APSRG,0.9339579162495828,0.7341370841705738,0.2227053532726484,0.993273957994433,0.3417412361383926,0.2060843841660608,0.006726042005567,0.7772946467273515,0.6079896556335407,0.3417412361383926
CHASEDB1,Image_05L,APSRG Baseline,0.937448907240574,0.8115868427220877,0.2735676380347902,0.994538551170367,0.4092023754419484,0.2572309444802139,0.0054614488296329,0.7264323619652099,0.6340530946025786,0.4092023754419484
CHASEDB1,Image_05L,CA-APSRG,0.937448907240574,0.8115868427220877,0.2735676380347902,0.994538551170367,0.4092023754419484,0.2572309444802139,0.0054614488296329,0.7264323619652099,0.6340530946025786,0.4092023754419484
CHASEDB1,Image_05R,APSRG Baseline,0.9398252419085752,0.8232785380732583,0.3734861565213132,0.9925379853814268,0.5138572993008171,0.3457657861920417,0.0074620146185733,0.6265138434786868,0.68301207095137,0.5138572993008171
CHASEDB1,Image_05R,CA-APSRG,0.9398169002335668,0.8232403682604822,0.3733881929392748,0.9925379853814268,0.5137571397280585,0.345675093526811,0.0074620146185733,0.6266118070607252,0.6829630891603508,0.5137571397280585
CHASEDB1,Image_06L,APSRG Baseline,0.9424601685018352,0.7862931006200584,0.3299603502395506,0.9926512064476244,0.4648506065925114,0.3028048010107391,0.0073487935523756,0.6700396497604494,0.6613057783435874,0.4648506065925114
CHASEDB1,Image_06L,CA-APSRG,0.9424601685018352,0.7862931006200584,0.3299603502395506,0.9926512064476244,0.4648506065925114,0.3028048010107391,0.0073487935523756,0.6700396497604494,0.6613057783435874,0.4648506065925114
CHASEDB1,Image_06R,APSRG Baseline,0.9381746329662995,0.7319721819331325,0.2742447887637944,0.9918773498994672,0.3989985505336672,0.2492181069958847,0.0081226501005328,0.7257552112362056,0.6330610693316308,0.3989985505336672
CHASEDB1,Image_06R,CA-APSRG,0.9381892308975642,0.732353488372093,0.2742447887637944,0.991893128600925,0.3990551787759901,0.249262294043895,0.0081068713990749,0.7257552112362056,0.6330689586823597,0.3990551787759901
CHASEDB1,Image_07L,APSRG Baseline,0.9485308224891558,0.7967395887009884,0.4553742352641936,0.9901870432333228,0.5795234809571269,0.4079782194130276,0.0098129567666771,0.5446257647358064,0.7227806392487582,0.5795234809571269
CHASEDB1,Image_07L,CA-APSRG,0.9485308224891558,0.7967395887009884,0.4553742352641936,0.9901870432333228,0.5795234809571269,0.4079782194130276,0.0098129567666771,0.5446257647358064,0.7227806392487582,0.5795234809571269
CHASEDB1,Image_07R,APSRG Baseline,0.936989072405739,0.7287288382953883,0.2737227277710777,0.9916090340288374,0.3979636566509922,0.2484111289379749,0.0083909659711626,0.7262772722289222,0.6326658808999576,0.3979636566509922
CHASEDB1,Image_07R,CA-APSRG,0.937014097430764,0.7293675138767163,0.2737227277710777,0.9916361198638486,0.3980588329081632,0.2484853008870476,0.0083638801361514,0.7262772722289222,0.6326794238174631,0.3980588329081632
CHASEDB1,Image_08L,APSRG Baseline,0.946755088421755,0.6322698971958106,0.422403508206236,0.9830125282325582,0.5064563519678342,0.3390971215572582,0.0169874717674417,0.5775964917937639,0.7027080182193972,0.5064563519678342
CHASEDB1,Image_08L,CA-APSRG,0.946755088421755,0.6322698971958106,0.422403508206236,0.9830125282325582,0.5064563519678342,0.3390971215572582,0.0169874717674417,0.5775964917937639,0.7027080182193972,0.5064563519678342
CHASEDB1,Image_08R,APSRG Baseline,0.9495391224557892,0.7808231447892875,0.2861245589562649,0.994550748520496,0.4187884319754035,0.2648528763918638,0.005449251479504,0.7138754410437351,0.6403376537383805,0.4187884319754035
CHASEDB1,Image_08R,CA-APSRG,0.9495391224557892,0.7808231447892875,0.2861245589562649,0.994550748520496,0.4187884319754035,0.2648528763918638,0.005449251479504,0.7138754410437351,0.6403376537383805,0.4187884319754035
CHASEDB1,Image_09L,APSRG Baseline,0.951880005005005,0.5210463817946582,0.605865138900338,0.9703201261702156,0.5602637521796716,0.3891433260973156,0.0296798738297844,0.394134861099662,0.7880926325352768,0.5602637521796716
CHASEDB1,Image_09L,CA-APSRG,0.951880005005005,0.5210463817946582,0.605865138900338,0.9703201261702156,0.5602637521796716,0.3891433260973156,0.0296798738297844,0.394134861099662,0.7880926325352768,0.5602637521796716
CHASEDB1,Image_09R,APSRG Baseline,0.951683975642309,0.5261087267525035,0.5122390872406235,0.975253262669176,0.5190812757521976,0.3505130074007625,0.024746737330824,0.4877609127593765,0.7437461749548997,0.5190812757521976
CHASEDB1,Image_09R,CA-APSRG,0.951683975642309,0.5261087267525035,0.5122390872406235,0.975253262669176,0.5190812757521976,0.3505130074007625,0.024746737330824,0.4877609127593765,0.7437461749548997,0.5190812757521976
CHASEDB1,Image_10L,APSRG Baseline,0.9348463046379714,0.4695841014115805,0.3095412477528464,0.9766342144957972,0.3731251943778404,0.2293508960175626,0.0233657855042026,0.6904587522471536,0.6430877311243219,0.3731251943778404
CHASEDB1,Image_10L,CA-APSRG,0.9348463046379714,0.4695841014115805,0.3095412477528464,0.9766342144957972,0.3731251943778404,0.2293508960175626,0.0233657855042026,0.6904587522471536,0.6430877311243219,0.3731251943778404
CHASEDB1,Image_10R,APSRG Baseline,0.9440284034034034,0.6273150219200143,0.2361927540381667,0.9907399276845152,0.3431752829611502,0.2071282975392159,0.0092600723154849,0.7638072459618332,0.613466340861341,0.3431752829611502
CHASEDB1,Image_10R,CA-APSRG,0.9440284034034034,0.6273150219200143,0.2361927540381667,0.9907399276845152,0.3431752829611502,0.2071282975392159,0.0092600723154849,0.7638072459618332,0.613466340861341,0.3431752829611502
CHASEDB1,Image_11L,APSRG Baseline,0.9616762595929262,0.655833025970363,0.5913261214030009,0.982528215560605,0.621911325995268,0.4512854199635723,0.017471784439395,0.4086738785969991,0.7869271684818029,0.621911325995268
CHASEDB1,Image_11L,CA-APSRG,0.9616762595929262,0.655833025970363,0.5913261214030009,0.982528215560605,0.621911325995268,0.4512854199635723,0.017471784439395,0.4086738785969991,0.7869271684818029,0.621911325995268
CHASEDB1,Image_11R,APSRG Baseline,0.9598087671004336,0.6408368762586708,0.5600883969256645,0.9823208764774366,0.5977479310812644,0.4262770897832817,0.0176791235225634,0.4399116030743356,0.7712046367015506,0.5977479310812644
CHASEDB1,Image_11R,CA-APSRG,0.9598087671004336,0.6408368762586708,0.5600883969256645,0.9823208764774366,0.5977479310812644,0.4262770897832817,0.0176791235225634,0.4399116030743356,0.7712046367015506,0.5977479310812644
CHASEDB1,Image_12L,APSRG Baseline,0.9388450950950952,0.7369454080701113,0.2338770425310001,0.9935247773053726,0.3550692764460083,0.2158566749114245,0.0064752226946274,0.7661229574689998,0.6137009099181864,0.3550692764460083
