dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0240,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0240_comparison.png,0.617327553914486,0.6176415473162896,0.0003139934018036028,0.00088437002800279,0.0
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_14R_comparison.png,0.5897952937363844,0.5900236845186099,0.00022839078222547382,0.0004664196416929167,0.0
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.4587735046773126,0.4589643242016902,0.00019081952437760563,0.0009218300980716743,0.0
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\35_comparison.png,0.5899404748733155,0.5900848039324226,0.0001443290591071067,0.001058112344850981,-0.00017475185236959234
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_13R_comparison.png,0.4418991048619909,0.4420276306222083,0.0001285257602173795,0.0004685221979984222,0.0
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.3830490631550757,0.3831587503925807,0.0001096872375049851,0.0005769083239750561,0.0
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0001_comparison.png,0.4698658910971077,0.4699342286000549,6.83375029472133e-05,0.00016588674332707054,0.0
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_07R_comparison.png,0.5055354635578437,0.5056,6.453644215631549e-05,0.00022460298971682668,0.0
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_07L_comparison.png,0.5851819307425011,0.5852427060364938,6.077529399262094e-05,0.0001868643591886876,0.0
CHASEDB1,Image_09R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_09R_comparison.png,0.5052220071670851,0.5052752623257151,5.325515862997232e-05,9.400885938681824e-05,0.0
