dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\35_comparison.png,0.8040291935581156,0.8050873059029666,0.001058112344850981,-0.00017475185236959234,0.0001443290591071067
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.7127003699136868,0.7136222000117585,0.0009218300980716743,0.0,0.00019081952437760563
STARE,im0240,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0240_comparison.png,0.7323282018727186,0.7332125719007214,0.00088437002800279,0.0,0.0003139934018036028
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.6209766759483817,0.6215535842723567,0.0005769083239750561,0.0,0.0001096872375049851
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0255_comparison.png,0.7823012641954146,0.7827840714040508,0.00048280720863624893,-0.0003429807666938678,-0.0001228266112501819
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_13R_comparison.png,0.5964454909875816,0.59691401318558,0.0004685221979984222,0.0,0.0001285257602173795
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_14R_comparison.png,0.5958673627153173,0.5963337823570102,0.0004664196416929167,0.0,0.00022839078222547382
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.6919110212335693,0.6921967876565069,0.00028576642293765,-8.127438231469997e-05,6.217956722287532e-07
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0005_comparison.png,0.5342352004982182,0.5344761904761904,0.0002409899779722835,-0.00020911205792412124,-4.6547640648708644e-05
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_07R_comparison.png,0.6668013558713269,0.6670259588610438,0.00022460298971682668,0.0,6.453644215631549e-05
