dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.3830490631550757,0.3831587503925807,0.0001096872375049851,0.0005769083239750561,0.0
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\23_comparison.png,0.4020782008439642,0.4020782008439642,0.0,0.0,0.0
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_13R_comparison.png,0.4418991048619909,0.4420276306222083,0.0001285257602173795,0.0004685221979984222,0.0
CHASEDB1,Image_12L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_12L_comparison.png,0.4564169454999149,0.4564169454999149,0.0,0.0,0.0
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.4587735046773126,0.4589643242016902,0.00019081952437760563,0.0009218300980716743,0.0
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0005_comparison.png,0.459827278141751,0.4597807305011023,-4.6547640648708644e-05,0.0002409899779722835,-0.00020911205792412124
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.4696890293555643,0.4696890293555643,0.0,0.0,0.0
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0001_comparison.png,0.4698658910971077,0.4699342286000549,6.83375029472133e-05,0.00016588674332707054,0.0
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\37_comparison.png,0.4739313896106992,0.4731418757752123,-0.0007895138354869213,-0.0003482443769923238,-0.0007628029541277837
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.4827096450129472,0.4827096450129472,0.0,0.0,0.0
