dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\37_comparison.png,0.4739313896106992,0.4731418757752123,-0.0007895138354869213,-0.0003482443769923238,-0.0007628029541277837
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\38_comparison.png,0.6198476468746739,0.6194701350758889,-0.00037751179878497965,-9.146947884508538e-05,-0.0004916248200301787
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\34_comparison.png,0.4949018659573611,0.4945768315793718,-0.00032503437798925283,0.00017311695301902574,-0.0004336110508872948
DRIVE,29,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\29_comparison.png,0.6251727195858855,0.6249174917491749,-0.0002552278367106142,-0.00011697022118828393,-0.00032446463335500386
DRIVE,40,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\40_comparison.png,0.585025661174275,0.5847967579516149,-0.0002289032226601151,-5.9756293477986056e-05,-0.00028000000000000247
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_08R_comparison.png,0.486237753933585,0.4860393845240241,-0.00019836940956086124,-8.080783986175177e-05,-0.00021334208582912684
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0255_comparison.png,0.596198438877821,0.5960756122665708,-0.0001228266112501819,0.00048280720863624893,-0.0003429807666938678
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\STARE\comparison\im0005_comparison.png,0.459827278141751,0.4597807305011023,-4.6547640648708644e-05,0.0002409899779722835,-0.00020911205792412124
CHASEDB1,Image_13L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_13L_comparison.png,0.5392496248124062,0.5392496248124062,0.0,0.0,0.0
CHASEDB1,Image_12R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_12R_comparison.png,0.557086965697495,0.557086965697495,0.0,0.0,0.0
