dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\37_comparison.png,0.7584312528612849,0.7580830084842926,-0.0003482443769923238,-0.0007628029541277837,-0.0007895138354869213
DRIVE,29,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\29_comparison.png,0.7304226302346875,0.7303056600134992,-0.00011697022118828393,-0.00032446463335500386,-0.0002552278367106142
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\38_comparison.png,0.7639674863669101,0.7638760168880651,-9.146947884508538e-05,-0.0004916248200301787,-0.00037751179878497965
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_08R_comparison.png,0.6869177076780204,0.6868368998381587,-8.080783986175177e-05,-0.00021334208582912684,-0.00019836940956086124
DRIVE,40,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\DRIVE\comparison\40_comparison.png,0.7576162309991732,0.7575564747056952,-5.9756293477986056e-05,-0.00028000000000000247,-0.0002289032226601151
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.6811502464167835,0.6811502464167835,0.0,0.0,0.0
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.6303261128302785,0.6303261128302785,0.0,0.0,0.0
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.6537261617133072,0.6537261617133072,0.0,0.0,0.0
CHASEDB1,Image_13L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_13L_comparison.png,0.6578382072938534,0.6578382072938534,0.0,0.0,0.0
CHASEDB1,Image_12R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r02_selective77_radius1_bfs\CHASEDB1\comparison\Image_12R_comparison.png,0.651071015235168,0.651071015235168,0.0,0.0,0.0
