dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\35_comparison.png,0.7415026833631485,0.7437593984962406,0.002256715133092113,-0.0009786103732699891,-0.0011248397612230732
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\30_comparison.png,0.7340966921119593,0.7358205485820548,0.0017238564700955417,-0.0006183096958689016,-0.00048016966722957966
STARE,im0240,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\STARE\comparison\im0240_comparison.png,0.6735994335781927,0.6750332594235033,0.001433825845310599,0.0,0.00012286041698639227
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\STARE\comparison\im0005_comparison.png,0.3710680646881109,0.3717948717948718,0.0007268071067609294,0.0,7.498990269311223e-05
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\STARE\comparison\im0001_comparison.png,0.3170332815438711,0.3176827269747623,0.0006494454308911823,0.0,9.154983093140334e-05
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_14R_comparison.png,0.5258090873565668,0.5263513513513514,0.0005422639947845198,0.0,0.00012096124866878277
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\27_comparison.png,0.7144717261904762,0.7149659228830174,0.0004941966925412489,-0.0008255649960441924,-0.0008089564358079171
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_07L_comparison.png,0.7338414406336397,0.7341980338653609,0.00035659323172121393,0.0,4.9611479877198494e-05
DRIVE,24,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\24_comparison.png,0.8049140049140049,0.8052411417322834,0.00032713681827856167,-0.0001831741462776093,-0.00022889637226486403
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\37_comparison.png,0.7510387811634349,0.7513079874433205,0.000269206279885581,-0.0010401858465378944,-0.0014309070493557785
