dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\STARE\comparison\im0001_comparison.png,0.168462674893543,0.1685542247244744,9.154983093140334e-05,0.0006494454308911823,0.0
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\STARE\comparison\im0005_comparison.png,0.1686897861081376,0.1687647760108307,7.498990269311223e-05,0.0007268071067609294,0.0
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_02R_comparison.png,0.1850912028766172,0.1850912028766172,0.0,0.0,0.0
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_10R_comparison.png,0.1945753073342067,0.1945753073342067,0.0,0.0,0.0
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_06R_comparison.png,0.197449749355137,0.197449749355137,0.0,0.0,0.0
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\STARE\comparison\im0255_comparison.png,0.206470178278366,0.206470178278366,0.0,0.0,0.0
DRIVE,36,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\36_comparison.png,0.2095546962704253,0.2095546962704253,0.0,0.0,0.0
DRIVE,38,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\38_comparison.png,0.2112340579491663,0.2112340579491663,0.0,0.0,0.0
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\23_comparison.png,0.2273670344146221,0.2253214638971315,-0.0020455705174906025,-0.0024412702542317977,-0.001611863313990991
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_01R_comparison.png,0.2287621359223301,0.2287621359223301,0.0,0.0,0.0
