dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
DRIVE,23,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\23_comparison.png,0.2273670344146221,0.2253214638971315,-0.0020455705174906025,-0.0024412702542317977,-0.001611863313990991
DRIVE,34,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\34_comparison.png,0.2519539334323488,0.2502438548575887,-0.0017100785747600766,-0.0006755410437591092,-0.0013318053705826116
DRIVE,37,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\37_comparison.png,0.2506283040124794,0.2491973969631236,-0.0014309070493557785,0.000269206279885581,-0.0010401858465378944
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\35_comparison.png,0.2816534541336353,0.2805286143724122,-0.0011248397612230732,0.002256715133092113,-0.0009786103732699891
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\27_comparison.png,0.3858071968460437,0.3849982404102358,-0.0008089564358079171,0.0004941966925412489,-0.0008255649960441924
DRIVE,40,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\40_comparison.png,0.309351168896112,0.3087793896948474,-0.0005717792012646106,-0.00035955744961768676,-0.00043999999999999595
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\30_comparison.png,0.3676968977203603,0.3672167280531307,-0.00048016966722957966,0.0017238564700955417,-0.0006183096958689016
DRIVE,22,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\22_comparison.png,0.3623601775837694,0.3620351765026915,-0.0003250010810779136,-0.0002325505485183399,-0.0002684563758389158
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\28_comparison.png,0.3247829420931555,0.3244674270727664,-0.00031551502038912327,-1.3935558184074992e-06,-0.00024837778260730636
DRIVE,24,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\DRIVE\comparison\24_comparison.png,0.2826879516772732,0.2824590553050083,-0.00022889637226486403,0.00032713681827856167,-0.0001831741462776093
