dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_01L_comparison.png,0.9329454454454454,0.9329454454454454,0.0,0.5737676761893857,0.5737676761893857,0.0,0.1498392763698886,0.1498392763698886,0.0,0.991655037521507,0.991655037521507,0.0,0.2376232928679817,0.2376232928679817,0.0,0.134831158347908,0.134831158347908,0.0,0.008344962478493,0.008344962478493,0.0,0.8501607236301114,0.8501607236301114,0.0,0.5707471569456978,0.5707471569456978,0.0,0.2376232928679817,0.2376232928679817,0.0,True,0.018213004671338,17467,959040,50,349.34,230.5,397.3585589867167,10,1656,2,0.04,21,0.0012022671323066,1656,0.0948073510047518,5032,0.2880861052269995,297,1046,0.0590222575516693,0.2078696343402225,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_01R_comparison.png,0.925784117450784,0.925784117450784,0.0,0.5427249357326478,0.5427249357326478,0.0,0.1449243526730552,0.1449243526730552,0.0,0.989963913419288,0.989963913419288,0.0,0.2287621359223301,0.2287621359223301,0.0,0.1291538198013018,0.1291538198013018,0.0,0.0100360865807118,0.0100360865807118,0.0,0.8550756473269447,0.8550756473269447,0.0,0.5674441330461717,0.5674441330461717,0.0,0.2287621359223301,0.2287621359223301,0.0,True,0.0202806973640306,19450,959040,55,353.6363636363636,135.0,507.5626020909365,17,2196,0,0.0,0,0.0,2196,0.112904884318766,6431,0.3306426735218509,432,1517,0.0671746229202301,0.2358886642823822,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_02L_comparison.png,0.9222430764097432,0.9222420337003672,-1.0427093760645434e-06,0.5623799646615963,0.5623871190869615,7.154425365141215e-06,0.1881392958108455,0.1880621948085325,-7.710100231300698e-05,0.9870713329248088,0.98707700687683,5.6739520212234495e-06,0.2819535116606004,0.2818678196893387,-8.569197126168104e-05,0.1641128535078968,0.1640547932920814,-5.806021581541976e-05,0.0129286670751912,0.0129229931231701,-5.673952021100284e-06,0.8118607041891545,0.8119378051914675,7.71010023130625e-05,0.5876053143678271,0.5875696008426812,-3.5713525145975034e-05,0.2819535116606004,0.2818678196893387,-8.569197126168104e-05,True,0.0271458958958958,26034,959040,43,605.4418604651163,306.0,750.8611274172515,11,3625,1,0.0232558139534883,11,0.0004225243911807,3625,0.1392409925482061,7622,0.29277099177998,413,1616,0.0541852532143794,0.2120178430858042,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_02R_comparison.png,0.9253263680347014,0.9253263680347014,0.0,0.6260488030174737,0.6260488030174737,0.0,0.1085992789424489,0.1085992789424489,0.0,0.9945054572187976,0.9945054572187976,0.0,0.1850912028766172,0.1850912028766172,0.0,0.1019837488087475,0.1019837488087475,0.0,0.0054945427812022,0.0054945427812022,0.0,0.8914007210575511,0.8914007210575511,0.0,0.5515523680806234,0.5515523680806234,0.0,0.1850912028766172,0.1850912028766172,0.0,True,0.0135458375041708,12991,959040,58,223.98275862068965,115.5,273.04549901128394,8,1159,3,0.0517241379310344,26,0.0020013855746285,1159,0.0892156108074821,3917,0.3015164344546224,278,799,0.0709726831758999,0.2039826397753382,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_03L_comparison.png,0.9304815231898566,0.9304815231898566,0.0,0.814924270410048,0.814924270410048,0.0,0.1466833342199053,0.1466833342199053,0.0,0.9971657894379552,0.9971657894379552,0.0,0.2486166052450665,0.2486166052450665,0.0,0.1419544150010939,0.1419544150010939,0.0,0.0028342105620448,0.0028342105620448,0.0,0.8533166657800947,0.8533166657800947,0.0,0.5719245618289301,0.5719245618289301,0.0,0.2486166052450665,0.2486166052450665,0.0,True,0.014113071404738,13535,959040,46,294.2391304347826,142.0,365.30280380638897,10,1768,1,0.0217391304347826,10,0.0007388252678241,1768,0.1306243073513114,3648,0.2695234577022534,219,705,0.0600328947368421,0.1932565789473684,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_03R_comparison.png,0.9340997247247248,0.9340997247247248,0.0,0.7809605070697221,0.7809605070697221,0.0,0.1769376285883928,0.1769376285883928,0.0,0.9959463986221816,0.9959463986221816,0.0,0.2885093831969289,0.2885093831969289,0.0,0.1685719923699269,0.1685719923699269,0.0,0.0040536013778184,0.0040536013778184,0.0,0.8230623714116071,0.8230623714116071,0.0,0.5864420136052872,0.5864420136052872,0.0,0.2885093831969289,0.2885093831969289,0.0,True,0.0171087754421087,16408,959040,41,400.1951219512195,215.0,483.33179128214766,8,2318,1,0.024390243902439,8,0.000487567040468,2318,0.1412725499756216,4155,0.2532301316431009,206,727,0.0495788206979542,0.1749699157641396,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_04L_comparison.png,0.9297443276609944,0.9297443276609944,0.0,0.6679024053797741,0.6679024053797741,0.0,0.2061249467858663,0.2061249467858663,0.0,0.9912838057999348,0.9912838057999348,0.0,0.3150275501697741,0.3150275501697741,0.0,0.1869630273192393,0.1869630273192393,0.0,0.0087161942000651,0.0087161942000651,0.0,0.7938750532141337,0.7938750532141337,0.0,0.5987043762929005,0.5987043762929005,0.0,0.3150275501697741,0.3150275501697741,0.0,True,0.0241887721054387,23198,959040,52,446.11538461538464,152.5,588.22358562573,10,2482,1,0.0192307692307692,10,0.0004310716441072,2482,0.1069919820674196,6851,0.2953271833778774,363,1467,0.0529849656984381,0.2141293241862502,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_04R_comparison.png,0.9285764931598264,0.9285764931598264,0.0,0.612220817530552,0.612220817530552,0.0,0.1967923710446467,0.1967923710446467,0.0,0.989604797021292,0.989604797021292,0.0,0.2978452959386596,0.2978452959386596,0.0,0.1749813311492785,0.1749813311492785,0.0,0.010395202978708,0.010395202978708,0.0,0.8032076289553532,0.8032076289553532,0.0,0.5931985840329693,0.5931985840329693,0.0,0.2978452959386596,0.2978452959386596,0.0,True,0.0247434934934934,23730,959040,65,365.0769230769231,194.0,552.6482900945036,12,3288,0,0.0,0,0.0,3288,0.1385587863463969,6955,0.2930889169827222,428,1558,0.0615384615384615,0.2240115025161754,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_05L_comparison.png,0.9307328161494828,0.9307328161494828,0.0,0.8948111249481112,0.8948111249481112,0.0,0.1419259688442343,0.1419259688442343,0.0,0.9985652797704448,0.9985652797704448,0.0,0.2449935216966335,0.2449935216966335,0.0,0.139596932960315,0.139596932960315,0.0,0.0014347202295552,0.0014347202295552,0.0,0.8580740311557656,0.8580740311557656,0.0,0.5702456243073395,0.5702456243073395,0.0,0.2449935216966335,0.2449935216966335,0.0,True,0.0125594344344344,12045,959040,41,293.780487804878,216.0,277.826978285365,11,1258,1,0.024390243902439,11,0.0009132420091324,1258,0.1044416770444167,3210,0.2665006226650062,206,641,0.0641744548286604,0.1996884735202492,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r03_edge_region_mean\CHASEDB1\comparison\Image_05R_comparison.png,0.924219010677344,0.924219010677344,0.0,0.8029261057173679,0.8029261057173679,0.0,0.1458310373118793,0.1458310373118793,0.0,0.9966684788864992,0.9966684788864992,0.0,0.2468314420436292,0.2468314420436292,0.0,0.1407916203627078,0.1407916203627078,0.0,0.0033315211135008,0.0033315211135008,0.0,0.8541689626881207,0.8541689626881207,0.0,0.5712497580991893,0.5712497580991893,0.0,0.2468314420436292,0.2468314420436292,0.0,True,0.0154654654654654,14832,959040,51,290.8235294117647,230.0,260.4845940935707,11,1372,1,0.0196078431372549,11,0.0007416396979503,1372,0.0925026968716289,4115,0.2774406688241639,254,732,0.0617253948967193,0.1778857837181044,low,low,conservative,conservative,low,low,8,4,0,0,False,False,True
