dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0240,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\STARE\comparison\im0240_comparison.png,0.6408674283869348,0.64116644235083,0.0002990139638952005,0.0,0.00018963589162479533
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\DRIVE\comparison\30_comparison.png,0.6838152185802312,0.6840147343083264,0.0001995157280951787,0.0,0.00010562887042087077
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_04R_comparison.png,0.6426046671242278,0.6427774439962235,0.00017277687199568348,-8.127438231475548e-05,1.6466030262174414e-05
STARE,im0163,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\STARE\comparison\im0163_comparison.png,0.5604073814873476,0.5605725654913231,0.0001651840039754715,0.0,0.00012852568238286288
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_07R_comparison.png,0.6331636665825753,0.6333046369411625,0.000140970358587178,0.0,6.498363514162442e-05
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\STARE\comparison\im0005_comparison.png,0.5342173897072329,0.5343547912992358,0.00013740159200292812,0.0,9.478072921043079e-05
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_13R_comparison.png,0.5790531227685615,0.5791877751017357,0.00013465233317422332,0.0,6.686673395817078e-05
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_07L_comparison.png,0.6595578560791174,0.6596818510484455,0.0001239949693280229,0.0,5.731220633231615e-05
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_14R_comparison.png,0.566289040870385,0.566407711766731,0.00011867089634598482,0.0,7.012015358864865e-05
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\DRIVE\comparison\27_comparison.png,0.6738690668152101,0.6739685053224246,9.943850721449987e-05,-6.879708300366882e-05,2.882336124210294e-05
