dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_01L_comparison.png,0.9455153069736404,0.9455153069736404,0.0,0.6103768745662472,0.6103768745662472,0.0,0.6048740375270988,0.6048740375270988,0.0,0.9710532362649988,0.9710532362649988,0.0,0.6076129972140245,0.6076129972140245,0.0,0.4363822672850825,0.4363822672850825,0.0,0.0289467637350012,0.0289467637350012,0.0,0.3951259624729012,0.3951259624729012,0.0,0.7879636368960488,0.7879636368960488,0.0,0.6076129972140245,0.6076129972140245,0.0,True,0.0691128628628628,66282,959040,31,2138.1290322580644,252.0,7158.478928096097,25,40282,0,0.0,0,0.0,40282,0.6077366404151957,10709,0.1615672429920642,451,1644,0.0421141096274161,0.1535157344289849,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_01R_comparison.png,0.9415092175508842,0.9415092175508842,0.0,0.613862328795071,0.613862328795071,0.0,0.6196353551717511,0.6196353551717511,0.0,0.9679644144337296,0.9679644144337296,0.0,0.616735332499778,0.616735332499778,0.0,0.4458549018058245,0.4458549018058245,0.0,0.0320355855662704,0.0320355855662704,0.0,0.380364644828249,0.380364644828249,0.0,0.7937998848027403,0.7937998848027403,0.0,0.616735332499778,0.616735332499778,0.0,True,0.0766631214547881,73523,959040,27,2723.074074074074,441.0,7650.4743252899325,25,40101,0,0.0,0,0.0,40101,0.5454211607252153,12956,0.1762169661194456,563,2254,0.0434547699907378,0.1739734485952454,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_02L_comparison.png,0.9316973223223224,0.9316973223223224,0.0,0.6033120249660241,0.6033120249660241,0.0,0.4620663068619892,0.4620663068619892,0.0,0.9731701504732077,0.9731701504732077,0.0,0.5233261291942279,0.5233261291942279,0.0,0.3543951982496082,0.3543951982496082,0.0,0.0268298495267924,0.0268298495267924,0.0,0.5379336931380108,0.5379336931380108,0.0,0.7176182286675984,0.7176182286675984,0.0,0.5233261291942279,0.5233261291942279,0.0,True,0.0621465215215215,59601,959040,26,2292.346153846154,605.0,6326.963811535927,78,33221,0,0.0,0,0.0,33221,0.5573899766782436,10502,0.1762050972299122,464,1682,0.0441820605598933,0.1601599695296134,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_02R_comparison.png,0.9245380797464132,0.9245380797464132,0.0,0.5192140470778478,0.5192140470778478,0.0,0.4544665509413806,0.4544665509413806,0.0,0.964354464740146,0.964354464740146,0.0,0.4846875200262032,0.4846875200262032,0.0,0.319859782343101,0.319859782343101,0.0,0.035645535259854,0.035645535259854,0.0,0.5455334490586193,0.5455334490586193,0.0,0.7094105078407633,0.7094105078407633,0.0,0.4846875200262032,0.4846875200262032,0.0,True,0.0683506423089756,65551,959040,32,2048.46875,474.0,3831.852056972377,36,19158,0,0.0,0,0.0,19158,0.2922609876279538,11907,0.1816448261658861,552,1987,0.0463592844545225,0.1668766271940875,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_03L_comparison.png,0.9502106272939608,0.9502106272939608,0.0,0.7083282730143309,0.7083282730143309,0.0,0.620498430767594,0.620498430767594,0.0,0.9782620009865994,0.9782620009865994,0.0,0.6615107607678566,0.6615107607678566,0.0,0.4942219491785741,0.4942219491785741,0.0,0.0217379990134005,0.0217379990134005,0.0,0.3795015692324059,0.3795015692324059,0.0,0.7993802158770967,0.7993802158770967,0.0,0.6615107607678566,0.6615107607678566,0.0,True,0.0686853520186853,65872,959040,13,5067.076923076923,802.0,10407.6322842092,99,36740,0,0.0,0,0.0,36740,0.5577483604566432,9628,0.1461622540684964,334,1253,0.03469048608226,0.1301412546738679,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_03R_comparison.png,0.9488644894894896,0.9488644894894896,0.0,0.675183575603177,0.675183575603177,0.0,0.6221261788707695,0.6221261788707695,0.0,0.9755531970327728,0.9755531970327728,0.0,0.6475699060732586,0.6475699060732586,0.0,0.4788195034858017,0.4788195034858017,0.0,0.0244468029672271,0.0244468029672271,0.0,0.3778738211292304,0.3778738211292304,0.0,0.7988396879517712,0.7988396879517712,0.0,0.6475699060732586,0.6475699060732586,0.0,True,0.06957999666333,66730,959040,16,4170.625,1253.5,9639.407028410773,94,40452,0,0.0,0,0.0,40452,0.6062041060992057,10395,0.1557770118387531,384,1393,0.0369408369408369,0.134006734006734,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_04L_comparison.png,0.9469375625625626,0.9469375625625626,0.0,0.6587547569539801,0.6587547569539801,0.0,0.6701388888888888,0.6701388888888888,0.0,0.9704776257195612,0.9704776257195612,0.0,0.6643980611336433,0.6643980611336433,0.0,0.4974521538188066,0.4974521538188066,0.0,0.0295223742804387,0.0295223742804387,0.0,0.3298611111111111,0.3298611111111111,0.0,0.8203082573042251,0.8203082573042251,0.0,0.6643980611336433,0.6643980611336433,0.0,True,0.0797328578578578,76467,959040,31,2466.6774193548385,294.0,5226.257646989471,39,23803,0,0.0,0,0.0,23803,0.3112846064315325,12014,0.1571135260962245,513,1783,0.0427001831196936,0.1484101881138671,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_04R_comparison.png,0.940354938271605,0.9403684934934936,1.355522188861702e-05,0.6426046671242278,0.6427774439962235,0.00017277687199568348,0.5073011486779367,0.507219874295622,-8.127438231475548e-05,0.9764701496583884,0.9764916133463472,2.146368795874487e-05,0.5669926724398958,0.567009138470158,1.6466030262174414e-05,0.3956662757651633,0.3956823129107931,1.603714562981029e-05,0.0235298503416115,0.0235083866536528,-2.1463687958699768e-05,0.4926988513220632,0.4927801257043779,8.127438231469997e-05,0.7418856491681626,0.7418557438209845,-2.9905347178060815e-05,0.5669926724398958,0.567009138470158,1.6466030262174414e-05,True,0.0607691024357691,58280,959040,47,1240.0,145.0,3317.5053111278817,12,22121,0,0.0,0,0.0,22121,0.3795641729581331,9963,0.1709505833905285,480,1527,0.0481782595603733,0.1532670882264378,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_05L_comparison.png,0.9473202369035704,0.9473202369035704,0.0,0.6857598035633377,0.6857598035633377,0.0,0.6178348981446122,0.6178348981446122,0.0,0.9756539187565608,0.9756539187565608,0.0,0.6500277085065115,0.6500277085065115,0.0,0.4815118892458,0.4815118892458,0.0,0.0243460812434393,0.0243460812434393,0.0,0.3821651018553877,0.3821651018553877,0.0,0.7967444084505865,0.7967444084505865,0.0,0.6500277085065115,0.6500277085065115,0.0,True,0.0713411327994661,68419,959040,10,6841.9,1180.0,15521.006342695697,34,52969,0,0.0,0,0.0,52969,0.7741855332583054,10307,0.1506452885894269,354,1322,0.0343455903754729,0.1282623459784612,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r04_local_or_region\CHASEDB1\comparison\Image_05R_comparison.png,0.950394144144144,0.950394144144144,0.0,0.7192980198911519,0.7192980198911519,0.0,0.6845940021796897,0.6845940021796897,0.0,0.975133836423795,0.975133836423795,0.0,0.7015170717628901,0.7015170717628901,0.0,0.5402589872439119,0.5402589872439119,0.0,0.0248661635762049,0.0248661635762049,0.0,0.3154059978203103,0.3154059978203103,0.0,0.8298639193017423,0.8298639193017423,0.0,0.7015170717628901,0.7015170717628901,0.0,True,0.0810425008341675,77723,959040,19,4090.684210526316,2434.0,4568.277702092431,144,16770,0,0.0,0,0.0,16770,0.2157662467995316,11998,0.154368719684006,416,1471,0.0346724454075679,0.1226037672945491,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
