dataset,image_id,comparison_path,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,delta_precision,delta_recall
STARE,im0240,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0240_comparison.png,0.7234862310905625,0.7236770045232348,0.00019077343267226432,0.00030254741917878913,0.0
STARE,im0163,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0163_comparison.png,0.6982493222441759,0.6983776827979227,0.0001283605537467647,0.0001649649172302814,0.0
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\DRIVE\comparison\30_comparison.png,0.703090299996236,0.7031961751308211,0.00010587513458515385,0.00020119398191043025,0.0
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0005_comparison.png,0.6299940466525951,0.6300895302638274,9.548361123234983e-05,0.00013909269786815948,0.0
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_14R_comparison.png,0.6156349406510084,0.6157050682245347,7.012757352631294e-05,0.00011870454004525577,0.0
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0001_comparison.png,0.5755570916033047,0.5756265636658913,6.947206258656191e-05,8.775699981361518e-05,0.0
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_13R_comparison.png,0.57728205467664,0.5773489349729398,6.688029629986492e-05,0.0001346527181111945,0.0
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_07R_comparison.png,0.6081177342147254,0.6081827184064857,6.498419176037551e-05,0.00014090851041526076,0.0
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_07L_comparison.png,0.6346828600610032,0.6347401920591464,5.7331998143284046e-05,0.0001239168575949412,0.0
CHASEDB1,Image_09R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_09R_comparison.png,0.563043965252599,0.5630953566331441,5.139138054510717e-05,7.259734707287802e-05,0.0
