dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0240,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0240_comparison.png,0.6441816376275165,0.6444841850466952,0.00030254741917878913,0.0,0.00019077343267226432
DRIVE,30,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\DRIVE\comparison\30_comparison.png,0.6852918516344425,0.6854930456163529,0.00020119398191043025,0.0,0.00010587513458515385
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_04R_comparison.png,0.6426584234930448,0.6428313718752684,0.0001729483822235922,-8.127438231464446e-05,1.642975034010785e-05
STARE,im0163,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0163_comparison.png,0.5596950332406402,0.5598599981578705,0.0001649649172302814,0.0,0.0001283605537467647
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_07R_comparison.png,0.6331583007001306,0.6332992092105458,0.00014090851041526076,0.0,6.498419176037551e-05
STARE,im0005,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\STARE\comparison\im0005_comparison.png,0.5376330180313331,0.5377721107292013,0.00013909269786815948,0.0,9.548361123234983e-05
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_13R_comparison.png,0.5791701947502117,0.5793048474683229,0.0001346527181111945,0.0,6.688029629986492e-05
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_07L_comparison.png,0.6597619460333969,0.6598858628909918,0.0001239168575949412,0.0,5.7331998143284046e-05
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_14R_comparison.png,0.5663393605556221,0.5664580650956673,0.00011870454004525577,0.0,7.012757352631294e-05
DRIVE,27,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\DRIVE\comparison\27_comparison.png,0.6745024474602105,0.6746020111993902,9.956373917974215e-05,-6.879708300366882e-05,2.891625773604467e-05
