dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_01L_comparison.png,0.9455716132799468,0.9455716132799468,0.0,0.6109382081885482,0.6109382081885482,0.0,0.604589967855274,0.604589967855274,0.0,0.971135060611665,0.971135060611665,0.0,0.6077475108021793,0.6077475108021793,0.0,0.4365210445070544,0.4365210445070544,0.0,0.0288649393883349,0.0288649393883349,0.0,0.395410032144726,0.395410032144726,0.0,0.7878625142334694,0.7878625142334694,0.0,0.6077475108021793,0.6077475108021793,0.0,True,0.0690169336002669,66190,959040,31,2135.1612903225805,252.0,7146.33438225624,25,40212,0,0.0,0,0.0,40212,0.6075237951352168,10710,0.1618069194742408,451,1641,0.042110177404295,0.1532212885154061,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_01R_comparison.png,0.9414956623289956,0.9414956623289956,0.0,0.6138807961445258,0.6138807961445258,0.0,0.6190724621763365,0.6190724621763365,0.0,0.9679960099390432,0.9679960099390432,0.0,0.6164656987395073,0.6164656987395073,0.0,0.4455731225296442,0.4455731225296442,0.0,0.0320039900609567,0.0320039900609567,0.0,0.3809275378236634,0.3809275378236634,0.0,0.7935342360576898,0.7935342360576898,0.0,0.6164656987395073,0.6164656987395073,0.0,True,0.0765911745078411,73454,959040,27,2720.5185185185187,441.0,7642.106924772583,25,40055,0,0.0,0,0.0,40055,0.5453072671331718,12962,0.1764641816647153,563,2258,0.0434346551458108,0.1742015121123283,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_02L_comparison.png,0.9316691691691692,0.9316691691691692,0.0,0.6030699547055863,0.6030699547055863,0.0,0.4619506553585196,0.4619506553585196,0.0,0.9731497242459318,0.9731497242459318,0.0,0.5231608819035145,0.5231608819035145,0.0,0.3542436515209743,0.3542436515209743,0.0,0.0268502757540682,0.0268502757540682,0.0,0.5380493446414804,0.5380493446414804,0.0,0.7175501898022257,0.7175501898022257,0.0,0.5231608819035145,0.5231608819035145,0.0,True,0.0621559059059059,59610,959040,26,2292.692307692308,605.0,6328.161209225064,78,33227,0,0.0,0,0.0,33227,0.5574064754235867,10512,0.176346250629089,464,1687,0.0441400304414003,0.1604832572298325,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_02R_comparison.png,0.9245380797464132,0.9245380797464132,0.0,0.5191988171272656,0.5191988171272656,0.0,0.4548137267993056,0.4548137267993056,0.0,0.9643250579652772,0.9643250579652772,0.0,0.4848782501619297,0.4848782501619297,0.0,0.3200259320505111,0.3200259320505111,0.0,0.0356749420347226,0.0356749420347226,0.0,0.5451862732006943,0.5451862732006943,0.0,0.7095693923822914,0.7095693923822914,0.0,0.4848782501619297,0.4848782501619297,0.0,True,0.0684048631965298,65603,959040,32,2050.09375,474.0,3834.501388376452,36,19164,0,0.0,0,0.0,19164,0.2921207871591238,11891,0.1812569547124369,553,1984,0.0465057606593221,0.1668488773021613,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_03L_comparison.png,0.9502273106439774,0.9502273106439774,0.0,0.7086397617455783,0.7086397617455783,0.0,0.6202058620139369,0.6202058620139369,0.0,0.9783049949991176,0.9783049949991176,0.0,0.6614801997049813,0.6614801997049813,0.0,0.494187833126702,0.494187833126702,0.0,0.0216950050008825,0.0216950050008825,0.0,0.3797941379860631,0.3797941379860631,0.0,0.7992554285065272,0.7992554285065272,0.0,0.6614801997049813,0.6614801997049813,0.0,True,0.0686227894561228,65812,959040,13,5062.461538461538,802.0,10397.829304644343,99,36713,0,0.0,0,0.0,36713,0.557846593326445,9627,0.1462803136206163,335,1257,0.0347979640594162,0.1305702711124961,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_03R_comparison.png,0.948899941608275,0.948899941608275,0.0,0.6754909308949183,0.6754909308949183,0.0,0.6222228359177586,0.6222228359177586,0.0,0.9755836497977148,0.9755836497977148,0.0,0.6477636184603,0.6477636184603,0.0,0.4790313493286842,0.4790313493286842,0.0,0.0244163502022853,0.0244163502022853,0.0,0.3777771640822413,0.3777771640822413,0.0,0.7989032428577367,0.7989032428577367,0.0,0.6477636184603,0.6477636184603,0.0,True,0.0695591424758091,66710,959040,16,4169.375,1253.5,9630.981646975297,94,40413,0,0.0,0,0.0,40413,0.6058012292010193,10393,0.1557937340728526,382,1396,0.0367555085153468,0.1343211777157702,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_04L_comparison.png,0.9468551885218552,0.9468551885218552,0.0,0.6582651005833573,0.6582651005833573,0.0,0.669526926351639,0.669526926351639,0.0,0.9704402899967416,0.9704402899967416,0.0,0.6638482542111304,0.6638482542111304,0.0,0.4968359741349523,0.4968359741349523,0.0,0.0295597100032583,0.0295597100032583,0.0,0.330473073648361,0.330473073648361,0.0,0.8199836081741902,0.8199836081741902,0.0,0.6638482542111304,0.6638482542111304,0.0,True,0.0797193026359693,76454,959040,31,2466.2580645161293,294.0,5223.707760979014,39,23788,0,0.0,0,0.0,23788,0.3111413398906532,12034,0.1574018363983571,517,1792,0.0429616087751371,0.1489114176499917,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_04R_comparison.png,0.9403465965965966,0.9403601518184852,1.355522188861702e-05,0.6426584234930448,0.6428313718752684,0.0001729483822235922,0.506908322496749,0.5068270481144344,-8.127438231464446e-05,0.9764938726819216,0.9765153363698804,2.1463687958855893e-05,0.5667681403062383,0.5667845700565785,1.642975034010785e-05,0.3954476287091047,0.3954636255060086,1.5996796903894328e-05,0.0235061273180782,0.0234846636301196,-2.1463687958599154e-05,0.493091677503251,0.4931729518855656,8.127438231458894e-05,0.7417010975893353,0.7416711922421573,-2.9905347178060815e-05,0.5667681403062383,0.5667845700565785,1.642975034010785e-05,True,0.0607169669669669,58230,959040,47,1238.936170212766,145.0,3312.2354629288066,12,22083,0,0.0,0,0.0,22083,0.3792375064399794,9982,0.171423664777606,481,1539,0.048186736125025,0.1541775195351633,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_05L_comparison.png,0.9473775859192526,0.9473775859192526,0.0,0.6857409513809899,0.6857409513809899,0.0,0.6192175504668097,0.6192175504668097,0.0,0.9755972999629712,0.9755972999629712,0.0,0.6507836556758814,0.6507836556758814,0.0,0.4823419597706455,0.4823419597706455,0.0,0.0244027000370286,0.0244027000370286,0.0,0.3807824495331902,0.3807824495331902,0.0,0.7974074252148905,0.7974074252148905,0.0,0.6507836556758814,0.6507836556758814,0.0,True,0.0715027527527527,68574,959040,10,6857.4,1180.0,15569.881664290191,34,53130,0,0.0,0,0.0,53130,0.7747834456207893,10325,0.1505672703940269,357,1327,0.0345762711864406,0.1285230024213075,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\recovery_ablation\experiments_r05_local_or_region_hybrid_priority\CHASEDB1\comparison\Image_05R_comparison.png,0.9504087420754088,0.9504087420754088,0.0,0.7197443200123717,0.7197443200123717,0.0,0.683908257105421,0.683908257105421,0.0,0.975213619686862,0.975213619686862,0.0,0.7013688308426472,0.7013688308426472,0.0,0.5400831641040519,0.5400831641040519,0.0,0.0247863803131379,0.0247863803131379,0.0,0.3160917428945789,0.3160917428945789,0.0,0.8295609383961415,0.8295609383961415,0.0,0.7013688308426472,0.7013688308426472,0.0,True,0.0809111194527861,77597,959040,19,4084.052631578948,2431.0,4554.814647262183,144,16730,0,0.0,0,0.0,16730,0.2156011185999458,11994,0.1545678312305888,416,1470,0.0346840086710021,0.1225612806403201,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
