dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.9455716132799468,0.6109382081885482,0.604589967855274,0.971135060611665,0.6077475108021793,0.4365210445070544,0.0288649393883349,0.395410032144726,0.7878625142334694,0.6077475108021793
CHASEDB1,Image_01L,CA-APSRG,0.9455716132799468,0.6109382081885482,0.604589967855274,0.971135060611665,0.6077475108021793,0.4365210445070544,0.0288649393883349,0.395410032144726,0.7878625142334694,0.6077475108021793
CHASEDB1,Image_01R,APSRG Baseline,0.9414956623289956,0.6138807961445258,0.6190724621763365,0.9679960099390432,0.6164656987395073,0.4455731225296442,0.0320039900609567,0.3809275378236634,0.7935342360576898,0.6164656987395073
CHASEDB1,Image_01R,CA-APSRG,0.9414956623289956,0.6138807961445258,0.6190724621763365,0.9679960099390432,0.6164656987395073,0.4455731225296442,0.0320039900609567,0.3809275378236634,0.7935342360576898,0.6164656987395073
CHASEDB1,Image_02L,APSRG Baseline,0.9316691691691692,0.6030699547055863,0.4619506553585196,0.9731497242459318,0.5231608819035145,0.3542436515209743,0.0268502757540682,0.5380493446414804,0.7175501898022257,0.5231608819035145
CHASEDB1,Image_02L,CA-APSRG,0.9316691691691692,0.6030699547055863,0.4619506553585196,0.9731497242459318,0.5231608819035145,0.3542436515209743,0.0268502757540682,0.5380493446414804,0.7175501898022257,0.5231608819035145
CHASEDB1,Image_02R,APSRG Baseline,0.9245380797464132,0.5191988171272656,0.4548137267993056,0.9643250579652772,0.4848782501619297,0.3200259320505111,0.0356749420347226,0.5451862732006943,0.7095693923822914,0.4848782501619297
CHASEDB1,Image_02R,CA-APSRG,0.9245380797464132,0.5191988171272656,0.4548137267993056,0.9643250579652772,0.4848782501619297,0.3200259320505111,0.0356749420347226,0.5451862732006943,0.7095693923822914,0.4848782501619297
CHASEDB1,Image_03L,APSRG Baseline,0.9502273106439774,0.7086397617455783,0.6202058620139369,0.9783049949991176,0.6614801997049813,0.494187833126702,0.0216950050008825,0.3797941379860631,0.7992554285065272,0.6614801997049813
CHASEDB1,Image_03L,CA-APSRG,0.9502273106439774,0.7086397617455783,0.6202058620139369,0.9783049949991176,0.6614801997049813,0.494187833126702,0.0216950050008825,0.3797941379860631,0.7992554285065272,0.6614801997049813
CHASEDB1,Image_03R,APSRG Baseline,0.948899941608275,0.6754909308949183,0.6222228359177586,0.9755836497977148,0.6477636184603,0.4790313493286842,0.0244163502022853,0.3777771640822413,0.7989032428577367,0.6477636184603
CHASEDB1,Image_03R,CA-APSRG,0.948899941608275,0.6754909308949183,0.6222228359177586,0.9755836497977148,0.6477636184603,0.4790313493286842,0.0244163502022853,0.3777771640822413,0.7989032428577367,0.6477636184603
CHASEDB1,Image_04L,APSRG Baseline,0.9468551885218552,0.6582651005833573,0.669526926351639,0.9704402899967416,0.6638482542111304,0.4968359741349523,0.0295597100032583,0.330473073648361,0.8199836081741902,0.6638482542111304
CHASEDB1,Image_04L,CA-APSRG,0.9468551885218552,0.6582651005833573,0.669526926351639,0.9704402899967416,0.6638482542111304,0.4968359741349523,0.0295597100032583,0.330473073648361,0.8199836081741902,0.6638482542111304
CHASEDB1,Image_04R,APSRG Baseline,0.9403465965965966,0.6426584234930448,0.506908322496749,0.9764938726819216,0.5667681403062383,0.3954476287091047,0.0235061273180782,0.493091677503251,0.7417010975893353,0.5667681403062383
CHASEDB1,Image_04R,CA-APSRG,0.9403601518184852,0.6428313718752684,0.5068270481144344,0.9765153363698804,0.5667845700565785,0.3954636255060086,0.0234846636301196,0.4931729518855656,0.7416711922421573,0.5667845700565785
CHASEDB1,Image_05L,APSRG Baseline,0.9473775859192526,0.6857409513809899,0.6192175504668097,0.9755972999629712,0.6507836556758814,0.4823419597706455,0.0244027000370286,0.3807824495331902,0.7974074252148905,0.6507836556758814
CHASEDB1,Image_05L,CA-APSRG,0.9473775859192526,0.6857409513809899,0.6192175504668097,0.9755972999629712,0.6507836556758814,0.4823419597706455,0.0244027000370286,0.3807824495331902,0.7974074252148905,0.6507836556758814
CHASEDB1,Image_05R,APSRG Baseline,0.9504087420754088,0.7197443200123717,0.683908257105421,0.975213619686862,0.7013688308426472,0.5400831641040519,0.0247863803131379,0.3160917428945789,0.8295609383961415,0.7013688308426472
CHASEDB1,Image_05R,CA-APSRG,0.9504087420754088,0.7197443200123717,0.683908257105421,0.975213619686862,0.7013688308426472,0.5400831641040519,0.0247863803131379,0.3160917428945789,0.8295609383961415,0.7013688308426472
CHASEDB1,Image_06L,APSRG Baseline,0.9427500417083752,0.6427823678149812,0.5494658296161683,0.974977549740299,0.5924721844916016,0.4209310664866689,0.0250224502597009,0.4505341703838317,0.7622216896782337,0.5924721844916016
CHASEDB1,Image_06L,CA-APSRG,0.9427500417083752,0.6427823678149812,0.5494658296161683,0.974977549740299,0.5924721844916016,0.4209310664866689,0.0250224502597009,0.4505341703838317,0.7622216896782337,0.5924721844916016
CHASEDB1,Image_06R,APSRG Baseline,0.940796004337671,0.6084477694010737,0.5858878608850742,0.9695031512320912,0.5969547471162377,0.4254707721574063,0.0304968487679088,0.4141121391149259,0.7776955060585826,0.5969547471162377
CHASEDB1,Image_06R,CA-APSRG,0.940796004337671,0.6084477694010737,0.5858878608850742,0.9695031512320912,0.5969547471162377,0.4254707721574063,0.0304968487679088,0.4141121391149259,0.7776955060585826,0.5969547471162377
CHASEDB1,Image_07L,APSRG Baseline,0.9451753837170505,0.6597619460333969,0.6114405815338894,0.9733654777964608,0.6346828600610032,0.4648611238333689,0.0266345222035391,0.3885594184661106,0.7924030296651752,0.6346828600610032
CHASEDB1,Image_07L,CA-APSRG,0.945188938938939,0.6598858628909918,0.6114405815338894,0.973380178008257,0.6347401920591464,0.464922638436482,0.026619821991743,0.3885594184661106,0.7924103797710732,0.6347401920591464
CHASEDB1,Image_07R,APSRG Baseline,0.9426363863863864,0.6331583007001306,0.5849824580638088,0.9720891755974684,0.6081177342147254,0.4369031412808729,0.0279108244025316,0.4150175419361912,0.7785358168306385,0.6081177342147254
CHASEDB1,Image_07R,CA-APSRG,0.942652027027027,0.6332992092105458,0.5849824580638088,0.9721061042443504,0.6081827184064857,0.4369702305392899,0.0278938957556496,0.4150175419361912,0.7785442811540796,0.6081827184064857
CHASEDB1,Image_08L,APSRG Baseline,0.9538851351351352,0.6555889654207895,0.604601296230613,0.978037132084895,0.6290636427684771,0.4588569261076511,0.021962867915105,0.395398703769387,0.791319214157754,0.6290636427684771
CHASEDB1,Image_08L,CA-APSRG,0.9538851351351352,0.6555889654207895,0.604601296230613,0.978037132084895,0.6290636427684771,0.4588569261076511,0.021962867915105,0.395398703769387,0.791319214157754,0.6290636427684771
CHASEDB1,Image_08R,APSRG Baseline,0.949073031364698,0.6058389050302797,0.5680479199146632,0.9749249809320736,0.5863351091311013,0.4147624468276316,0.0250750190679263,0.4319520800853368,0.7714864504233685,0.5863351091311013
CHASEDB1,Image_08R,CA-APSRG,0.949073031364698,0.6058389050302797,0.5680479199146632,0.9749249809320736,0.5863351091311013,0.4147624468276316,0.0250750190679263,0.4319520800853368,0.7714864504233685,0.5863351091311013
CHASEDB1,Image_09L,APSRG Baseline,0.9430399149149148,0.4624878606463668,0.77532767290413,0.9519777796326478,0.5793749181880481,0.4078309791976064,0.0480222203673521,0.2246723270958701,0.8636527262683888,0.5793749181880481
CHASEDB1,Image_09L,CA-APSRG,0.9430399149149148,0.4624878606463668,0.77532767290413,0.9519777796326478,0.5793749181880481,0.4078309791976064,0.0480222203673521,0.2246723270958701,0.8636527262683888,0.5793749181880481
CHASEDB1,Image_09R,APSRG Baseline,0.9450857107107108,0.4731829084620962,0.6950367684712919,0.9584968925129173,0.563043965252599,0.3918310314564183,0.0415031074870828,0.3049632315287081,0.8267668304921045,0.563043965252599
CHASEDB1,Image_09R,CA-APSRG,0.9450971805138472,0.4732555058091691,0.6950367684712919,0.958508977490082,0.5630953566331441,0.3918808107639891,0.0414910225099179,0.3049632315287081,0.826772872980687,0.5630953566331441
CHASEDB1,Image_10L,APSRG Baseline,0.9395562228895562,0.5150403835725905,0.600789000599241,0.9621953715610414,0.5546199117967946,0.3837190759188186,0.0378046284389586,0.399210999400759,0.7814921860801411,0.5546199117967946
