experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,accuracy,28,0.02369858697983693,0.02239896146146142,0.008539347369936268,28,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,balanced_accuracy,28,-0.14848113428005047,-0.15842925422767845,0.04422920666515323,0,0,28
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,dice,28,-0.09172202200548155,-0.11051006856170692,0.09986639812433178,5,0,23
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,f1_score,28,-0.09172202200548155,-0.11051006856170692,0.09986639812433178,5,0,23
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,iou,28,-0.07765814013416737,-0.10114910502351351,0.08616519189457258,5,0,23
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,precision,28,0.24232954330117687,0.25952005617851936,0.06969828041740411,28,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,recall,28,-0.3487950256666167,-0.36785370554129104,0.08966755880876902,0,0,28
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,specificity,28,0.0518327571065158,0.05328666059175269,0.005807010031611954,28,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,accuracy,28,0.01996080902330901,0.019490845011678415,0.008722553818225074,28,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.14953922416601426,-0.15975562782490305,0.044111252836055,0,0,28
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,dice,28,-0.10263026179244798,-0.12274069716316205,0.10100474041811455,4,0,24
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,f1_score,28,-0.10263026179244798,-0.12274069716316205,0.10100474041811455,4,0,24
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,iou,28,-0.08814936213159157,-0.11336017120745709,0.08745578692655692,4,0,24
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,precision,28,0.22607888569617504,0.24323697268577635,0.06622447864552074,28,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,recall,28,-0.34672376544923544,-0.366477468642302,0.08906635999025941,0,0,28
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,specificity,28,0.04764531711720694,0.04877322845109561,0.0050376897466023335,28,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,accuracy,20,-0.01666912158762034,-0.019325935843391984,0.014859369368074108,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,balanced_accuracy,20,-0.1477804449021287,-0.14613996099786875,0.037607074161465165,0,0,20
