comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,accuracy,28,0.002271877532294222,0.002568193193193291,0.003980475037634679
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,balanced_accuracy,28,0.045111893202704874,0.042173952894545064,0.02388596366437005
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,dice,28,0.07503341988542876,0.08006617511027112,0.052907406620597196
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,f1_score,28,0.07503341988542876,0.08006617511027112,0.052907406620597196
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,iou,28,0.06354680964859452,0.06680948678918797,0.04346354678473212
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,precision,28,-0.02628157433592473,-0.023349520283611813,0.05214268479053174
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,recall,28,0.09504356955887314,0.09300357939098605,0.04841194558427641
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,APSRG,specificity,28,-0.0048197831534634505,-0.004265721585702376,0.0031612442494046477
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,accuracy,28,0.002277500715000741,0.002563501001001056,0.0039789897606427255
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,balanced_accuracy,28,0.045115018690347404,0.04211891727905648,0.02388726113581665
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,dice,28,0.07505953820692193,0.08008534000778636,0.05290622970794756
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,f1_score,28,0.07505953820692193,0.08008534000778636,0.05290622970794756
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,iou,28,0.06357113774978121,0.06675318424462137,0.04345961189833877
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,precision,28,-0.026224055387501593,-0.023116310462765355,0.052163277608656806
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,recall,28,0.09504394346449609,0.09289690834807149,0.048415885550711274
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,specificity,28,-0.004813906083801357,-0.0042481906237615275,0.003159985885227494
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,accuracy,20,0.004652179932056794,0.003621324603081455,0.004725197795306404
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,balanced_accuracy,20,0.032538834028893834,0.030219490359440382,0.03899551481471341
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,dice,20,0.058479687485823516,0.06718400072486116,0.06564459639378903
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,f1_score,20,0.058479687485823516,0.06718400072486116,0.06564459639378903
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,iou,20,0.051037902389530286,0.05910368118175294,0.05683336736287074
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,precision,20,-0.006245798162708682,-0.018326725681009626,0.06645176628871106
