experiment,experiment_label,dataset,output_method,metric,n_images,mean,std,median,min,max
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,accuracy,28,0.9197135379427046,0.005993057751825491,0.9202567150483818,0.9090058808808807,0.9328797547547548
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,balanced_accuracy,28,0.821338503823128,0.024432272657707112,0.8179560282804905,0.7711613933994179,0.8822813916340881
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,dice,28,0.5468726758647625,0.03348569008166832,0.5400406333781872,0.4843004390150792,0.6304531284983552
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,f1_score,28,0.5468726758647625,0.03348569008166832,0.5400406333781872,0.4843004390150792,0.6304531284983552
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,iou,28,0.37705738029349173,0.032214559178481546,0.369905448215921,0.3195227151087743,0.4603370221327967
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,precision,28,0.4500805098541602,0.049781223269352255,0.45432582630197904,0.3639623808712647,0.5622372417677469
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,recall,28,0.7066402187334172,0.050732926161706965,0.6986131981211633,0.6060088129256243,0.8340195415719289
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,specificity,28,0.9360367889128388,0.006713704651218732,0.9352344526598373,0.9214303197032776,0.9503919067857944
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,accuracy,28,0.9234534385576053,0.005439212801380139,0.9232691024357691,0.9130484651317984,0.9359797297297298
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,balanced_accuracy,28,0.822392300743565,0.024273459946575583,0.8198006500554302,0.7718496570517228,0.8824429118708346
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,dice,28,0.5577805861383672,0.034948246342199535,0.5521928685741736,0.5015172345458824,0.6404722030285641
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,f1_score,28,0.5577805861383672,0.034948246342199535,0.5521928685741736,0.5015172345458824,0.6404722030285641
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,iou,28,0.38754769554650015,0.03408676414744498,0.38140317976774996,0.3346833517927694,0.4710990128008545
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,precision,28,0.4663994235840992,0.054155749654357196,0.4723529808069953,0.3819476456222599,0.5838888947032412
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,recall,28,0.7045570762972958,0.05147127392522367,0.6962334540394607,0.6025637601815996,0.8336713164956268
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,specificity,28,0.9402275251898342,0.007044296396152797,0.9412024864975702,0.9277412666135684,0.954684246338803
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,accuracy,20,0.9246445816142319,0.016883759153181962,0.9272366278115701,0.8791561307173502,0.9473728268436032
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,balanced_accuracy,20,0.826406659930195,0.026207385065477734,0.8303158922912524,0.7658287380545126,0.8637501583502702
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,dice,20,0.6969852491488083,0.06322141668882852,0.7148510297927447,0.4963930234681764,0.7580269421655019
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,f1_score,20,0.6969852491488083,0.06322141668882852,0.7148510297927447,0.4963930234681764,0.7580269421655019
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,iou,20,0.5380631545901573,0.0686922861528875,0.556241738362224,0.3301348232721972,0.6103408905561899
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,precision,20,0.7111865145134497,0.10991399061901999,0.7262441534357581,0.4113071638267607,0.869684654173252
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,recall,20,0.6942500180842971,0.04907961981530866,0.7020668683022693,0.6047625278032186,0.7754937930341258
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,specificity,20,0.9585633017760928,0.019098742352164768,0.9625727508815203,0.9057939779051014,0.981726654389455
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,accuracy,20,0.9249377523142848,0.016636600955992453,0.9273048205707417,0.8796732504480974,0.94731114577
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,balanced_accuracy,20,0.8258830317729411,0.02632631507191297,0.8301237606069921,0.7645691151046959,0.8635963251633847
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,dice,20,0.6972440571513994,0.06283383089673154,0.7147453451883721,0.4960816341512654,0.7571628728653522
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,f1_score,20,0.6972440571513994,0.06283383089673154,0.7147453451883721,0.4960816341512654,0.7571628728653522
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,iou,20,0.5383268533640979,0.06820052451218696,0.5561137655791127,0.3298594161866641,0.6092213181714211
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,precision,20,0.7131806110324758,0.10903390792937616,0.7284905817488921,0.4123821438379154,0.8698091186325816
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,recall,20,0.6926469838614456,0.04935509618719865,0.7010416189498938,0.6043299160652894,0.774388098708348
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,specificity,20,0.9591190796844364,0.01872856024659355,0.9627608669870942,0.9067287248211632,0.981753038082222
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,accuracy,20,0.928647225501771,0.024467691536872744,0.9347556080283352,0.874866587957497,0.9637260920897284
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,balanced_accuracy,20,0.8858979690794252,0.02759158907658915,0.8891196714954285,0.8315570120436053,0.9330804163177322
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,dice,20,0.6412625683359312,0.11571799217100992,0.6675706885575279,0.3871666605810542,0.7927023452891804
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,f1_score,20,0.6412625683359312,0.11571799217100992,0.6675706885575279,0.3871666605810542,0.7927023452891804
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,iou,20,0.481612298204093,0.11973025861340691,0.5010214485139866,0.2400537309828543,0.656592301157956
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,precision,20,0.5355523636870617,0.14005200435266205,0.5653598101681865,0.248842230427436,0.7102405996856487
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,recall,20,0.8348488510243893,0.048524686190713054,0.8304328794495528,0.7463927376970855,0.914546056991385
